rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,workflow_failed,,43643.0,43397.0,0.2,43643.3,0,36889C1D089B9C4F4A98B139467918BE,56.1,0,1717392.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,workflow_failed,,27587.8,27340.3,0.5,27588.3,1,A684F7C684140336DBC22002939EA22C,71.0,0,2170932.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,workflow_failed,,42832.0,42579.7,0.8,42832.9,2,223482C27274E328FB954BC999054853,64.9,0,1041284.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,2578.8,2331.5,1.0,2579.9,3,A6B39F4B118F2D56615D4FDCD773D12F,64.7,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,19081.5,18833.6,1.3,19082.8,4,B10B5B8BFA936B33DC25D24F41DE8D5E,55.4,0,19986636.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,workflow_failed,,27523.8,27270.5,1.5,27525.4,5,191AF42BAD07D669A3A1CB90C76B780F,69.4,0,2877580.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,workflow_failed,,27633.4,27371.9,1.7,27635.1,6,37A987828E3F3C3EC7D7EC3976BCE1E8,71.2,0,2024644.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,workflow_failed,,27633.1,27381.2,1.9,27635.0,7,BB051A824A995D5B1C0072A31CC2DCEE,71.5,0,2024244.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,workflow_failed,,27586.1,27334.1,2.1,27588.1,8,DB0B656735AC01049B329C561DF5312B,72.7,0,2024872.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,2562.0,2310.4,2.3,2564.3,9,CB48B796AB09C74055429F6633D35092,67.1,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,workflow_failed,,24617.4,24543.0,2565.2,27182.6,9,CB48B796AB09C74055429F6633D35092,74.0,0,2573808.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,60.0,1.7,2580.7,2640.7,3,A6B39F4B118F2D56615D4FDCD773D12F,58.0,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.3,2.5,2641.6,2703.0,3,A6B39F4B118F2D56615D4FDCD773D12F,58.4,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,62.5,2.4,2703.8,2766.3,3,A6B39F4B118F2D56615D4FDCD773D12F,59.7,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,41159.7,41104.6,2767.2,43926.9,3,A6B39F4B118F2D56615D4FDCD773D12F,54.5,0,2051668.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,workflow_failed,,25092.3,25023.5,19084.0,44176.3,4,B10B5B8BFA936B33DC25D24F41DE8D5E,68.3,0,4715804.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,skipped_by_skill,declared_mode_account,76.8,1.7,27183.8,27260.5,9,CB48B796AB09C74055429F6633D35092,74.8,0,
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,42021.1,41966.8,27261.4,69282.5,9,CB48B796AB09C74055429F6633D35092,54.0,0,1710184.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,30621.9,30557.2,27526.2,58148.1,5,191AF42BAD07D669A3A1CB90C76B780F,64.3,0,24718724.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,19909.6,19853.4,27589.2,47498.8,8,DB0B656735AC01049B329C561DF5312B,55.5,0,4287584.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,workflow_failed,,25068.9,25014.0,27589.8,52658.7,1,A684F7C684140336DBC22002939EA22C,53.3,0,3792636.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,32185.5,32111.0,27636.3,59821.8,7,BB051A824A995D5B1C0072A31CC2DCEE,74.0,0,9755272.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,75.8,2.9,27638.1,27713.9,6,37A987828E3F3C3EC7D7EC3976BCE1E8,72.5,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,9249.9,9176.7,27714.8,36964.7,6,37A987828E3F3C3EC7D7EC3976BCE1E8,72.8,0,3896320.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,no_application_form,,25092.2,25027.3,36965.9,62058.1,6,37A987828E3F3C3EC7D7EC3976BCE1E8,64.6,0,23451820.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,21344.3,21273.8,42833.9,64178.1,2,223482C27274E328FB954BC999054853,70.2,0,37943156.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,workflow_failed,,33199.7,33141.2,43644.2,76843.9,0,36889C1D089B9C4F4A98B139467918BE,58.2,0,880472.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.3,2.3,43927.9,43989.2,3,A6B39F4B118F2D56615D4FDCD773D12F,58.6,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,61.6,2.9,43990.1,44051.7,3,A6B39F4B118F2D56615D4FDCD773D12F,58.4,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,workflow_failed,,20360.2,20288.7,44052.5,64412.8,3,A6B39F4B118F2D56615D4FDCD773D12F,71.0,0,3657908.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,workflow_failed,,41154.2,41098.6,44177.2,85331.4,4,B10B5B8BFA936B33DC25D24F41DE8D5E,55.3,0,879424.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,workflow_failed,,25090.9,25018.2,47499.9,72590.9,8,DB0B656735AC01049B329C561DF5312B,72.3,0,5971296.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,workflow_failed,,41162.2,41100.3,52660.0,93822.2,1,A684F7C684140336DBC22002939EA22C,61.4,0,2714024.0
34,Baker Hughes,['Baker Hughes'],,,BakerHughes_R164293,Software Engineer - Embedded Software (d/f/m),True,skipped_by_metadata,declared_mode_account,61.6,1.9,58149.5,58211.2,5,191AF42BAD07D669A3A1CB90C76B780F,59.4,0,
35,AutoForm,['AutoForm'],,,AutoForm_5158,(Senior) Software Engineer (m/f) 80–100%,True,form_processed,,27733.1,27675.7,58212.0,85945.1,5,191AF42BAD07D669A3A1CB90C76B780F,57.0,0,5570672.0
36,AutoForm,['AutoForm'],,,AutoForm_5157,(Senior) Software Engineer (m/f) 80-100%,True,form_processed,,27903.2,27840.3,59823.2,87726.4,7,BB051A824A995D5B1C0072A31CC2DCEE,62.5,0,5579144.0
37,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10123612,ICT DevOps Engineer Data & Analytics Senior,True,workflow_failed,,26902.0,26832.8,62059.3,88961.3,6,37A987828E3F3C3EC7D7EC3976BCE1E8,68.6,0,4290884.0
38,Digital Wave Finance AG,['Digital Wave Finance AG'],,,DigitalWaveFinanceAG_B1B5C73CAF,C# Developer Platform,True,form_processed,,32841.5,32785.1,64179.3,97020.8,2,223482C27274E328FB954BC999054853,56.1,0,38404176.0
39,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_1ba9e9f4c1f8,Input Engineer Dokumentenmanagement (m/w/d),True,form_processed,,22462.2,22400.6,64414.1,86876.4,3,A6B39F4B118F2D56615D4FDCD773D12F,61.1,0,3974516.0
