company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,24653.0,24653.0,24653.0,24653.0,24653.0,24653.0,"{""form_processed"": 1}"
Advertima Vision,1,1,4333.2,4333.2,4333.2,4333.2,4333.2,4333.2,"{""form_processed"": 1}"
aity AG,2,2,38477.3,24550.6,19238.7,19238.7,23516.7,23516.7,"{""form_processed"": 2}"
Alohi,1,1,6994.8,6994.8,6994.8,6994.8,6994.8,6994.8,"{""form_processed"": 1}"
Ansam Group,2,2,153.1,139406.7,76.5,76.5,76.8,76.8,"{""skipped_by_skill"": 2}"
ANYbotics,1,1,8658.3,8658.3,8658.3,8658.3,8658.3,8658.3,"{""form_processed"": 1}"
Arina,1,1,7760.0,7760.0,7760.0,7760.0,7760.0,7760.0,"{""no_application_form"": 1}"
AutoForm,2,2,55636.3,29514.4,27818.2,27818.2,27903.2,27903.2,"{""form_processed"": 2}"
Baker Hughes,1,1,61.6,61.7,61.6,61.6,61.6,61.6,"{""skipped_by_metadata"": 1}"
BCG,4,4,106224.1,29348.9,26556.0,26446.6,27186.6,27186.6,"{""no_application_form"": 4}"
BKW,1,1,25075.9,25075.9,25075.9,25075.9,25075.9,25075.9,"{""workflow_failed"": 1}"
Brack,1,1,34821.4,34821.4,34821.4,34821.4,34821.4,34821.4,"{""form_processed"": 1}"
BS-Team,3,3,83398.7,103299.5,27799.6,25099.7,33199.7,33199.7,"{""workflow_failed"": 3}"
Bundesverwaltung,4,4,109786.2,188752.5,27446.5,24133.2,41159.7,41159.7,"{""workflow_failed"": 4}"
Crypto Finance AG,2,2,33248.4,47451.9,16624.2,16624.2,25339.4,25339.4,"{""form_processed"": 2}"
CSS,2,2,83994.2,93821.4,41997.1,41997.1,42832.0,42832.0,"{""workflow_failed"": 2}"
DeepJudge,1,1,30621.9,30621.9,30621.9,30621.9,30621.9,30621.9,"{""form_processed"": 1}"
Destinus,1,1,6970.6,6970.6,6970.6,6970.6,6970.6,6970.6,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,32841.5,32841.5,32841.5,32841.5,32841.5,32841.5,"{""form_processed"": 1}"
EPAM,1,1,25092.2,25092.2,25092.2,25092.2,25092.2,25092.2,"{""no_application_form"": 1}"
Eraneos,5,5,339.0,34032.6,67.8,61.6,78.9,78.9,"{""skipped_by_metadata"": 5}"
Expleo,2,2,2638.8,2639.7,1319.4,1319.4,2578.8,2578.8,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,9737.0,9737.0,9737.0,9737.0,9737.0,9737.0,"{""form_processed"": 1}"
finnova,2,2,51342.4,48278.7,25671.2,25671.2,28945.9,28945.9,"{""no_application_form"": 2}"
Harmattan AI,1,1,7652.0,7652.0,7652.0,7652.0,7652.0,7652.0,"{""form_processed"": 1}"
Hoshii AG,1,1,21344.3,21344.2,21344.3,21344.3,21344.3,21344.3,"{""no_application_form"": 1}"
Julius Bär,2,2,136.8,109862.8,68.4,68.4,75.8,75.8,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,17789.2,17789.2,17789.2,17789.2,17789.2,17789.2,"{""form_processed"": 1}"
Kanton Luzern,3,3,91140.4,47498.6,30380.1,27587.8,43643.0,43643.0,"{""form_processed"": 1, ""workflow_failed"": 2}"
Meier Tobler,1,1,48143.3,48143.3,48143.3,48143.3,48143.3,48143.3,"{""workflow_failed"": 1}"
Mettler Toledo,1,1,27146.8,27146.8,27146.8,27146.8,27146.8,27146.8,"{""no_application_form"": 1}"
Microservice Solutions,1,1,48138.8,48138.8,48138.8,48138.8,48138.8,48138.8,"{""workflow_failed"": 1}"
Microsoft,1,1,25068.9,25068.9,25068.9,25068.9,25068.9,25068.9,"{""workflow_failed"": 1}"
Mimic,2,2,44060.8,143604.9,22030.4,22030.4,25092.3,25092.3,"{""form_processed"": 1, ""workflow_failed"": 1}"
Monolithic Power Systems,1,1,60.7,60.7,60.7,60.7,60.7,60.7,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,92223.8,52717.9,46111.9,46111.9,52106.3,52106.3,"{""workflow_failed"": 2}"
NVIDIA,1,1,27523.8,27523.9,27523.8,27523.8,27523.8,27523.8,"{""workflow_failed"": 1}"
NZZ,1,1,28019.6,28019.6,28019.6,28019.6,28019.6,28019.6,"{""form_processed"": 1}"
ONLU AG,1,1,17101.9,17102.0,17101.9,17101.9,17101.9,17101.9,"{""form_processed"": 1}"
Pax,1,1,15111.3,15111.3,15111.3,15111.3,15111.3,15111.3,"{""form_processed"": 1}"
Richemont,1,1,9765.9,9765.9,9765.9,9765.9,9765.9,9765.9,"{""no_application_form"": 1}"
Rivia,1,1,25090.9,25091.0,25090.9,25090.9,25090.9,25090.9,"{""workflow_failed"": 1}"
Roche,1,1,2562.0,2562.0,2562.0,2562.0,2562.0,2562.0,"{""skipped_by_metadata"": 1}"
RUAG,5,5,158086.2,151060.9,31617.2,27633.4,38040.0,38040.0,"{""form_processed"": 2, ""workflow_failed"": 3}"
Salesforce,7,7,433.5,83556.2,61.9,61.7,63.0,63.0,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,39666.9,49128.6,19833.5,19833.5,32185.5,32185.5,"{""form_processed"": 2}"
Thomson Reuters,1,1,61.6,61.6,61.6,61.6,61.6,61.6,"{""skipped_by_metadata"": 1}"
ti&m,8,8,160352.8,94347.5,20044.1,16831.7,37693.3,37693.3,"{""form_processed"": 1, ""no_application_form"": 7}"
Universitätsspital Zürich,1,1,20980.8,20980.9,20980.8,20980.8,20980.8,20980.8,"{""generic_form"": 1}"
Vaudoise,2,2,33867.3,34399.5,16933.7,16933.7,24617.4,24617.4,"{""form_processed"": 1, ""workflow_failed"": 1}"
vlot,1,1,19081.5,19081.5,19081.5,19081.5,19081.5,19081.5,"{""no_application_form"": 1}"
Wavestone,2,2,83175.3,58070.0,41587.6,41587.6,42021.1,42021.1,"{""form_processed"": 1, ""workflow_failed"": 1}"
Zürcher Kantonalbank,4,4,43263.2,105740.0,10815.8,7253.8,22462.2,22462.2,"{""form_processed"": 4}"
