rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,12712.2,12323.5,0.3,12712.6,0,38A4C0E5EF88978B99938E06FEA3E08B,208.8,0,5100912.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,12711.7,12308.2,0.7,12712.4,1,D23288343ACBB8E7B0540F77CF47C34C,207.8,0,5104644.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,21226.3,20831.0,1.0,21227.3,2,671EC8823552C1439BC1E631C55760A4,205.1,0,4814504.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,396.7,0.0,1.2,397.9,3,87B8549D3E6DEC1D40440F7ABAE549C7,206.2,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,3773.6,3368.1,1.5,3775.1,4,9E1C437024A20C80319ECAEF967406E2,212.3,0,8277064.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,37494.2,37083.8,1.7,37495.9,5,A4A40FBBF5B06417C850BE7CAA372E41,217.9,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,25687.8,25300.5,2.0,25689.8,6,44661923A8B0FDAFF97481B85D716EAB,192.2,0,9864400.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,23736.4,23334.3,2.2,23738.6,7,99BAA0A8FFD4E3797E4BAC7EA42006F6,206.4,0,10422056.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,24989.1,24578.3,2.5,24991.5,8,4D4F4B1247AFC9C7A189DF723C204BB7,217.8,0,10686712.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,395.1,0.0,2.7,397.7,9,4A174B02133C6BEE3F06DE2294568DD7,198.0,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,18454.4,18241.1,398.9,18853.3,9,4A174B02133C6BEE3F06DE2294568DD7,212.6,0,4489420.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,216.1,0.0,399.9,616.0,3,87B8549D3E6DEC1D40440F7ABAE549C7,215.6,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.2,0.0,616.8,833.0,3,87B8549D3E6DEC1D40440F7ABAE549C7,215.9,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,218.4,0.0,834.1,1052.5,3,87B8549D3E6DEC1D40440F7ABAE549C7,217.9,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,25828.6,25618.9,1053.8,26882.3,3,87B8549D3E6DEC1D40440F7ABAE549C7,208.8,0,4126032.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,24513.4,24295.1,3776.3,28289.6,4,9E1C437024A20C80319ECAEF967406E2,217.9,0,44029344.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,7352.1,7139.8,12714.7,20066.8,1,D23288343ACBB8E7B0540F77CF47C34C,211.0,0,3349996.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,11162.1,10952.3,12715.8,23877.9,0,38A4C0E5EF88978B99938E06FEA3E08B,208.8,0,1767884.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,7238.8,7028.5,18854.9,26093.7,9,4A174B02133C6BEE3F06DE2294568DD7,209.9,0,14489772.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,4229.1,4020.1,20068.0,24297.0,1,D23288343ACBB8E7B0540F77CF47C34C,208.5,0,4160044.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,24571.8,24357.3,21228.6,45800.4,2,671EC8823552C1439BC1E631C55760A4,214.1,0,38483224.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,7078.0,6869.6,23739.9,30818.0,7,99BAA0A8FFD4E3797E4BAC7EA42006F6,208.1,0,8544320.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,215.7,0.0,23879.5,24095.2,0,38A4C0E5EF88978B99938E06FEA3E08B,215.1,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,5589.0,5382.0,24096.7,29685.7,0,38A4C0E5EF88978B99938E06FEA3E08B,206.5,0,5009424.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,form_processed,,17436.1,17220.4,24298.4,41734.6,1,D23288343ACBB8E7B0540F77CF47C34C,215.3,0,17349492.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,22114.2,21900.3,24993.0,47107.1,8,4D4F4B1247AFC9C7A189DF723C204BB7,213.3,0,52648060.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,workflow_failed,,25241.3,25033.6,25691.1,50932.3,6,44661923A8B0FDAFF97481B85D716EAB,207.1,0,1735888.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,214.7,0.0,26095.0,26309.8,9,4A174B02133C6BEE3F06DE2294568DD7,214.2,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,213.9,0.0,26311.2,26525.1,9,4A174B02133C6BEE3F06DE2294568DD7,213.5,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,workflow_failed,,21312.1,21103.1,26526.1,47838.2,9,4A174B02133C6BEE3F06DE2294568DD7,208.3,0,11886048.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,6922.1,6711.7,26883.5,33805.6,3,87B8549D3E6DEC1D40440F7ABAE549C7,210.0,0,2186212.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,form_processed,,5607.5,5400.3,28291.4,33898.9,4,9E1C437024A20C80319ECAEF967406E2,206.5,0,88394496.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,7225.7,7020.7,29687.2,36912.9,0,38A4C0E5EF88978B99938E06FEA3E08B,204.5,0,6803728.0
34,Baker Hughes,['Baker Hughes'],,,BakerHughes_R164293,Software Engineer - Embedded Software (d/f/m),True,skipped_by_metadata,declared_mode_account,216.5,0.0,30819.7,31036.3,7,99BAA0A8FFD4E3797E4BAC7EA42006F6,216.0,0,
35,AutoForm,['AutoForm'],,,AutoForm_5158,(Senior) Software Engineer (m/f) 80–100%,True,form_processed,,10866.5,10655.5,31037.6,41904.1,7,99BAA0A8FFD4E3797E4BAC7EA42006F6,210.4,0,5577812.0
36,AutoForm,['AutoForm'],,,AutoForm_5157,(Senior) Software Engineer (m/f) 80-100%,True,form_processed,,8097.5,7887.4,33806.7,41904.2,3,87B8549D3E6DEC1D40440F7ABAE549C7,209.7,0,6118052.0
37,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10123612,ICT DevOps Engineer Data & Analytics Senior,True,authentication_required,,17991.1,17776.6,33900.5,51891.6,4,9E1C437024A20C80319ECAEF967406E2,214.1,0,13835668.0
38,Digital Wave Finance AG,['Digital Wave Finance AG'],,,DigitalWaveFinanceAG_B1B5C73CAF,C# Developer Platform,True,no_application_form,,10862.1,10656.8,36914.3,47776.4,0,38A4C0E5EF88978B99938E06FEA3E08B,204.9,0,21954108.0
39,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_1ba9e9f4c1f8,Input Engineer Dokumentenmanagement (m/w/d),True,form_processed,,7220.2,7004.8,37496.9,44717.1,5,A4A40FBBF5B06417C850BE7CAA372E41,214.9,0,3973544.0
40,SonarSource,['SonarSource'],,,SonarSource_063c3fa2-788a-4e2b-b35e-80ff7b122739,Sales Solutions Engineer - EMEA,True,form_processed,,4949.5,4735.7,41735.9,46685.4,1,D23288343ACBB8E7B0540F77CF47C34C,213.3,0,5287528.0
41,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_49C70CEE5E,Frontend Developer (Angular),True,no_application_form,,5870.5,5664.4,41905.8,47776.2,7,99BAA0A8FFD4E3797E4BAC7EA42006F6,205.1,0,17628188.0
42,Brack,['Brack'],,,Brack_gen_e9539f58830f,Senior Software Engineer,True,form_processed,,22242.1,22036.4,41907.0,64149.1,3,87B8549D3E6DEC1D40440F7ABAE549C7,205.1,0,4338952.0
43,ti&m,['ti&m'],,,TiM_dad56f23-70a7-49c9-8b73-5b69ff18d9c5,Praktikum Java/Kotlin,True,no_application_form,,27335.5,27140.0,44718.3,72053.7,5,A4A40FBBF5B06417C850BE7CAA372E41,195.0,0,10220436.0
44,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17244,Test Analyst,True,no_application_form,,12601.2,12392.2,45802.2,58403.3,2,671EC8823552C1439BC1E631C55760A4,208.4,0,3247532.0
45,Salesforce,['Salesforce'],,,Salesforce_JR349194,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.1,0.0,46687.1,46903.2,1,D23288343ACBB8E7B0540F77CF47C34C,215.8,0,
46,Salesforce,['Salesforce'],,,Salesforce_JR349201,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,202.9,0.0,46904.1,47107.0,1,D23288343ACBB8E7B0540F77CF47C34C,202.5,0,
47,Salesforce,['Salesforce'],,,Salesforce_JR349191,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.5,0.0,47108.4,47325.0,1,D23288343ACBB8E7B0540F77CF47C34C,215.3,0,
48,Salesforce,['Salesforce'],,,Salesforce_JR349988-1,Senior Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,215.1,0.0,47109.8,47324.8,8,4D4F4B1247AFC9C7A189DF723C204BB7,214.5,0,
49,Eraneos,['Eraneos'],,,Eraneos_JR100288,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,216.8,0.0,47326.5,47543.2,8,4D4F4B1247AFC9C7A189DF723C204BB7,216.1,0,
50,Eraneos,['Eraneos'],,,Eraneos_JR100287,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,215.7,0.0,47327.4,47543.1,1,D23288343ACBB8E7B0540F77CF47C34C,215.2,0,
51,BCG,['BCG'],,,BCG_794,"AI Tech Consultant (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,22680.7,22471.7,47544.3,70225.0,1,D23288343ACBB8E7B0540F77CF47C34C,208.2,0,7923164.0
52,BCG,['BCG'],,,BCG_795,"Senior AI Tech Consultant (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,23127.7,22921.6,47545.0,70672.7,8,4D4F4B1247AFC9C7A189DF723C204BB7,204.9,0,8660496.0
53,BCG,['BCG'],,,BCG_799,"Senior AI Tech Architect (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,21440.0,21231.1,47778.2,69218.1,7,99BAA0A8FFD4E3797E4BAC7EA42006F6,208.0,0,7912864.0
54,BCG,['BCG'],,,BCG_802,"AI Tech Architect (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,20769.0,20555.7,47779.2,68548.2,0,38A4C0E5EF88978B99938E06FEA3E08B,212.7,0,7906536.0
55,NZZ,['NZZ'],,,NZZ_c3a0f054-8a9c-4fc9-bc4c-ed1cecbedd07,Data Generalist / Senior Data Scientist-Engineer (w/m) 80 - 100%,True,form_processed,,20849.5,20658.0,47839.7,68689.2,9,4A174B02133C6BEE3F06DE2294568DD7,190.9,0,5571084.0
56,Pax,['Pax'],,,Pax_10094251,Senior Data Engineer (w/m/d),True,form_processed,,16741.5,16534.8,50933.3,67674.8,6,44661923A8B0FDAFF97481B85D716EAB,206.3,0,18656372.0
57,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17171,AI Tech Lead,True,no_application_form,,9437.5,9227.3,51893.2,61330.8,4,9E1C437024A20C80319ECAEF967406E2,209.8,0,5883860.0
58,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_238727d9ac12,Fullstack DevOps Engineer (m/w/d),True,form_processed,,4942.3,4729.6,58404.9,63347.2,2,671EC8823552C1439BC1E631C55760A4,212.2,0,3890192.0
59,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_CC933BBD7A,Linux System Engineer,True,form_processed,,9125.0,8913.3,61332.0,70457.0,4,9E1C437024A20C80319ECAEF967406E2,211.3,0,16534076.0
60,Eraneos,['Eraneos'],,,Eraneos_JR100116,(Senior) Consultant Solution Architect Financial Services 80-100%,True,skipped_by_metadata,declared_mode_account,213.5,0.0,63348.3,63561.8,2,671EC8823552C1439BC1E631C55760A4,213.1,0,
61,RUAG,['RUAG'],,,RUAG_gen_a982422a50b7,AI Engineer C5I,True,form_processed,,8474.9,8257.0,63563.3,72038.1,2,671EC8823552C1439BC1E631C55760A4,217.2,0,9871000.0
62,RUAG,['RUAG'],,,RUAG_gen_92274acc2551,Software Engineer C5I,True,form_processed,,7780.2,7561.0,64150.3,71930.5,3,87B8549D3E6DEC1D40440F7ABAE549C7,218.7,0,10548960.0
63,ti&m,['ti&m'],,,TiM_9feefbec-a75c-4822-82a8-f9141ce4d24d,Senior Fullstack Engineer (Java & Angular),True,no_application_form,,11378.4,11168.6,67676.6,79054.9,6,44661923A8B0FDAFF97481B85D716EAB,209.2,0,10198916.0
64,Arina,['Arina'],,,Arina_16298292,Forensic Solution Engineer m/w/d,True,no_application_form,,10210.5,9997.6,68549.4,78759.9,0,38A4C0E5EF88978B99938E06FEA3E08B,212.6,0,59673144.0
65,Richemont,['Richemont'],,,Richemont_jr129923,Ingénieur R&I Firmware & Architecture Ultra Low Power (H/F),True,no_application_form,,2758.9,2550.5,68691.3,71450.1,9,4A174B02133C6BEE3F06DE2294568DD7,207.9,0,7873148.0
66,BS-Team,['BS-Team'],,,BSTeam_36773,Chef de Projet IT,True,form_processed,,17091.2,16879.1,69219.2,86310.5,7,99BAA0A8FFD4E3797E4BAC7EA42006F6,211.7,0,20949576.0
67,Monolithic Power Systems,['Monolithic Power Systems'],,,MonolithicPower_R-1456,IT Infrastrucure Engineer,True,skipped_by_metadata,declared_mode_account,214.8,0.0,70226.3,70441.1,1,D23288343ACBB8E7B0540F77CF47C34C,214.4,0,
68,Eraneos,['Eraneos'],,,Eraneos_JR100263,Enterprise Solution Architect 80-100%,True,skipped_by_metadata,declared_mode_account,213.2,0.0,70442.9,70656.1,1,D23288343ACBB8E7B0540F77CF47C34C,212.8,0,
69,Eraneos,['Eraneos'],,,Eraneos_JR100258,(Senior) Data Analytics Consultant 60-100%,True,skipped_by_metadata,declared_mode_account,213.4,0.0,70459.5,70672.9,4,9E1C437024A20C80319ECAEF967406E2,212.9,0,
70,Destinus,['Destinus'],,,Destinus_47D8F41867,IT Security Engineer,True,no_application_form,,4719.5,4504.3,70657.0,75376.5,1,D23288343ACBB8E7B0540F77CF47C34C,214.9,0,19287336.0
71,BS-Team,['BS-Team'],,,BSTeam_32288,Product Owner Plan de Reprise d’Activité (PRA) / Disaster Recovery Plan (DRP),True,form_processed,,14538.0,14327.5,70674.3,85212.3,8,4D4F4B1247AFC9C7A189DF723C204BB7,209.8,0,21199012.0
72,Alohi,['Alohi'],,,Alohi_c04ce541-0cda-46eb-807f-914853681c67,Backend Developer (VoIP),True,form_processed,,5800.8,5580.3,70675.2,76476.0,4,9E1C437024A20C80319ECAEF967406E2,219.9,0,19996768.0
73,adesso,['adesso'],,,adesso_2680,Software Architekt Java (all genders),True,form_processed,,13017.7,12825.2,71453.1,84470.8,9,4A174B02133C6BEE3F06DE2294568DD7,191.7,0,9603800.0
74,ANYbotics,['ANYbotics'],,,ANYbotics_7e305a48-4628-4a6a-b054-0367b6f6e586,Software Engineering Internship - AI Platform,True,form_processed,,5330.1,5124.9,71932.1,77262.2,3,87B8549D3E6DEC1D40440F7ABAE549C7,204.7,0,5153732.0
75,ONLU AG,['ONLU AG'],,,ONLU_995,DevOps / Software Engineer (m/w) 80 - 100% - Zug - Zürich - Luzern - Basel: German Speaking= MUST,True,form_processed,,14842.3,14644.8,72039.5,86881.8,2,671EC8823552C1439BC1E631C55760A4,197.1,0,7137184.0
76,Fincons Group,['Fincons Group'],,,FinconsGroup_hEPeMkC7c1,Senior Applikations-Entwickler: in 80 - 100%,True,form_processed,,7592.7,7388.5,72055.0,79647.7,5,A4A40FBBF5B06417C850BE7CAA372E41,203.6,0,6858512.0
77,Harmattan AI,['Harmattan AI'],,,harmattan_ai_4c08b32b-5abf-426f-8ee0-b172bd7a8ead,Software Test & Validation Engineer,True,form_processed,,3928.1,3721.8,75377.8,79305.9,1,D23288343ACBB8E7B0540F77CF47C34C,205.7,0,17614400.0
78,Julius Bär,['Julius Bär'],,,JuliusBaer_r-16579,Remote Access Engineer (Citrix NetScaler & Zscaler Private Access) 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,213.3,0.0,76477.7,76691.0,4,9E1C437024A20C80319ECAEF967406E2,212.3,0,
79,Meier Tobler,['Meier Tobler'],,,Meier_Tobler_2b0b6e61-4708-4619-91af-b56ab9d1d0c8,DevSecOps Platform Engineer 80-100% (w/m),True,no_application_form,,21937.5,21743.9,76692.0,98629.5,4,9E1C437024A20C80319ECAEF967406E2,193.2,0,26161944.0
80,Microservice Solutions,['Microservice Solutions'],,,MicroserviceSolutions_senior-backend-developer,Senior Backend Developer,True,no_application_form,,20146.2,19950.9,77263.7,97409.9,3,87B8549D3E6DEC1D40440F7ABAE549C7,194.8,0,27280600.0
81,Mimic,['Mimic'],,,Mimic_am9icG9zdDohvbB9aDWzwurqy6QSQzMi,Forward Deployed Robotics Engineer,True,no_application_form,,4304.4,4093.6,78761.2,83065.6,0,38A4C0E5EF88978B99938E06FEA3E08B,210.4,0,51943388.0
82,finnova,['finnova'],,,finnova_10099704,Software Engineer Kartenverwaltung & Schalter (all) 100%,True,no_application_form,,20897.6,20706.9,79056.0,99953.6,6,44661923A8B0FDAFF97481B85D716EAB,190.3,0,16319320.0
83,ti&m,['ti&m'],,,TiM_fc2dd119-3d49-4799-82ec-36cc58326a0e,Senior Data Engineer,True,no_application_form,,11396.5,11183.4,79307.2,90703.7,1,D23288343ACBB8E7B0540F77CF47C34C,212.6,0,12801812.0
84,ti&m,['ti&m'],,,TiM_5b10ee45-d5a1-4521-a337-b237aa1eb70d,Senior System Engineer mit Schwerpunkt Kubernetes / OpenShift,True,no_application_form,,18840.5,18632.0,79649.2,98489.7,5,A4A40FBBF5B06417C850BE7CAA372E41,207.9,0,14891788.0
85,ti&m,['ti&m'],,,TiM_1fb1656d-9cb5-4989-95af-d6d25e5c628a,Professional Data Engineer,True,no_application_form,,12504.8,12295.7,83067.3,95572.2,0,38A4C0E5EF88978B99938E06FEA3E08B,208.3,0,16147128.0
86,ti&m,['ti&m'],,,TiM_f114aa82-f48f-42a9-a47d-ecae2da39ce4,Lead Engineer Frontend / Product Architect Frontend,True,no_application_form,,13014.6,12821.2,84472.2,97486.7,9,4A174B02133C6BEE3F06DE2294568DD7,192.9,0,16005996.0
87,ti&m,['ti&m'],,,TiM_e2f0a4af-8d2e-472d-9ffa-3e3ae8a5a21d,Application Engineer / Technical Project Manager,True,no_application_form,,12475.0,12265.1,85213.8,97688.8,8,4D4F4B1247AFC9C7A189DF723C204BB7,209.4,0,16210184.0
88,ti&m,['ti&m'],,,TiM_d4613aaf-ae08-4f4a-a836-da47919b73ec,Azure Cloud Architect,True,no_application_form,,12793.2,12582.6,86311.7,99104.9,7,99BAA0A8FFD4E3797E4BAC7EA42006F6,210.3,0,16155724.0
89,BKW,['BKW'],,,BKW_7298,Quantitative Commodity Analyst (all),True,form_processed,,30392.3,30178.1,86883.2,117275.4,2,671EC8823552C1439BC1E631C55760A4,213.6,0,19262188.0
90,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_bb2244e94443,Product Owner Mobile Apps (m/w/d),True,form_processed,,5160.7,4950.2,90704.8,95865.5,1,D23288343ACBB8E7B0540F77CF47C34C,210.1,0,4069460.0
91,aity AG,['aity AG'],,,Aity_10163811,ServiceNow Engineer (a),True,form_processed,,9025.3,8812.0,95573.2,104598.5,0,38A4C0E5EF88978B99938E06FEA3E08B,212.8,0,3800544.0
92,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_37ad9a0532c7,Scrum Master (m/w/d),True,form_processed,,4132.7,3923.5,95866.8,99999.5,1,D23288343ACBB8E7B0540F77CF47C34C,208.8,0,6478744.0
93,Advertima Vision,['Advertima Vision'],,,AdvertimaVision_aFKdIK5rZD,"Senior Software Engineer (Full Stack), Fleet Management",True,form_processed,,3025.4,2817.0,97411.2,100436.6,3,87B8549D3E6DEC1D40440F7ABAE549C7,208.0,0,6877456.0
