company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,13017.7,13017.7,13017.7,13017.7,13017.7,13017.7,"{""form_processed"": 1}"
Advertima Vision,1,1,3025.4,3025.4,3025.4,3025.4,3025.4,3025.4,"{""form_processed"": 1}"
aity AG,2,2,13668.4,9025.3,6834.2,6834.2,9025.3,9025.3,"{""form_processed"": 2}"
Alohi,1,1,5800.8,5800.8,5800.8,5800.8,5800.8,5800.8,"{""form_processed"": 1}"
Ansam Group,2,2,9742.6,87163.9,4871.3,4871.3,7352.1,7352.1,"{""authentication_required"": 2}"
ANYbotics,1,1,5330.1,5330.1,5330.1,5330.1,5330.1,5330.1,"{""form_processed"": 1}"
Arina,1,1,10210.5,10210.5,10210.5,10210.5,10210.5,10210.5,"{""no_application_form"": 1}"
AutoForm,2,2,18964.0,10866.6,9482.0,9482.0,10866.5,10866.5,"{""form_processed"": 2}"
Baker Hughes,1,1,216.5,216.6,216.5,216.5,216.5,216.5,"{""skipped_by_metadata"": 1}"
BCG,4,4,88017.4,23128.4,22004.3,22060.3,23127.7,23127.7,"{""no_application_form"": 4}"
BKW,1,1,30392.3,30392.2,30392.3,30392.3,30392.3,30392.3,"{""form_processed"": 1}"
Brack,1,1,22242.1,22242.1,22242.1,22242.1,22242.1,22242.1,"{""form_processed"": 1}"
BS-Team,3,3,56870.5,60619.4,18956.8,17091.2,25241.3,25241.3,"{""form_processed"": 2, ""workflow_failed"": 1}"
Bundesverwaltung,4,4,69399.2,102319.6,17349.8,19651.6,25828.6,25828.6,"{""authentication_required"": 2, ""workflow_failed"": 2}"
Crypto Finance AG,2,2,14995.5,28551.2,7497.8,7497.8,9125.0,9125.0,"{""form_processed"": 1, ""no_application_form"": 1}"
CSS,2,2,28452.0,36911.9,14226.0,14226.0,21226.3,21226.3,"{""form_processed"": 2}"
DeepJudge,1,1,7238.8,7238.8,7238.8,7238.8,7238.8,7238.8,"{""form_processed"": 1}"
Destinus,1,1,4719.5,4719.5,4719.5,4719.5,4719.5,4719.5,"{""no_application_form"": 1}"
Digital Wave Finance AG,1,1,10862.1,10862.1,10862.1,10862.1,10862.1,10862.1,"{""no_application_form"": 1}"
EPAM,1,1,17436.1,17436.2,17436.1,17436.1,17436.1,17436.1,"{""form_processed"": 1}"
Eraneos,5,5,1072.6,23346.4,214.5,213.5,216.8,216.8,"{""skipped_by_metadata"": 5}"
Expleo,2,2,612.8,614.8,306.4,306.4,396.7,396.7,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,7592.7,7592.7,7592.7,7592.7,7592.7,7592.7,"{""form_processed"": 1}"
finnova,2,2,30117.4,28794.6,15058.7,15058.7,20897.6,20897.6,"{""form_processed"": 1, ""no_application_form"": 1}"
Harmattan AI,1,1,3928.1,3928.1,3928.1,3928.1,3928.1,3928.1,"{""form_processed"": 1}"
Hoshii AG,1,1,22114.2,22114.1,22114.2,22114.2,22114.2,22114.2,"{""no_application_form"": 1}"
Julius Bär,2,2,429.0,52811.5,214.5,214.5,215.7,215.7,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,10485.9,10485.8,10485.9,10485.9,10485.9,10485.9,"{""form_processed"": 1}"
Kanton Luzern,3,3,29653.0,24296.7,9884.3,12711.7,12712.2,12712.2,"{""form_processed"": 3}"
Meier Tobler,1,1,21937.5,21937.5,21937.5,21937.5,21937.5,21937.5,"{""no_application_form"": 1}"
Mettler Toledo,1,1,17805.5,17805.5,17805.5,17805.5,17805.5,17805.5,"{""no_application_form"": 1}"
Microservice Solutions,1,1,20146.2,20146.2,20146.2,20146.2,20146.2,20146.2,"{""no_application_form"": 1}"
Microsoft,1,1,24571.8,24571.8,24571.8,24571.8,24571.8,24571.8,"{""no_application_form"": 1}"
Mimic,2,2,28817.8,79289.3,14408.9,14408.9,24513.4,24513.4,"{""form_processed"": 1, ""no_application_form"": 1}"
Monolithic Power Systems,1,1,214.8,214.8,214.8,214.8,214.8,214.8,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,22038.7,15528.6,11019.4,11019.4,12601.2,12601.2,"{""no_application_form"": 2}"
NVIDIA,1,1,37494.2,37494.2,37494.2,37494.2,37494.2,37494.2,"{""no_application_form"": 1}"
NZZ,1,1,20849.5,20849.5,20849.5,20849.5,20849.5,20849.5,"{""form_processed"": 1}"
ONLU AG,1,1,14842.3,14842.3,14842.3,14842.3,14842.3,14842.3,"{""form_processed"": 1}"
Pax,1,1,16741.5,16741.5,16741.5,16741.5,16741.5,16741.5,"{""form_processed"": 1}"
Richemont,1,1,2758.9,2758.8,2758.9,2758.9,2758.9,2758.9,"{""no_application_form"": 1}"
Rivia,1,1,5607.5,5607.5,5607.5,5607.5,5607.5,5607.5,"{""form_processed"": 1}"
Roche,1,1,395.1,395.0,395.1,395.1,395.1,395.1,"{""skipped_by_metadata"": 1}"
RUAG,5,5,90668.4,72036.1,18133.7,23736.4,25687.8,25687.8,"{""form_processed"": 5}"
Salesforce,7,7,1499.9,46708.2,214.3,216.1,218.4,218.4,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,12027.5,22945.5,6013.8,6013.8,7078.0,7078.0,"{""form_processed"": 2}"
Thomson Reuters,1,1,213.9,213.9,213.9,213.9,213.9,213.9,"{""skipped_by_metadata"": 1}"
ti&m,8,8,119738.5,54386.6,14967.3,12649.0,27335.5,27335.5,"{""no_application_form"": 8}"
Universitätsspital Zürich,1,1,10952.5,10952.4,10952.5,10952.5,10952.5,10952.5,"{""generic_form"": 1}"
Vaudoise,2,2,24043.4,29286.8,12021.7,12021.7,18454.4,18454.4,"{""form_processed"": 2}"
vlot,1,1,3773.6,3773.6,3773.6,3773.6,3773.6,3773.6,"{""no_application_form"": 1}"
Wavestone,2,2,18084.2,21089.8,9042.1,9042.1,11162.1,11162.1,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,21455.9,62502.6,5364.0,5051.5,7220.2,7220.2,"{""form_processed"": 4}"
