rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8773.5,8349.7,0.3,8773.8,0,AB8CA1825727EB5F5AEF07FFC4AD3331,219.6,0,5114160.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8773.0,8340.1,0.6,8773.5,1,CCE3C087615F7C9DB049DD768C08007A,219.8,0,4931736.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,16449.2,16017.6,0.9,16450.1,2,E5B5BF4D42D20534DBEC78F873684E18,214.0,0,3585772.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,421.0,0.0,1.2,422.2,3,68E4809868842A34DC19D42DCE5B40E6,200.7,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,5278.1,4865.7,1.4,5279.5,4,132A7FCF7BD0229D0A66237746D30384,208.8,0,17036580.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,15966.9,15543.4,1.7,15968.5,5,06AE578A2FC940DD1BAE0C8AA71CF3EB,204.2,0,39063808.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,19242.7,18819.7,1.9,19244.6,6,67CEA49A05EE6C0BA8C20BFD9BB0F611,204.5,0,10985100.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,19948.8,19539.8,2.1,19950.9,7,C114253A8F010167052979F3F6E6E529,204.6,0,11173064.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,18493.7,18066.3,2.4,18496.1,8,86323AD8ECD8395EE838AA549F905A41,215.5,0,10640516.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,419.3,0.0,2.7,422.0,9,E5C2A02C932D60B8B4910ED9B92F6A7E,209.2,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,10865.7,10652.5,423.2,11288.9,9,E5C2A02C932D60B8B4910ED9B92F6A7E,212.4,0,4507472.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,203.7,0.0,423.9,627.6,3,68E4809868842A34DC19D42DCE5B40E6,202.9,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,189.1,0.0,628.5,817.6,3,68E4809868842A34DC19D42DCE5B40E6,188.8,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,217.7,0.0,818.5,1036.2,3,68E4809868842A34DC19D42DCE5B40E6,217.3,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,24668.2,24457.0,1037.4,25705.6,3,68E4809868842A34DC19D42DCE5B40E6,210.5,0,4074880.0
