company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,9615.5,9615.5,9615.5,9615.5,9615.5,9615.5,"{""form_processed"": 1}"
Advertima Vision,1,1,2946.3,2946.3,2946.3,2946.3,2946.3,2946.3,"{""form_processed"": 1}"
aity AG,2,2,49464.0,48890.0,24732.0,24732.0,41654.9,41654.9,"{""form_processed"": 1, ""workflow_failed"": 1}"
Alohi,1,1,2559.8,2559.8,2559.8,2559.8,2559.8,2559.8,"{""form_processed"": 1}"
Ansam Group,2,2,10735.1,75159.5,5367.5,5367.5,8260.3,8260.3,"{""authentication_required"": 2}"
ANYbotics,1,1,5107.6,5107.6,5107.6,5107.6,5107.6,5107.6,"{""form_processed"": 1}"
Arina,1,1,1641.1,1641.1,1641.1,1641.1,1641.1,1641.1,"{""no_application_form"": 1}"
AutoForm,2,2,15728.3,9635.5,7864.1,7864.1,9635.6,9635.6,"{""form_processed"": 2}"
Baker Hughes,1,1,217.7,217.7,217.7,217.7,217.7,217.7,"{""skipped_by_metadata"": 1}"
BCG,4,4,55197.8,15919.4,13799.5,13495.0,15919.4,15919.4,"{""no_application_form"": 4}"
BKW,1,1,21846.3,21846.2,21846.3,21846.3,21846.3,21846.3,"{""workflow_failed"": 1}"
Brack,1,1,8967.1,8967.1,8967.1,8967.1,8967.1,8967.1,"{""form_processed"": 1}"
BS-Team,3,3,28281.3,38473.5,9427.1,5170.4,18770.6,18770.6,"{""form_processed"": 3}"
Bundesverwaltung,4,4,70558.5,89230.8,17639.6,20035.6,22621.9,22621.9,"{""authentication_required"": 2, ""workflow_failed"": 2}"
Crypto Finance AG,2,2,12554.7,20187.1,6277.4,6277.4,6532.4,6532.4,"{""form_processed"": 2}"
CSS,2,2,30540.2,36558.9,15270.1,15270.1,19486.3,19486.3,"{""form_processed"": 2}"
DeepJudge,1,1,9184.9,9184.9,9184.9,9184.9,9184.9,9184.9,"{""form_processed"": 1}"
Destinus,1,1,7281.5,7281.6,7281.5,7281.5,7281.5,7281.5,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,10370.8,10370.9,10370.8,10370.8,10370.8,10370.8,"{""form_processed"": 1}"
EPAM,1,1,8243.5,8243.5,8243.5,8243.5,8243.5,8243.5,"{""no_application_form"": 1}"
Eraneos,5,5,1086.5,16013.0,217.3,216.7,219.0,219.0,"{""skipped_by_metadata"": 5}"
Expleo,2,2,631.1,633.0,315.6,315.6,413.8,413.8,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,5823.4,5823.4,5823.4,5823.4,5823.4,5823.4,"{""form_processed"": 1}"
finnova,2,2,34106.5,34760.1,17053.2,17053.2,17877.5,17877.5,"{""no_application_form"": 2}"
Harmattan AI,1,1,3178.9,3178.9,3178.9,3178.9,3178.9,3178.9,"{""form_processed"": 1}"
Hoshii AG,1,1,14476.3,14476.3,14476.3,14476.3,14476.3,14476.3,"{""no_application_form"": 1}"
Julius Bär,2,2,434.6,40402.2,217.3,217.3,218.3,218.3,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,10916.4,10916.5,10916.4,10916.4,10916.4,10916.4,"{""form_processed"": 1}"
Kanton Luzern,3,3,21265.9,20786.9,7088.6,8742.1,8742.5,8742.5,"{""form_processed"": 3}"
Meier Tobler,1,1,26107.1,26107.1,26107.1,26107.1,26107.1,26107.1,"{""no_application_form"": 1}"
Mettler Toledo,1,1,19421.7,19421.8,19421.7,19421.7,19421.7,19421.7,"{""no_application_form"": 1}"
Microservice Solutions,1,1,15487.7,15487.7,15487.7,15487.7,15487.7,15487.7,"{""no_application_form"": 1}"
Microsoft,1,1,21858.8,21858.8,21858.8,21858.8,21858.8,21858.8,"{""no_application_form"": 1}"
Mimic,2,2,28178.4,60618.6,14089.2,14089.2,22226.1,22226.1,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,203.1,203.1,203.1,203.1,203.1,203.1,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,87928.9,47677.4,43964.4,43964.4,47677.4,47677.4,"{""workflow_failed"": 2}"
NVIDIA,1,1,17972.4,17972.4,17972.4,17972.4,17972.4,17972.4,"{""no_application_form"": 1}"
NZZ,1,1,7629.2,7629.2,7629.2,7629.2,7629.2,7629.2,"{""form_processed"": 1}"
ONLU AG,1,1,9958.1,9958.1,9958.1,9958.1,9958.1,9958.1,"{""form_processed"": 1}"
Pax,1,1,9122.0,9122.0,9122.0,9122.0,9122.0,9122.0,"{""form_processed"": 1}"
Richemont,1,1,14710.8,14710.8,14710.8,14710.8,14710.8,14710.8,"{""no_application_form"": 1}"
Rivia,1,1,6982.3,6982.4,6982.3,6982.3,6982.3,6982.3,"{""form_processed"": 1}"
Roche,1,1,412.5,412.6,412.5,412.5,412.5,412.5,"{""skipped_by_metadata"": 1}"
RUAG,5,5,81009.9,58950.8,16202.0,22494.8,22951.0,22951.0,"{""form_processed"": 5}"
Salesforce,7,7,1489.9,39151.2,212.8,216.0,218.4,218.4,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,9580.4,19438.4,4790.2,4790.2,6045.6,6045.6,"{""form_processed"": 2}"
Thomson Reuters,1,1,203.4,203.4,203.4,203.4,203.4,203.4,"{""skipped_by_metadata"": 1}"
ti&m,8,8,75845.0,45641.4,9480.6,8932.8,15933.5,15933.5,"{""no_application_form"": 8}"
Universitätsspital Zürich,1,1,6946.4,6946.4,6946.4,6946.4,6946.4,6946.4,"{""generic_form"": 1}"
Vaudoise,2,2,16133.1,25088.3,8066.6,8066.6,11635.6,11635.6,"{""form_processed"": 2}"
vlot,1,1,8353.7,8353.7,8353.7,8353.7,8353.7,8353.7,"{""no_application_form"": 1}"
Wavestone,2,2,18692.6,20550.8,9346.3,9346.3,12555.5,12555.5,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,21132.9,51756.7,5283.2,4450.1,8139.2,8139.2,"{""form_processed"": 4}"
