company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,9641.0,9641.0,9641.0,9641.0,9641.0,9641.0,"{""form_processed"": 1}"
Advertima Vision,1,1,18320.0,18320.1,18320.0,18320.0,18320.0,18320.0,"{""form_processed"": 1}"
aity AG,2,2,10861.2,15427.3,5430.6,5430.6,5740.7,5740.7,"{""form_processed"": 2}"
Alohi,1,1,2381.6,2381.6,2381.6,2381.6,2381.6,2381.6,"{""form_processed"": 1}"
Ansam Group,2,2,8872.4,77011.4,4436.2,4436.2,6582.9,6582.9,"{""authentication_required"": 2}"
ANYbotics,1,1,19515.5,19515.5,19515.5,19515.5,19515.5,19515.5,"{""no_application_form"": 1}"
Arina,1,1,10560.7,10560.7,10560.7,10560.7,10560.7,10560.7,"{""no_application_form"": 1}"
AutoForm,2,2,15038.1,7564.2,7519.1,7519.1,7549.1,7549.1,"{""form_processed"": 2}"
Baker Hughes,1,1,211.5,211.5,211.5,211.5,211.5,211.5,"{""skipped_by_metadata"": 1}"
BCG,4,4,101822.5,43274.4,25455.6,25892.6,40510.5,40510.5,"{""no_application_form"": 2, ""workflow_failed"": 2}"
BKW,1,1,10887.9,10887.9,10887.9,10887.9,10887.9,10887.9,"{""form_processed"": 1}"
Brack,1,1,10589.5,10589.6,10589.5,10589.5,10589.5,10589.5,"{""form_processed"": 1}"
BS-Team,3,3,32337.5,43279.1,10779.2,4884.7,23136.2,23136.2,"{""form_processed"": 3}"
Bundesverwaltung,4,4,54050.5,92448.8,13512.6,11187.0,24482.7,24482.7,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,11039.3,17581.2,5519.6,5519.6,5661.2,5661.2,"{""form_processed"": 2}"
CSS,2,2,27857.9,38382.7,13929.0,13929.0,15785.8,15785.8,"{""form_processed"": 2}"
DeepJudge,1,1,18478.6,18478.7,18478.6,18478.6,18478.6,18478.6,"{""form_processed"": 1}"
Destinus,1,1,7303.0,7302.9,7303.0,7303.0,7303.0,7303.0,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,9868.1,9868.1,9868.1,9868.1,9868.1,9868.1,"{""form_processed"": 1}"
EPAM,1,1,15441.8,15441.8,15441.8,15441.8,15441.8,15441.8,"{""form_processed"": 1}"
Eraneos,5,5,1061.1,19742.0,212.2,215.7,216.4,216.4,"{""skipped_by_metadata"": 5}"
Expleo,2,2,1395.7,1398.1,697.9,697.9,1179.2,1179.2,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,4729.1,4729.1,4729.1,4729.1,4729.1,4729.1,"{""form_processed"": 1}"
finnova,2,2,13974.8,25000.6,6987.4,6987.4,7430.5,7430.5,"{""form_processed"": 2}"
Harmattan AI,1,1,2314.6,2314.6,2314.6,2314.6,2314.6,2314.6,"{""form_processed"": 1}"
Hoshii AG,1,1,12601.4,12601.4,12601.4,12601.4,12601.4,12601.4,"{""no_application_form"": 1}"
Julius Bär,2,2,405.5,51189.2,202.8,202.8,216.7,216.7,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,7387.3,7387.3,7387.3,7387.3,7387.3,7387.3,"{""form_processed"": 1}"
