rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,7729.6,6550.5,0.4,7730.0,0,377D2026CD4BCE7F9529E310D1E2E950,212.5,0,5558108.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,7713.3,6547.4,0.7,7714.0,1,6693CAA2FCC85DCAC7185DCBC819F8A7,192.6,0,5550836.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,13443.5,12277.8,1.2,13444.7,2,510DEB68A40D7D33BEB3ECD1053942D5,203.4,0,7555396.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,1221.3,0.0,1.6,1222.9,3,3B5B5AAEEF43E048289141CFE5AAA6A2,208.7,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,11036.1,9817.1,2.0,11038.1,4,ED6DBE5482736B64CCC5DFD4C3D08AF2,209.3,0,33816612.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,18447.0,17204.1,2.3,18449.4,5,480B8822FBD6D593DA852F03836E8CA2,238.8,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,10568.9,9368.1,2.6,10571.5,6,E321EFE9EA966349F00824B0CF188E9A,188.6,0,11420496.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,13704.7,12489.3,3.0,13707.7,7,CE5593039F52744B3709A16C6EB95BF6,212.7,0,11981908.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,10395.8,9179.9,3.2,10399.0,8,C0BE56A907905D8E82CCA6A5A5BFFB99,206.7,0,11807440.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,1219.3,0.0,3.5,1222.7,9,0B45C7EBB7400D5A58DA681115ED9FE6,207.3,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,7478.5,7265.0,1223.9,8702.4,9,0B45C7EBB7400D5A58DA681115ED9FE6,212.5,0,4632372.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,199.8,0.0,1224.6,1424.5,3,3B5B5AAEEF43E048289141CFE5AAA6A2,199.0,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,215.9,0.0,1425.6,1641.5,3,3B5B5AAEEF43E048289141CFE5AAA6A2,215.5,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,219.1,0.0,1642.7,1861.8,3,3B5B5AAEEF43E048289141CFE5AAA6A2,218.5,0,
