rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8952.9,8699.9,0.2,8953.0,0,06452B8769FF56F0BB04EE395F17E119,62.7,0,5050120.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8952.7,8708.2,0.4,8953.2,1,AA7D90E7CA06678EC7B4A84BAE1F4CC8,63.2,0,5000092.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,17909.5,17663.7,0.8,17910.3,2,845DED2512DF194A69DAB0592190DDFF,55.1,0,3536828.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,247.3,0.0,0.9,248.2,3,7CF23EDB9B605C4681FBEBB842A6407D,60.3,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,11944.8,11682.7,1.1,11946.0,4,14F5C6167EBFE6AA78A267ADB9E0C7B3,70.9,0,34444408.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,30604.4,30333.9,1.4,30605.8,5,86ACDB87BC0581033B092DA853D54CD2,80.9,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,17052.2,16796.4,1.7,17053.9,6,38150187C3E5727FEBEFFF3A00808863,64.6,0,10975972.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,16565.5,16325.8,1.9,16567.5,7,41E153BD37CE3202625C000161DD8AA5,59.4,0,11652752.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,16332.7,16077.4,2.1,16334.8,8,5DB19742FDDBF1C42FAC7872E309E150,71.4,0,11003128.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,245.7,0.0,2.4,248.0,9,E5B98A725EBD95D06ADF69B75D76522E,54.8,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,10120.8,10044.4,249.5,10370.3,9,E5B98A725EBD95D06ADF69B75D76522E,75.7,0,5341920.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,75.7,0.0,250.4,326.1,3,7CF23EDB9B605C4681FBEBB842A6407D,75.2,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,62.3,0.0,326.9,389.2,3,7CF23EDB9B605C4681FBEBB842A6407D,62.0,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.4,0.0,390.3,451.8,3,7CF23EDB9B605C4681FBEBB842A6407D,60.9,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,24201.4,24147.1,452.8,24654.2,3,7CF23EDB9B605C4681FBEBB842A6407D,53.7,0,4196572.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,26283.8,26217.5,8954.6,35238.3,0,06452B8769FF56F0BB04EE395F17E119,65.4,0,41863500.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,7738.2,7680.4,8955.5,16693.8,1,AA7D90E7CA06678EC7B4A84BAE1F4CC8,57.4,0,7486948.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,10960.2,10901.5,10371.7,21331.9,9,E5B98A725EBD95D06ADF69B75D76522E,58.4,0,1874736.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,11102.7,11042.9,11947.0,23049.8,4,14F5C6167EBFE6AA78A267ADB9E0C7B3,59.5,0,28734548.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,4496.7,4430.1,16335.8,20832.5,8,5DB19742FDDBF1C42FAC7872E309E150,66.3,0,4239272.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,22422.5,22362.6,16568.7,38991.2,7,41E153BD37CE3202625C000161DD8AA5,59.6,0,36812968.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,6184.0,6128.0,16695.0,22879.0,1,AA7D90E7CA06678EC7B4A84BAE1F4CC8,55.7,0,8361268.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,61.0,0.0,17055.4,17116.5,6,38150187C3E5727FEBEFFF3A00808863,60.6,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,5963.5,5909.9,17117.5,23081.0,6,38150187C3E5727FEBEFFF3A00808863,53.2,0,5113672.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,form_processed,,14530.8,14474.9,17911.7,32442.5,2,845DED2512DF194A69DAB0592190DDFF,55.5,0,17765520.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,15699.5,15642.6,20833.7,36533.1,8,5DB19742FDDBF1C42FAC7872E309E150,56.4,0,61801612.0
