company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,5693.1,5693.1,5693.1,5693.1,5693.1,5693.1,"{""form_processed"": 1}"
Advertima Vision,1,1,12550.7,12550.7,12550.7,12550.7,12550.7,12550.7,"{""form_processed"": 1}"
aity AG,2,2,11518.8,10488.9,5759.4,5759.4,8080.8,8080.8,"{""form_processed"": 2}"
Alohi,1,1,2262.0,2262.1,2262.0,2262.0,2262.0,2262.0,"{""form_processed"": 1}"
Ansam Group,2,2,5555.9,52868.6,2777.9,2777.9,3875.0,3875.0,"{""authentication_required"": 2}"
ANYbotics,1,1,3433.6,3433.6,3433.6,3433.6,3433.6,3433.6,"{""form_processed"": 1}"
Arina,1,1,8056.2,8056.3,8056.2,8056.2,8056.2,8056.2,"{""no_application_form"": 1}"
AutoForm,2,2,7961.9,4193.4,3980.9,3980.9,4193.5,4193.5,"{""form_processed"": 2}"
Baker Hughes,1,1,62.1,62.1,62.1,62.1,62.1,62.1,"{""skipped_by_metadata"": 1}"
BCG,4,4,31325.8,8033.8,7831.4,7918.9,7986.6,7986.6,"{""no_application_form"": 4}"
BKW,1,1,14505.1,14505.0,14505.1,14505.1,14505.1,14505.1,"{""form_processed"": 1}"
Brack,1,1,10531.1,10531.1,10531.1,10531.1,10531.1,10531.1,"{""form_processed"": 1}"
BS-Team,3,3,27458.7,31939.4,9152.9,4665.2,18950.5,18950.5,"{""form_processed"": 3}"
Bundesverwaltung,4,4,35976.5,65877.7,8994.1,6802.1,17134.4,17134.4,"{""authentication_required"": 4}"
Crypto Finance AG,2,2,17145.7,18014.5,8572.9,8572.9,10963.2,10963.2,"{""form_processed"": 2}"
CSS,2,2,22594.4,28451.9,11297.2,11297.2,11323.8,11323.8,"{""form_processed"": 2}"
DeepJudge,1,1,2985.3,2985.3,2985.3,2985.3,2985.3,2985.3,"{""form_processed"": 1}"
Destinus,1,1,6859.5,6859.5,6859.5,6859.5,6859.5,6859.5,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,12415.7,12415.7,12415.7,12415.7,12415.7,12415.7,"{""form_processed"": 1}"
EPAM,1,1,10414.3,10414.4,10414.3,10414.3,10414.3,10414.3,"{""form_processed"": 1}"
Eraneos,5,5,302.9,13528.9,60.6,60.7,61.1,61.1,"{""skipped_by_metadata"": 5}"
Expleo,2,2,321.5,323.2,160.8,160.8,259.8,259.8,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,3383.3,3383.3,3383.3,3383.3,3383.3,3383.3,"{""form_processed"": 1}"
finnova,2,2,17453.0,20813.5,8726.5,8726.5,9900.0,9900.0,"{""no_application_form"": 2}"
Harmattan AI,1,1,1723.2,1723.2,1723.2,1723.2,1723.2,1723.2,"{""form_processed"": 1}"
Hoshii AG,1,1,13340.3,13340.3,13340.3,13340.3,13340.3,13340.3,"{""no_application_form"": 1}"
Julius Bär,2,2,120.5,34033.5,60.2,60.2,61.0,61.0,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,7771.1,7771.1,7771.1,7771.1,7771.1,7771.1,"{""form_processed"": 1}"
Kanton Luzern,3,3,16090.5,13797.7,5363.5,6715.5,6903.0,6903.0,"{""form_processed"": 3}"
