company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,5576.4,5576.4,5576.4,5576.4,5576.4,5576.4,"{""form_processed"": 1}"
Advertima Vision,1,1,2907.1,2907.1,2907.1,2907.1,2907.1,2907.1,"{""form_processed"": 1}"
aity AG,2,2,9654.5,6343.5,4827.2,4827.2,6343.3,6343.3,"{""form_processed"": 2}"
Alohi,1,1,2172.1,2172.1,2172.1,2172.1,2172.1,2172.1,"{""form_processed"": 1}"
Ansam Group,2,2,8223.8,40547.2,4111.9,4111.9,5817.3,5817.3,"{""authentication_required"": 2}"
ANYbotics,1,1,3573.5,3573.5,3573.5,3573.5,3573.5,3573.5,"{""form_processed"": 1}"
Arina,1,1,9002.8,9002.8,9002.8,9002.8,9002.8,9002.8,"{""no_application_form"": 1}"
AutoForm,2,2,8011.7,4369.3,4005.8,4005.8,4369.0,4369.0,"{""form_processed"": 2}"
Baker Hughes,1,1,213.0,213.1,213.0,213.0,213.0,213.0,"{""skipped_by_metadata"": 1}"
BCG,4,4,27773.0,7427.0,6943.2,6896.5,7243.6,7243.6,"{""no_application_form"": 4}"
BKW,1,1,16801.8,16801.8,16801.8,16801.8,16801.8,16801.8,"{""form_processed"": 1}"
Brack,1,1,11753.7,11753.7,11753.7,11753.7,11753.7,11753.7,"{""form_processed"": 1}"
BS-Team,3,3,16246.4,21641.1,5415.5,3677.3,9185.7,9185.7,"{""form_processed"": 3}"
Bundesverwaltung,4,4,81410.1,87499.5,20352.5,13081.7,48268.9,48268.9,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,12342.0,11319.7,6171.0,6171.0,6735.6,6735.6,"{""form_processed"": 2}"
CSS,2,2,19524.2,19509.8,9762.1,9762.1,12282.2,12282.2,"{""form_processed"": 2}"
DeepJudge,1,1,4549.8,4549.7,4549.8,4549.8,4549.8,4549.8,"{""form_processed"": 1}"
Destinus,1,1,7940.9,7940.9,7940.9,7940.9,7940.9,7940.9,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,5894.3,5894.2,5894.3,5894.3,5894.3,5894.3,"{""form_processed"": 1}"
EPAM,1,1,7997.6,7997.6,7997.6,7997.6,7997.6,7997.6,"{""form_processed"": 1}"
Eraneos,5,5,1070.9,8122.6,214.2,214.0,214.7,214.7,"{""skipped_by_metadata"": 5}"
