rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,7960.4,7645.5,0.3,7960.6,0,BCAD383E42FAF6B41EDD8F85F0A57824,206.3,0,5485616.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,7834.8,7505.3,0.5,7835.4,1,8532FDA26E4E7B2E6F30096C5876C4F2,214.6,0,5489184.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,15681.9,15359.1,0.9,15682.8,2,1BE7FAE9FB5D93B32C2201915BFC48A5,209.3,0,3767700.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,320.2,0.0,1.2,321.5,3,713BA7D3E436A12774DF638778E9E8E5,205.7,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,9224.6,8895.1,1.5,9226.1,4,71FE2D513EB3A85089BE506C7B9C74CC,210.6,0,18877440.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,13875.6,13536.6,1.8,13877.3,5,F71079FAC2125F56D8783D09BB2C5E2A,216.7,0,43520464.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,14042.5,13829.0,322.4,14364.9,3,713BA7D3E436A12774DF638778E9E8E5,213.1,0,10932228.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,6528.3,6315.4,7836.4,14364.7,1,8532FDA26E4E7B2E6F30096C5876C4F2,212.6,0,10439248.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,11060.3,10846.8,7961.7,19022.0,0,BCAD383E42FAF6B41EDD8F85F0A57824,213.2,0,11247448.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,217.8,0.0,9227.3,9445.1,4,71FE2D513EB3A85089BE506C7B9C74CC,217.3,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,8417.8,8201.2,9446.9,17864.7,4,71FE2D513EB3A85089BE506C7B9C74CC,215.8,0,3916276.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,205.7,0.0,13878.3,14084.0,5,F71079FAC2125F56D8783D09BB2C5E2A,205.3,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,218.2,0.0,14085.0,14303.3,5,F71079FAC2125F56D8783D09BB2C5E2A,217.8,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,204.0,0.0,14304.7,14508.7,5,F71079FAC2125F56D8783D09BB2C5E2A,203.4,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,28218.4,28005.2,14366.2,42584.6,1,8532FDA26E4E7B2E6F30096C5876C4F2,212.1,0,10790556.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,14345.9,14140.6,14367.1,28713.0,3,713BA7D3E436A12774DF638778E9E8E5,204.9,0,52159324.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,4997.2,4800.3,14509.6,19506.9,5,F71079FAC2125F56D8783D09BB2C5E2A,196.5,0,11586520.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,9334.0,9119.6,15684.6,25018.6,2,1BE7FAE9FB5D93B32C2201915BFC48A5,213.9,0,1885540.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,6793.5,6582.7,17866.0,24659.5,4,71FE2D513EB3A85089BE506C7B9C74CC,210.5,0,14316568.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,4528.7,4312.3,19023.2,23551.9,0,BCAD383E42FAF6B41EDD8F85F0A57824,216.2,0,4240008.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,14542.9,14339.0,19508.0,34051.0,5,F71079FAC2125F56D8783D09BB2C5E2A,203.6,0,35983044.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,5547.3,5333.2,23553.0,29100.3,0,BCAD383E42FAF6B41EDD8F85F0A57824,213.8,0,7890976.0
