company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,6550.8,6550.8,6550.8,6550.8,6550.8,6550.8,"{""form_processed"": 1}"
Advertima Vision,1,1,5464.9,5464.9,5464.9,5464.9,5464.9,5464.9,"{""form_processed"": 1}"
aity AG,2,2,55774.9,48296.9,27887.5,27887.5,48296.9,48296.9,"{""form_processed"": 1, ""workflow_failed"": 1}"
Alohi,1,1,2569.3,2569.4,2569.3,2569.3,2569.3,2569.3,"{""form_processed"": 1}"
Ansam Group,2,2,15805.5,90978.2,7902.8,7902.8,10135.2,10135.2,"{""authentication_required"": 2}"
ANYbotics,1,1,3620.7,3620.6,3620.7,3620.7,3620.7,3620.7,"{""form_processed"": 1}"
Arina,1,1,9141.6,9141.6,9141.6,9141.6,9141.6,9141.6,"{""no_application_form"": 1}"
AutoForm,2,2,20230.2,10224.4,10115.1,10115.1,10224.2,10224.2,"{""form_processed"": 2}"
Baker Hughes,1,1,204.3,204.3,204.3,204.3,204.3,204.3,"{""skipped_by_metadata"": 1}"
BCG,4,4,133327.8,54278.8,33331.9,35327.8,54278.8,54278.8,"{""no_application_form"": 1, ""workflow_failed"": 3}"
BKW,1,1,13684.4,13684.5,13684.4,13684.4,13684.4,13684.4,"{""form_processed"": 1}"
Brack,1,1,11723.4,11723.4,11723.4,11723.4,11723.4,11723.4,"{""form_processed"": 1}"
BS-Team,3,3,28465.5,41971.6,9488.5,3650.9,21733.5,21733.5,"{""form_processed"": 3}"
Bundesverwaltung,4,4,115585.7,140570.7,28896.4,24108.7,48711.2,48711.2,"{""workflow_failed"": 4}"
Crypto Finance AG,2,2,18627.8,22911.0,9313.9,9313.9,12554.1,12554.1,"{""form_processed"": 2}"
CSS,2,2,19389.5,30620.8,9694.8,9694.8,14701.1,14701.1,"{""form_processed"": 2}"
DeepJudge,1,1,3234.8,3234.8,3234.8,3234.8,3234.8,3234.8,"{""form_processed"": 1}"
Destinus,1,1,7442.4,7442.4,7442.4,7442.4,7442.4,7442.4,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,14073.0,14073.0,14073.0,14073.0,14073.0,14073.0,"{""form_processed"": 1}"
EPAM,1,1,10148.0,10148.0,10148.0,10148.0,10148.0,10148.0,"{""no_application_form"": 1}"
Eraneos,5,5,1051.9,16384.1,210.4,215.5,217.5,217.5,"{""skipped_by_metadata"": 5}"
Expleo,2,2,644.3,661.1,322.1,322.1,426.6,426.6,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,3308.3,3308.3,3308.3,3308.3,3308.3,3308.3,"{""form_processed"": 1}"
finnova,2,2,67298.8,76841.2,33649.4,33649.4,48343.6,48343.6,"{""no_application_form"": 1, ""workflow_failed"": 1}"
Harmattan AI,1,1,1798.3,1798.3,1798.3,1798.3,1798.3,1798.3,"{""form_processed"": 1}"
Hoshii AG,1,1,9071.0,9070.9,9071.0,9071.0,9071.0,9071.0,"{""no_application_form"": 1}"
Julius Bär,2,2,435.8,45505.0,217.9,217.9,219.4,219.4,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,11738.3,11738.3,11738.3,11738.3,11738.3,11738.3,"{""form_processed"": 1}"
Kanton Luzern,3,3,21673.3,17970.1,7224.4,9375.9,9391.7,9391.7,"{""form_processed"": 3}"
Meier Tobler,1,1,22222.4,22222.4,22222.4,22222.4,22222.4,22222.4,"{""no_application_form"": 1}"
Mettler Toledo,1,1,18417.2,18417.1,18417.2,18417.2,18417.2,18417.2,"{""no_application_form"": 1}"
Microservice Solutions,1,1,48572.7,48572.7,48572.7,48572.7,48572.7,48572.7,"{""workflow_failed"": 1}"
Microsoft,1,1,13430.2,13430.1,13430.2,13430.2,13430.2,13430.2,"{""no_application_form"": 1}"
Mimic,2,2,21791.1,58304.2,10895.5,10895.5,17525.7,17525.7,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,212.3,212.4,212.3,212.3,212.3,212.3,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,97560.8,56038.2,48780.4,48780.4,50421.2,50421.2,"{""workflow_failed"": 2}"
NVIDIA,1,1,15496.1,15496.0,15496.1,15496.1,15496.1,15496.1,"{""no_application_form"": 1}"
NZZ,1,1,8231.3,8231.3,8231.3,8231.3,8231.3,8231.3,"{""form_processed"": 1}"
ONLU AG,1,1,3980.3,3980.2,3980.3,3980.3,3980.3,3980.3,"{""form_processed"": 1}"
Pax,1,1,6932.0,6931.9,6932.0,6932.0,6932.0,6932.0,"{""form_processed"": 1}"
Richemont,1,1,3745.4,3745.4,3745.4,3745.4,3745.4,3745.4,"{""no_application_form"": 1}"
Rivia,1,1,4491.6,4491.6,4491.6,4491.6,4491.6,4491.6,"{""form_processed"": 1}"
Roche,1,1,440.6,440.6,440.6,440.6,440.6,440.6,"{""skipped_by_metadata"": 1}"
RUAG,5,5,66425.8,53391.8,13285.2,17856.6,21545.7,21545.7,"{""form_processed"": 5}"
Salesforce,7,7,1516.0,37120.8,216.6,216.8,218.0,218.0,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,10966.4,16270.8,5483.2,5483.2,5764.6,5764.6,"{""form_processed"": 2}"
Thomson Reuters,1,1,203.8,203.8,203.8,203.8,203.8,203.8,"{""skipped_by_metadata"": 1}"
ti&m,8,8,94075.5,55473.8,11759.4,10145.8,18014.6,18014.6,"{""form_processed"": 1, ""no_application_form"": 7}"
Universitätsspital Zürich,1,1,9316.5,9316.5,9316.5,9316.5,9316.5,9316.5,"{""generic_form"": 1}"
Vaudoise,2,2,15661.9,20885.7,7831.0,7831.0,12287.1,12287.1,"{""form_processed"": 2}"
vlot,1,1,18109.1,18109.1,18109.1,18109.1,18109.1,18109.1,"{""no_application_form"": 1}"
Wavestone,2,2,26845.4,22651.8,13422.7,13422.7,13630.3,13630.3,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,65837.4,108134.5,16459.3,7165.9,48329.4,48329.4,"{""form_processed"": 3, ""workflow_failed"": 1}"
