rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8126.3,7723.0,0.2,8126.5,0,1A9FDA086AB07C05426460BC48DA9D80,213.4,0,4918824.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8173.2,7773.0,0.4,8173.5,1,33F36A097463C73B4FED40319915ADB6,212.4,0,4999828.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,17717.8,17317.6,0.6,17718.5,2,37EF7CA7A075F91D583749378F0BE6CF,215.0,0,4314872.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,395.2,0.0,0.8,396.0,3,7B6434A6AACEE5D5357E23272BD7D06F,206.6,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,16806.2,16420.7,1.1,16807.3,4,5622F8C9174DE784CEFE70FAAEDD3696,192.6,0,33141136.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,19937.5,19533.7,1.4,19938.9,5,3B95DBD5303D4FD7A42F6576E4375716,212.6,0,36580684.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,19383.6,18978.7,1.6,19385.1,6,DBFAADF0C6A83A78AD832F6E55885311,215.2,0,10994144.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,21007.0,20603.7,1.8,21008.8,7,879FFCB50241CF869BCBB53C0C548560,214.6,0,10859444.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,21782.5,21380.1,2.0,21784.5,8,BCD17D8287B51104CC69509A8B6AB2F3,210.9,0,10859796.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,394.1,0.0,2.2,396.3,9,3FC752678C898027DE00305C5A14F779,207.5,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,10465.5,10262.7,397.4,10862.9,3,7B6434A6AACEE5D5357E23272BD7D06F,202.2,0,4146232.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,215.2,0.0,398.1,613.3,9,3FC752678C898027DE00305C5A14F779,214.8,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,202.1,0.0,614.3,816.3,9,3FC752678C898027DE00305C5A14F779,201.7,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,201.8,0.0,817.3,1019.2,9,3FC752678C898027DE00305C5A14F779,201.5,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,22718.8,22514.3,1020.2,23739.0,9,3FC752678C898027DE00305C5A14F779,203.9,0,4035292.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,23320.9,23125.6,8128.0,31448.9,0,1A9FDA086AB07C05426460BC48DA9D80,194.8,0,42657680.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,7256.8,7051.0,8175.3,15432.1,1,33F36A097463C73B4FED40319915ADB6,205.3,0,8057752.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,23714.4,23509.7,10864.6,34579.0,3,7B6434A6AACEE5D5357E23272BD7D06F,204.3,0,22443624.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,10746.6,10540.8,15433.5,26180.0,1,33F36A097463C73B4FED40319915ADB6,205.2,0,28778060.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,4713.5,4503.2,16808.4,21521.9,4,5622F8C9174DE784CEFE70FAAEDD3696,210.0,0,4231704.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,workflow_failed,,25230.2,25019.6,17720.2,42950.3,2,37EF7CA7A075F91D583749378F0BE6CF,209.9,0,5775464.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,7314.6,7104.8,19387.1,26701.7,6,DBFAADF0C6A83A78AD832F6E55885311,209.3,0,7893544.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,198.3,0.0,19940.7,20139.0,5,3B95DBD5303D4FD7A42F6576E4375716,197.6,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,6624.3,6415.4,20140.1,26764.4,5,3B95DBD5303D4FD7A42F6576E4375716,208.5,0,5057624.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,no_application_form,,10779.4,10586.8,21010.1,31789.5,7,879FFCB50241CF869BCBB53C0C548560,192.2,0,16402440.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,12577.6,12366.0,21523.4,34100.9,4,5622F8C9174DE784CEFE70FAAEDD3696,210.6,0,78769668.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,form_processed,,25448.1,25231.2,21785.8,47233.9,8,BCD17D8287B51104CC69509A8B6AB2F3,216.3,0,12834340.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,213.3,0.0,23739.9,23953.2,9,3FC752678C898027DE00305C5A14F779,212.9,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,213.6,0.0,23954.2,24167.7,9,3FC752678C898027DE00305C5A14F779,213.2,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,workflow_failed,,18421.1,18206.0,24168.7,42589.8,9,3FC752678C898027DE00305C5A14F779,214.3,0,11911148.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,14802.6,14593.4,26181.7,40984.3,1,33F36A097463C73B4FED40319915ADB6,208.6,0,21996084.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,form_processed,,7875.6,7667.7,26703.2,34578.8,6,DBFAADF0C6A83A78AD832F6E55885311,207.4,0,45648544.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,7240.5,7050.1,26766.6,34007.2,5,3B95DBD5303D4FD7A42F6576E4375716,189.8,0,4906132.0
