rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,13057.5,12646.7,0.2,13057.7,0,5B3A7A4615DBF311B35E0E1A70E7730E,216.2,0,4955052.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,13057.5,12630.7,0.4,13058.0,1,23AC20E288A1CC999F69032E9FFE7E5A,215.8,0,4959936.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,29420.1,29006.3,0.8,29420.9,2,7D73396E6219411D7A55E3E692A4F3D9,200.5,0,7113524.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,417.1,0.0,1.0,418.1,3,FC8EB7C639F3C265D5AAFB3FCDF15185,205.4,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,30218.7,29798.0,1.2,30219.9,4,9F5AD0F59050C649245BEE6BF97EB739,211.0,0,36507660.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,38921.1,38481.6,1.4,38922.5,5,871DAA5061B33F6E5C1D5C6CD6869D5B,230.7,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,27285.1,26865.5,1.6,27286.7,6,628A8A1E8DE936ECDB3F49D8F751FEE8,204.5,0,11311032.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,25374.7,24947.4,1.8,25376.5,7,4F588530BC5246ABD5771C03715DA6D9,215.6,0,11268460.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,22491.6,22088.4,2.0,22493.6,8,984B4BEE7FB8EBAD747E7B7BA1DCB15B,208.0,0,11271000.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,415.7,0.0,2.2,417.9,9,A67E2CCB72EF1C8D2117A5F21F2EE84C,200.4,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,13399.5,13189.2,419.2,13818.7,9,A67E2CCB72EF1C8D2117A5F21F2EE84C,209.8,0,4238180.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,215.7,0.0,419.8,635.5,3,FC8EB7C639F3C265D5AAFB3FCDF15185,215.3,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.9,0.0,636.5,853.4,3,FC8EB7C639F3C265D5AAFB3FCDF15185,216.3,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,204.5,0.0,854.3,1058.9,3,FC8EB7C639F3C265D5AAFB3FCDF15185,204.1,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,28958.4,28751.2,1059.8,30018.2,3,FC8EB7C639F3C265D5AAFB3FCDF15185,206.4,0,4344824.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,20082.2,19870.1,13059.6,33141.9,0,5B3A7A4615DBF311B35E0E1A70E7730E,211.3,0,42712236.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,11031.0,10817.8,13060.6,24091.6,1,23AC20E288A1CC999F69032E9FFE7E5A,212.7,0,11586280.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,24877.2,24668.2,13820.2,38697.4,9,A67E2CCB72EF1C8D2117A5F21F2EE84C,208.3,0,19014908.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,6351.1,6142.9,22494.9,28846.0,8,984B4BEE7FB8EBAD747E7B7BA1DCB15B,207.7,0,14286524.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,3693.2,3481.9,24092.9,27786.1,1,23AC20E288A1CC999F69032E9FFE7E5A,210.9,0,4232680.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,24338.2,24127.0,25377.8,49716.0,7,4F588530BC5246ABD5771C03715DA6D9,210.8,0,36029480.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,11704.1,11491.4,27288.1,38992.2,6,628A8A1E8DE936ECDB3F49D8F751FEE8,212.4,0,8042368.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,216.8,0.0,27787.5,28004.3,1,23AC20E288A1CC999F69032E9FFE7E5A,216.1,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,6211.2,6000.7,28005.4,34216.5,1,23AC20E288A1CC999F69032E9FFE7E5A,210.0,0,5056232.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,form_processed,,15946.7,15748.3,28847.6,44794.2,8,984B4BEE7FB8EBAD747E7B7BA1DCB15B,197.9,0,24226132.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,10597.8,10380.1,29422.8,40020.5,2,7D73396E6219411D7A55E3E692A4F3D9,217.3,0,70263848.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,form_processed,,25418.4,25215.0,30019.3,55437.7,3,FC8EB7C639F3C265D5AAFB3FCDF15185,203.0,0,18036948.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,219.1,0.0,30221.5,30440.6,4,9F5AD0F59050C649245BEE6BF97EB739,218.5,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,218.0,0.0,30441.5,30659.5,4,9F5AD0F59050C649245BEE6BF97EB739,217.5,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,authentication_required,,14646.7,14451.3,30660.7,45307.4,4,9F5AD0F59050C649245BEE6BF97EB739,194.9,0,16417144.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,9574.7,9363.6,33143.0,42717.6,0,5B3A7A4615DBF311B35E0E1A70E7730E,210.4,0,21802156.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,form_processed,,5989.3,5776.1,34218.1,40207.5,1,23AC20E288A1CC999F69032E9FFE7E5A,212.8,0,49592308.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,7185.2,6966.6,38698.9,45884.1,9,A67E2CCB72EF1C8D2117A5F21F2EE84C,218.1,0,6901164.0
34,Baker Hughes,['Baker Hughes'],,,BakerHughes_R164293,Software Engineer - Embedded Software (d/f/m),True,skipped_by_metadata,declared_mode_account,191.5,0.0,38923.6,39115.1,5,871DAA5061B33F6E5C1D5C6CD6869D5B,191.1,0,
35,AutoForm,['AutoForm'],,,AutoForm_5158,(Senior) Software Engineer (m/f) 80–100%,True,form_processed,,6141.5,5933.7,38993.7,45135.2,6,628A8A1E8DE936ECDB3F49D8F751FEE8,207.3,0,5917912.0
36,AutoForm,['AutoForm'],,,AutoForm_5157,(Senior) Software Engineer (m/f) 80-100%,True,form_processed,,6034.6,5816.5,39116.1,45150.7,5,871DAA5061B33F6E5C1D5C6CD6869D5B,217.8,0,5918468.0
37,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10123612,ICT DevOps Engineer Data & Analytics Senior,True,authentication_required,,5597.8,5389.1,40022.1,45620.0,2,7D73396E6219411D7A55E3E692A4F3D9,208.1,0,16337412.0
38,Digital Wave Finance AG,['Digital Wave Finance AG'],,,DigitalWaveFinanceAG_B1B5C73CAF,C# Developer Platform,True,form_processed,,9398.3,9199.0,40208.8,49607.1,1,23AC20E288A1CC999F69032E9FFE7E5A,198.9,0,23450636.0
39,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_1ba9e9f4c1f8,Input Engineer Dokumentenmanagement (m/w/d),True,form_processed,,7868.3,7656.5,42719.0,50587.3,0,5B3A7A4615DBF311B35E0E1A70E7730E,211.4,0,3908832.0
40,SonarSource,['SonarSource'],,,SonarSource_063c3fa2-788a-4e2b-b35e-80ff7b122739,Sales Solutions Engineer - EMEA,True,form_processed,,4389.4,4190.7,44795.8,49185.1,8,984B4BEE7FB8EBAD747E7B7BA1DCB15B,198.2,0,5322988.0
41,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_49C70CEE5E,Frontend Developer (Angular),True,form_processed,,6323.0,6109.4,45136.3,51459.2,6,628A8A1E8DE936ECDB3F49D8F751FEE8,213.3,0,32513444.0
42,Brack,['Brack'],,,Brack_gen_e9539f58830f,Senior Software Engineer,True,form_processed,,24493.0,24273.0,45152.5,69645.5,5,871DAA5061B33F6E5C1D5C6CD6869D5B,219.5,0,4403448.0
43,ti&m,['ti&m'],,,TiM_dad56f23-70a7-49c9-8b73-5b69ff18d9c5,Praktikum Java/Kotlin,True,no_application_form,,28569.0,28361.1,45308.5,73877.6,4,9F5AD0F59050C649245BEE6BF97EB739,207.6,0,10212700.0
44,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17244,Test Analyst,True,workflow_failed,,40273.7,40056.4,45621.2,85894.9,2,7D73396E6219411D7A55E3E692A4F3D9,216.9,0,32372496.0
45,Salesforce,['Salesforce'],,,Salesforce_JR349194,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.0,0.0,45885.8,46101.8,9,A67E2CCB72EF1C8D2117A5F21F2EE84C,215.6,0,
46,Salesforce,['Salesforce'],,,Salesforce_JR349201,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,214.7,0.0,46102.8,46317.5,9,A67E2CCB72EF1C8D2117A5F21F2EE84C,214.2,0,
47,Salesforce,['Salesforce'],,,Salesforce_JR349191,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,203.6,0.0,46318.3,46521.9,9,A67E2CCB72EF1C8D2117A5F21F2EE84C,203.2,0,
48,Salesforce,['Salesforce'],,,Salesforce_JR349988-1,Senior Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.4,0.0,46522.8,46739.2,9,A67E2CCB72EF1C8D2117A5F21F2EE84C,215.9,0,
