company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,18974.0,18974.0,18974.0,18974.0,18974.0,18974.0,"{""form_processed"": 1}"
Advertima Vision,1,1,3568.7,3568.7,3568.7,3568.7,3568.7,3568.7,"{""form_processed"": 1}"
aity AG,2,2,24621.8,15827.7,12310.9,12310.9,15781.4,15781.4,"{""form_processed"": 2}"
Alohi,1,1,2779.7,2779.7,2779.7,2779.7,2779.7,2779.7,"{""form_processed"": 1}"
Ansam Group,2,2,13298.1,99362.3,6649.1,6649.1,11031.0,11031.0,"{""authentication_required"": 2}"
ANYbotics,1,1,7463.7,7463.7,7463.7,7463.7,7463.7,7463.7,"{""form_processed"": 1}"
Arina,1,1,10870.2,10870.2,10870.2,10870.2,10870.2,10870.2,"{""no_application_form"": 1}"
AutoForm,2,2,12176.1,6157.0,6088.1,6088.1,6141.5,6141.5,"{""form_processed"": 2}"
Baker Hughes,1,1,191.5,191.5,191.5,191.5,191.5,191.5,"{""skipped_by_metadata"": 1}"
BCG,4,4,105258.0,28851.2,26314.5,26314.3,26335.4,26335.4,"{""no_application_form"": 4}"
BKW,1,1,27097.6,27097.7,27097.6,27097.6,27097.6,27097.6,"{""workflow_failed"": 1}"
Brack,1,1,24493.0,24493.0,24493.0,24493.0,24493.0,24493.0,"{""form_processed"": 1}"
BS-Team,3,3,40957.8,53676.0,13652.6,8171.8,25418.4,25418.4,"{""form_processed"": 3}"
Bundesverwaltung,4,4,58032.6,120194.3,14508.2,11738.2,28958.4,28958.4,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,11995.7,29190.2,5997.9,5997.9,6323.0,6323.0,"{""form_processed"": 2}"
CSS,2,2,36605.3,45883.3,18302.6,18302.6,29420.1,29420.1,"{""form_processed"": 2}"
DeepJudge,1,1,6351.1,6351.1,6351.1,6351.1,6351.1,6351.1,"{""form_processed"": 1}"
Destinus,1,1,12621.8,12621.8,12621.8,12621.8,12621.8,12621.8,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,9398.3,9398.3,9398.3,9398.3,9398.3,9398.3,"{""form_processed"": 1}"
EPAM,1,1,15946.7,15946.6,15946.7,15946.7,15946.7,15946.7,"{""form_processed"": 1}"
Eraneos,5,5,1056.2,29585.8,211.2,215.5,219.8,219.8,"{""skipped_by_metadata"": 5}"
Expleo,2,2,632.8,634.5,316.4,316.4,417.1,417.1,"{""skipped_by_metadata"": 2}"
