rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8647.0,8221.9,0.3,8647.4,0,17E1E000033FBCF25329C6AC742E6DE7,212.7,0,5523716.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8646.4,8225.8,0.7,8647.2,1,ABFBC8822B4BE87E94239E97F5C4987E,212.0,0,5537228.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,17896.2,17481.8,1.1,17897.3,2,FB6EB4521024F8D062EA8B5861C826B9,206.7,0,3545252.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,430.7,0.0,1.3,432.1,3,2928B1731F7EACC6383698AB39714237,218.2,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,5751.4,5333.3,1.7,5753.1,4,957817DA9A7C4C9D1322AB24407B4D68,208.7,0,15768132.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,23273.8,22872.6,2.0,23275.8,5,BAF80707F330B05B21FF6597F2BDCF4D,203.3,0,41249748.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,18347.7,17926.7,2.3,18350.0,6,2ABF0DE82E81F5F807D1586FF0DE1C15,212.7,0,11353940.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,18441.3,18026.1,2.6,18443.9,7,E945686AE0CFABFB3FDAD490A068BD9D,203.4,0,10505720.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,18798.4,18378.6,2.9,18801.3,8,889CF4E572B0AB65EFB7D1F9C4020E4B,212.8,0,11249076.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,413.0,0.0,3.2,416.2,9,58EA47675EB94909950E071960B8311B,212.9,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,12247.5,12029.1,417.5,12664.9,9,58EA47675EB94909950E071960B8311B,217.8,0,4452828.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,203.3,0.0,433.0,636.3,3,2928B1731F7EACC6383698AB39714237,202.9,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,200.8,0.0,637.8,838.6,3,2928B1731F7EACC6383698AB39714237,200.4,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,215.4,0.0,839.6,1055.0,3,2928B1731F7EACC6383698AB39714237,214.9,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,22999.4,22782.8,1056.0,24055.4,3,2928B1731F7EACC6383698AB39714237,216.0,0,4072320.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,23030.1,22821.6,5754.5,28784.6,4,957817DA9A7C4C9D1322AB24407B4D68,207.6,0,41703972.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,9607.0,9397.1,8648.6,18255.7,1,ABFBC8822B4BE87E94239E97F5C4987E,209.0,0,6582848.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,13231.7,13025.8,8649.8,21881.5,0,17E1E000033FBCF25329C6AC742E6DE7,205.2,0,1887596.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,9896.5,9691.3,12666.6,22563.1,9,58EA47675EB94909950E071960B8311B,204.6,0,14348268.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,3998.6,3783.8,17898.7,21897.3,2,FB6EB4521024F8D062EA8B5861C826B9,214.3,0,4688788.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,24262.6,24047.3,18257.0,42519.6,1,ABFBC8822B4BE87E94239E97F5C4987E,214.9,0,33493220.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,7395.7,7184.3,18351.8,25747.5,6,2ABF0DE82E81F5F807D1586FF0DE1C15,210.8,0,7178864.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,215.7,0.0,18445.3,18661.0,7,E945686AE0CFABFB3FDAD490A068BD9D,215.0,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,5160.0,4942.0,18662.0,23822.0,7,E945686AE0CFABFB3FDAD490A068BD9D,217.6,0,5113352.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,no_application_form,,11378.9,11175.0,18802.8,30181.8,8,889CF4E572B0AB65EFB7D1F9C4020E4B,203.5,0,19569108.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,17071.0,16857.9,21882.8,38953.8,0,17E1E000033FBCF25329C6AC742E6DE7,212.7,0,40795268.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,workflow_failed,,25236.4,25019.1,21898.9,47135.3,2,FB6EB4521024F8D062EA8B5861C826B9,216.2,0,4268296.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,213.1,0.0,22564.6,22777.6,9,58EA47675EB94909950E071960B8311B,212.5,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,216.8,0.0,22778.5,22995.2,9,58EA47675EB94909950E071960B8311B,216.4,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,workflow_failed,,18497.7,18289.9,22996.5,41494.2,9,58EA47675EB94909950E071960B8311B,207.0,0,10150984.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,6502.1,6290.1,23277.2,29779.3,5,BAF80707F330B05B21FF6597F2BDCF4D,211.4,0,1673376.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,form_processed,,5319.7,5109.2,23823.6,29143.3,7,E945686AE0CFABFB3FDAD490A068BD9D,209.9,0,47720864.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,8486.3,8285.6,24056.5,32542.8,3,2928B1731F7EACC6383698AB39714237,200.1,0,3519708.0
34,Baker Hughes,['Baker Hughes'],,,BakerHughes_R164293,Software Engineer - Embedded Software (d/f/m),True,skipped_by_metadata,declared_mode_account,217.0,0.0,25749.0,25966.0,6,2ABF0DE82E81F5F807D1586FF0DE1C15,216.2,0,
35,AutoForm,['AutoForm'],,,AutoForm_5158,(Senior) Software Engineer (m/f) 80–100%,True,form_processed,,9434.9,9232.4,25967.3,35402.2,6,2ABF0DE82E81F5F807D1586FF0DE1C15,202.0,0,5557912.0
36,AutoForm,['AutoForm'],,,AutoForm_5157,(Senior) Software Engineer (m/f) 80-100%,True,form_processed,,6631.9,6413.2,28786.0,35417.9,4,957817DA9A7C4C9D1322AB24407B4D68,218.2,0,5532460.0
37,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10123612,ICT DevOps Engineer Data & Analytics Senior,True,authentication_required,,16796.1,16583.1,29144.6,45940.6,7,E945686AE0CFABFB3FDAD490A068BD9D,212.6,0,13958272.0
38,Digital Wave Finance AG,['Digital Wave Finance AG'],,,DigitalWaveFinanceAG_B1B5C73CAF,C# Developer Platform,True,form_processed,,13641.5,13430.1,29780.6,43422.1,5,BAF80707F330B05B21FF6597F2BDCF4D,211.0,0,26769676.0
39,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_1ba9e9f4c1f8,Input Engineer Dokumentenmanagement (m/w/d),True,form_processed,,6777.9,6564.5,30183.2,36961.1,8,889CF4E572B0AB65EFB7D1F9C4020E4B,212.9,0,4203616.0
40,SonarSource,['SonarSource'],,,SonarSource_063c3fa2-788a-4e2b-b35e-80ff7b122739,Sales Solutions Engineer - EMEA,True,form_processed,,4432.0,4218.7,32544.2,36976.2,3,2928B1731F7EACC6383698AB39714237,212.8,0,4519836.0
41,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_49C70CEE5E,Frontend Developer (Angular),True,form_processed,,8951.4,8753.2,35403.6,44355.0,6,2ABF0DE82E81F5F807D1586FF0DE1C15,197.5,0,37254872.0
42,Brack,['Brack'],,,Brack_gen_e9539f58830f,Senior Software Engineer,True,form_processed,,13216.1,12999.8,35419.6,48635.7,4,957817DA9A7C4C9D1322AB24407B4D68,215.9,0,4429616.0
43,ti&m,['ti&m'],,,TiM_dad56f23-70a7-49c9-8b73-5b69ff18d9c5,Praktikum Java/Kotlin,True,workflow_failed,,24051.3,23844.6,36962.2,61013.5,8,889CF4E572B0AB65EFB7D1F9C4020E4B,206.0,0,6022228.0
44,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17244,Test Analyst,True,workflow_failed,,24375.7,24169.2,36977.7,61353.4,3,2928B1731F7EACC6383698AB39714237,206.1,0,18061692.0
45,Salesforce,['Salesforce'],,,Salesforce_JR349194,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,200.3,0.0,38955.1,39155.3,0,17E1E000033FBCF25329C6AC742E6DE7,199.9,0,
46,Salesforce,['Salesforce'],,,Salesforce_JR349201,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,199.7,0.0,39156.5,39356.2,0,17E1E000033FBCF25329C6AC742E6DE7,199.2,0,
47,Salesforce,['Salesforce'],,,Salesforce_JR349191,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,215.7,0.0,39357.2,39573.0,0,17E1E000033FBCF25329C6AC742E6DE7,215.2,0,
48,Salesforce,['Salesforce'],,,Salesforce_JR349988-1,Senior Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,214.8,0.0,39574.0,39788.8,0,17E1E000033FBCF25329C6AC742E6DE7,214.5,0,
49,Eraneos,['Eraneos'],,,Eraneos_JR100288,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,214.2,0.0,39789.8,40004.0,0,17E1E000033FBCF25329C6AC742E6DE7,213.8,0,
50,Eraneos,['Eraneos'],,,Eraneos_JR100287,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,219.0,0.0,40005.1,40224.1,0,17E1E000033FBCF25329C6AC742E6DE7,218.6,0,
51,BCG,['BCG'],,,BCG_794,"AI Tech Consultant (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,19457.0,19238.4,40225.6,59682.7,0,17E1E000033FBCF25329C6AC742E6DE7,218.1,0,8194200.0
