company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,14522.9,14522.9,14522.9,14522.9,14522.9,14522.9,"{""form_processed"": 1}"
Advertima Vision,1,1,3935.0,3935.0,3935.0,3935.0,3935.0,3935.0,"{""form_processed"": 1}"
aity AG,2,2,15008.9,12982.3,7504.4,7504.4,10290.3,10290.3,"{""form_processed"": 2}"
Alohi,1,1,3349.0,3349.1,3349.0,3349.0,3349.0,3349.0,"{""form_processed"": 1}"
Ansam Group,2,2,13991.0,87356.3,6995.5,6995.5,9607.0,9607.0,"{""authentication_required"": 2}"
ANYbotics,1,1,4423.7,4423.7,4423.7,4423.7,4423.7,4423.7,"{""form_processed"": 1}"
Arina,1,1,8757.7,8757.7,8757.7,8757.7,8757.7,8757.7,"{""no_application_form"": 1}"
AutoForm,2,2,16066.8,9450.6,8033.4,8033.4,9434.9,9434.9,"{""form_processed"": 2}"
Baker Hughes,1,1,217.0,217.0,217.0,217.0,217.0,217.0,"{""skipped_by_metadata"": 1}"
BCG,4,4,80897.1,29520.8,20224.3,19194.3,26322.6,26322.6,"{""no_application_form"": 4}"
BKW,1,1,24772.6,24772.6,24772.6,24772.6,24772.6,24772.6,"{""workflow_failed"": 1}"
Brack,1,1,13216.1,13216.1,13216.1,13216.1,13216.1,13216.1,"{""form_processed"": 1}"
BS-Team,3,3,79832.6,87991.6,26610.9,25236.4,48321.3,48321.3,"{""form_processed"": 1, ""workflow_failed"": 2}"
Bundesverwaltung,4,4,65831.5,101604.4,16457.9,17646.9,22999.4,22999.4,"{""authentication_required"": 2, ""workflow_failed"": 2}"
Crypto Finance AG,2,2,16080.5,25115.1,8040.2,8040.2,8951.4,8951.4,"{""form_processed"": 2}"
CSS,2,2,26382.5,32541.7,13191.2,13191.2,17896.2,17896.2,"{""form_processed"": 2}"
DeepJudge,1,1,9896.5,9896.5,9896.5,9896.5,9896.5,9896.5,"{""form_processed"": 1}"
Destinus,1,1,8407.1,8407.1,8407.1,8407.1,8407.1,8407.1,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,13641.5,13641.5,13641.5,13641.5,13641.5,13641.5,"{""form_processed"": 1}"
EPAM,1,1,11378.9,11379.0,11378.9,11378.9,11378.9,11378.9,"{""no_application_form"": 1}"
