company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,9782.3,9782.2,9782.3,9782.3,9782.3,9782.3,"{""form_processed"": 1}"
Advertima Vision,1,1,1734.2,1734.2,1734.2,1734.2,1734.2,1734.2,"{""form_processed"": 1}"
aity AG,2,2,11180.1,16278.1,5590.0,5590.0,6122.2,6122.2,"{""form_processed"": 2}"
Alohi,1,1,3513.7,3513.7,3513.7,3513.7,3513.7,3513.7,"{""form_processed"": 1}"
Ansam Group,2,2,10041.8,78952.7,5020.9,5020.9,7961.6,7961.6,"{""authentication_required"": 2}"
ANYbotics,1,1,8655.4,8655.5,8655.4,8655.4,8655.4,8655.4,"{""form_processed"": 1}"
Arina,1,1,9318.0,9318.0,9318.0,9318.0,9318.0,9318.0,"{""no_application_form"": 1}"
AutoForm,2,2,10145.6,6228.6,5072.8,5072.8,6228.5,6228.5,"{""form_processed"": 2}"
Baker Hughes,1,1,203.6,203.6,203.6,203.6,203.6,203.6,"{""skipped_by_metadata"": 1}"
BCG,4,4,163666.8,41146.3,40916.7,40923.8,40940.7,40940.7,"{""workflow_failed"": 4}"
BKW,1,1,48296.0,48296.0,48296.0,48296.0,48296.0,48296.0,"{""workflow_failed"": 1}"
Brack,1,1,11333.4,11333.4,11333.4,11333.4,11333.4,11333.4,"{""form_processed"": 1}"
BS-Team,3,3,23094.3,39624.4,7698.1,4292.2,15119.8,15119.8,"{""form_processed"": 3}"
Bundesverwaltung,4,4,50075.1,96309.2,12518.8,9247.3,25534.8,25534.8,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,14288.5,20537.9,7144.2,7144.2,8478.1,8478.1,"{""form_processed"": 2}"
CSS,2,2,26240.9,32207.3,13120.5,13120.5,19770.4,19770.4,"{""form_processed"": 2}"
DeepJudge,1,1,9315.1,9315.1,9315.1,9315.1,9315.1,9315.1,"{""form_processed"": 1}"
Destinus,1,1,13074.4,13074.4,13074.4,13074.4,13074.4,13074.4,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,8305.7,8305.7,8305.7,8305.7,8305.7,8305.7,"{""form_processed"": 1}"
EPAM,1,1,9309.6,9309.6,9309.6,9309.6,9309.6,9309.6,"{""generic_form"": 1}"
Eraneos,5,5,1069.0,19833.9,213.8,215.8,218.6,218.6,"{""skipped_by_metadata"": 5}"
Expleo,2,2,602.8,604.2,301.4,301.4,385.2,385.2,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,2206.1,2206.1,2206.1,2206.1,2206.1,2206.1,"{""form_processed"": 1}"
finnova,2,2,17701.1,22590.1,8850.5,8850.5,12471.2,12471.2,"{""form_processed"": 1, ""no_application_form"": 1}"
Harmattan AI,1,1,2080.4,2080.4,2080.4,2080.4,2080.4,2080.4,"{""form_processed"": 1}"
Hoshii AG,1,1,17072.9,17072.9,17072.9,17072.9,17072.9,17072.9,"{""no_application_form"": 1}"
Julius Bär,2,2,408.0,51878.2,204.0,204.0,204.8,204.8,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,7099.5,7099.4,7099.5,7099.5,7099.5,7099.5,"{""form_processed"": 1}"
Kanton Luzern,3,3,25154.2,20753.4,8384.7,10914.6,11101.5,11101.5,"{""form_processed"": 3}"
Meier Tobler,1,1,13445.0,13445.0,13445.0,13445.0,13445.0,13445.0,"{""no_application_form"": 1}"
Mettler Toledo,1,1,15513.5,15513.5,15513.5,15513.5,15513.5,15513.5,"{""no_application_form"": 1}"
Microservice Solutions,1,1,15822.6,15822.6,15822.6,15822.6,15822.6,15822.6,"{""no_application_form"": 1}"
Microsoft,1,1,19510.9,19510.9,19510.9,19510.9,19510.9,19510.9,"{""no_application_form"": 1}"
Mimic,2,2,27956.1,68071.5,13978.0,13978.0,21276.1,21276.1,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,218.6,218.6,218.6,218.6,218.6,218.6,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,81049.6,44449.6,40524.8,40524.8,40801.8,40801.8,"{""workflow_failed"": 2}"
NVIDIA,1,1,25733.1,25733.0,25733.1,25733.1,25733.1,25733.1,"{""no_application_form"": 1}"
NZZ,1,1,10163.4,10163.4,10163.4,10163.4,10163.4,10163.4,"{""form_processed"": 1}"
ONLU AG,1,1,7233.7,7233.7,7233.7,7233.7,7233.7,7233.7,"{""form_processed"": 1}"
Pax,1,1,7212.8,7212.8,7212.8,7212.8,7212.8,7212.8,"{""form_processed"": 1}"
Richemont,1,1,3400.3,3400.2,3400.3,3400.3,3400.3,3400.3,"{""no_application_form"": 1}"
Rivia,1,1,8017.7,8017.7,8017.7,8017.7,8017.7,8017.7,"{""form_processed"": 1}"
Roche,1,1,383.5,383.5,383.5,383.5,383.5,383.5,"{""skipped_by_metadata"": 1}"
RUAG,5,5,63618.6,54740.2,12723.7,17612.2,18032.1,18032.1,"{""form_processed"": 5}"
Salesforce,7,7,1511.8,37377.1,216.0,217.5,218.5,218.5,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,10133.2,18886.0,5066.6,5066.6,6214.0,6214.0,"{""form_processed"": 2}"
Thomson Reuters,1,1,203.5,203.5,203.5,203.5,203.5,203.5,"{""skipped_by_metadata"": 1}"
ti&m,8,8,269363.2,90617.3,33670.4,48388.4,48437.0,48437.0,"{""no_application_form"": 3, ""workflow_failed"": 5}"
Universitätsspital Zürich,1,1,7052.7,7052.7,7052.7,7052.7,7052.7,7052.7,"{""generic_form"": 1}"
Vaudoise,2,2,16228.5,22877.0,8114.2,8114.2,12234.8,12234.8,"{""form_processed"": 2}"
vlot,1,1,13013.2,13013.2,13013.2,13013.2,13013.2,13013.2,"{""no_application_form"": 1}"
Wavestone,2,2,24657.1,24658.2,12328.5,12328.5,13452.1,13452.1,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,16201.0,57645.0,4050.2,3465.9,5979.5,5979.5,"{""form_processed"": 4}"
