rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8095.2,7685.6,0.2,8095.5,0,68B46376F97C9F26F4977FF587F688AE,216.8,0,5126716.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8095.2,7663.3,0.5,8095.7,1,0FF1D00A79495345B1EBCC493E05F424,217.4,0,5127848.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,14163.4,13735.9,0.8,14164.2,2,3E9493421AFF671ACE175CC502B752DE,216.6,0,3538032.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,414.2,0.0,1.1,415.2,3,F02494D6A47ED11CA6F0A93B8D549187,209.5,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,11613.1,11203.6,1.3,11614.4,4,6738DABF2860FCF20CF220644BF2C313,196.3,0,36678584.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,17841.2,17418.9,1.7,17842.9,5,680A269504E11496498A2DC8F8FDF823,215.4,0,39137692.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,11362.2,10934.3,1.9,11364.2,6,F5E24BC8E91A98AA804408DAB30E157B,216.2,0,11621576.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,11581.1,11169.6,2.2,11583.3,7,7983A05E704D86670C6ABB4F53F1AB88,206.2,0,10968372.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,11862.6,11441.2,2.4,11865.1,8,2764723DE6A8D94F4957D6816DF3D5E3,211.0,0,10319832.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,412.7,0.0,2.7,415.4,9,9F1A877FF921F60D62DBAA80B4A76452,203.2,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,9594.6,9381.4,416.6,10011.2,3,F02494D6A47ED11CA6F0A93B8D549187,212.4,0,4269204.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,201.0,0.0,417.6,618.6,9,9F1A877FF921F60D62DBAA80B4A76452,200.6,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,205.1,0.0,619.4,824.5,9,9F1A877FF921F60D62DBAA80B4A76452,204.5,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,218.3,0.0,825.3,1043.6,9,9F1A877FF921F60D62DBAA80B4A76452,218.0,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,25504.2,25288.0,1044.5,26548.7,9,9F1A877FF921F60D62DBAA80B4A76452,215.5,0,8274324.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,26090.8,25896.1,8097.6,34188.4,0,68B46376F97C9F26F4977FF587F688AE,193.3,0,46905472.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,4377.1,4163.9,8099.2,12476.3,1,0FF1D00A79495345B1EBCC493E05F424,212.2,0,7644440.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,13066.5,12861.9,10012.7,23079.2,3,F02494D6A47ED11CA6F0A93B8D549187,204.1,0,10086556.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,7449.1,7237.7,11365.9,18815.0,6,F5E24BC8E91A98AA804408DAB30E157B,210.8,0,14343908.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,3246.9,3031.6,11584.6,14831.5,7,7983A05E704D86670C6ABB4F53F1AB88,215.0,0,4235420.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,20431.9,20215.9,11615.9,32047.9,4,6738DABF2860FCF20CF220644BF2C313,215.7,0,31835324.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,14571.3,14358.2,11867.1,26438.4,8,2764723DE6A8D94F4957D6816DF3D5E3,212.6,0,8862520.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,204.8,0.0,12477.6,12682.3,1,0FF1D00A79495345B1EBCC493E05F424,204.3,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,4707.7,4499.9,12683.3,17391.1,1,0FF1D00A79495345B1EBCC493E05F424,207.4,0,5062900.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,no_application_form,,9769.3,9552.3,14165.7,23935.0,2,3E9493421AFF671ACE175CC502B752DE,215.9,0,22720628.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,10950.5,10747.5,14832.8,25783.3,7,7983A05E704D86670C6ABB4F53F1AB88,202.7,0,55093796.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,form_processed,,13015.7,12804.0,17393.1,30408.8,1,0FF1D00A79495345B1EBCC493E05F424,211.3,0,18864556.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.3,0.0,17844.1,18060.4,5,680A269504E11496498A2DC8F8FDF823,215.9,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,219.4,0.0,18061.5,18280.9,5,680A269504E11496498A2DC8F8FDF823,218.8,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,authentication_required,,11534.9,11325.2,18281.9,29816.8,5,680A269504E11496498A2DC8F8FDF823,209.4,0,16516572.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,9384.5,9181.6,18816.3,28200.9,6,F5E24BC8E91A98AA804408DAB30E157B,202.6,0,12831288.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,form_processed,,9982.1,9764.5,23080.5,33062.5,3,F02494D6A47ED11CA6F0A93B8D549187,217.2,0,45234028.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,7036.7,6831.1,23936.1,30972.8,2,3E9493421AFF671ACE175CC502B752DE,205.2,0,5217512.0
34,Baker Hughes,['Baker Hughes'],,,BakerHughes_R164293,Software Engineer - Embedded Software (d/f/m),True,skipped_by_metadata,declared_mode_account,217.9,0.0,25784.8,26002.7,7,7983A05E704D86670C6ABB4F53F1AB88,217.6,0,
35,AutoForm,['AutoForm'],,,AutoForm_5158,(Senior) Software Engineer (m/f) 80–100%,True,form_processed,,4937.8,4727.4,26003.8,30941.6,7,7983A05E704D86670C6ABB4F53F1AB88,210.0,0,5931756.0
36,AutoForm,['AutoForm'],,,AutoForm_5157,(Senior) Software Engineer (m/f) 80-100%,True,form_processed,,4501.9,4291.7,26439.8,30941.8,8,2764723DE6A8D94F4957D6816DF3D5E3,209.7,0,5863868.0
37,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10123612,ICT DevOps Engineer Data & Analytics Senior,True,authentication_required,,5014.0,4800.7,26549.7,31563.7,9,9F1A877FF921F60D62DBAA80B4A76452,213.0,0,16341492.0
38,Digital Wave Finance AG,['Digital Wave Finance AG'],,,DigitalWaveFinanceAG_B1B5C73CAF,C# Developer Platform,True,form_processed,,7096.1,6881.9,28202.7,35298.9,6,F5E24BC8E91A98AA804408DAB30E157B,213.6,0,23538568.0
39,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_1ba9e9f4c1f8,Input Engineer Dokumentenmanagement (m/w/d),True,form_processed,,5527.2,5309.7,29818.3,35345.5,5,680A269504E11496498A2DC8F8FDF823,217.1,0,4102944.0
40,SonarSource,['SonarSource'],,,SonarSource_063c3fa2-788a-4e2b-b35e-80ff7b122739,Sales Solutions Engineer - EMEA,True,form_processed,,2993.1,2785.6,30410.2,33403.3,1,0FF1D00A79495345B1EBCC493E05F424,207.2,0,5327736.0
41,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_49C70CEE5E,Frontend Developer (Angular),True,form_processed,,5272.7,5057.3,30943.2,36215.9,7,7983A05E704D86670C6ABB4F53F1AB88,214.4,0,32467868.0
42,Brack,['Brack'],,,Brack_gen_e9539f58830f,Senior Software Engineer,True,form_processed,,7238.1,7026.5,30944.3,38182.4,8,2764723DE6A8D94F4957D6816DF3D5E3,211.1,0,4394044.0
43,ti&m,['ti&m'],,,TiM_dad56f23-70a7-49c9-8b73-5b69ff18d9c5,Praktikum Java/Kotlin,True,no_application_form,,11743.0,11528.5,30975.1,42718.1,2,3E9493421AFF671ACE175CC502B752DE,214.0,0,11514656.0
44,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17244,Test Analyst,True,workflow_failed,,40279.7,40064.7,31565.5,71845.2,9,9F1A877FF921F60D62DBAA80B4A76452,214.3,0,56337856.0
45,Salesforce,['Salesforce'],,,Salesforce_JR349194,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,218.1,0.0,32049.6,32267.6,4,6738DABF2860FCF20CF220644BF2C313,217.6,0,
46,Salesforce,['Salesforce'],,,Salesforce_JR349201,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,218.2,0.0,32268.9,32487.2,4,6738DABF2860FCF20CF220644BF2C313,217.5,0,
47,Salesforce,['Salesforce'],,,Salesforce_JR349191,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,217.8,0.0,32488.0,32705.8,4,6738DABF2860FCF20CF220644BF2C313,217.5,0,
48,Salesforce,['Salesforce'],,,Salesforce_JR349988-1,Senior Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,213.8,0.0,32706.7,32920.5,4,6738DABF2860FCF20CF220644BF2C313,213.5,0,
49,Eraneos,['Eraneos'],,,Eraneos_JR100288,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,219.4,0.0,32921.5,33140.9,4,6738DABF2860FCF20CF220644BF2C313,219.1,0,
50,Eraneos,['Eraneos'],,,Eraneos_JR100287,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,217.6,0.0,33064.0,33281.5,3,F02494D6A47ED11CA6F0A93B8D549187,216.8,0,
51,BCG,['BCG'],,,BCG_794,"AI Tech Consultant (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,11151.8,10946.3,33142.3,44294.0,4,6738DABF2860FCF20CF220644BF2C313,204.9,0,8321716.0
52,BCG,['BCG'],,,BCG_795,"Senior AI Tech Consultant (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,10996.0,10806.8,33282.4,44278.4,3,F02494D6A47ED11CA6F0A93B8D549187,188.6,0,8347624.0
53,BCG,['BCG'],,,BCG_799,"Senior AI Tech Architect (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,11938.6,11720.5,33404.8,45343.4,1,0FF1D00A79495345B1EBCC493E05F424,217.4,0,8324600.0
54,BCG,['BCG'],,,BCG_802,"AI Tech Architect (all genders) - BCG Platinion Zurich, Switzerland",True,no_application_form,,11153.6,10936.6,34189.6,45343.2,0,68B46376F97C9F26F4977FF587F688AE,216.6,0,8398884.0
55,NZZ,['NZZ'],,,NZZ_c3a0f054-8a9c-4fc9-bc4c-ed1cecbedd07,Data Generalist / Senior Data Scientist-Engineer (w/m) 80 - 100%,True,form_processed,,8322.4,8106.0,35300.1,43622.6,6,F5E24BC8E91A98AA804408DAB30E157B,216.2,0,6470152.0
56,Pax,['Pax'],,,Pax_10094251,Senior Data Engineer (w/m/d),True,form_processed,,6633.6,6419.8,35347.0,41980.6,5,680A269504E11496498A2DC8F8FDF823,213.3,0,18826880.0
57,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17171,AI Tech Lead,True,workflow_failed,,40262.8,40044.8,36218.0,76480.9,7,7983A05E704D86670C6ABB4F53F1AB88,217.4,0,40742060.0
58,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_238727d9ac12,Fullstack DevOps Engineer (m/w/d),True,form_processed,,4612.8,4399.6,38183.8,42796.6,8,2764723DE6A8D94F4957D6816DF3D5E3,212.7,0,3928896.0
59,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_CC933BBD7A,Linux System Engineer,True,form_processed,,5459.7,5261.7,41982.6,47442.3,5,680A269504E11496498A2DC8F8FDF823,197.6,0,33730696.0
60,Eraneos,['Eraneos'],,,Eraneos_JR100116,(Senior) Consultant Solution Architect Financial Services 80-100%,True,skipped_by_metadata,declared_mode_account,216.9,0.0,42719.7,42936.6,2,3E9493421AFF671ACE175CC502B752DE,216.3,0,
61,RUAG,['RUAG'],,,RUAG_gen_a982422a50b7,AI Engineer C5I,True,form_processed,,6950.5,6746.0,42798.3,49748.8,8,2764723DE6A8D94F4957D6816DF3D5E3,203.7,0,10467932.0
62,RUAG,['RUAG'],,,RUAG_gen_92274acc2551,Software Engineer C5I,True,form_processed,,6244.8,6038.3,42938.0,49182.8,2,3E9493421AFF671ACE175CC502B752DE,206.0,0,10763716.0
63,ti&m,['ti&m'],,,TiM_9feefbec-a75c-4822-82a8-f9141ce4d24d,Senior Fullstack Engineer (Java & Angular),True,no_application_form,,7614.1,7410.2,43624.2,51238.4,6,F5E24BC8E91A98AA804408DAB30E157B,203.5,0,12807912.0
64,Arina,['Arina'],,,Arina_16298292,Forensic Solution Engineer m/w/d,True,no_application_form,,9486.4,9293.6,44280.5,53766.9,3,F02494D6A47ED11CA6F0A93B8D549187,192.4,0,59559988.0
65,Richemont,['Richemont'],,,Richemont_jr129923,Ingénieur R&I Firmware & Architecture Ultra Low Power (H/F),True,no_application_form,,3208.9,3000.3,44295.6,47504.5,4,6738DABF2860FCF20CF220644BF2C313,208.1,0,7638500.0
