rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8533.2,8129.2,0.3,8533.5,0,46A0541E95686A6BC2E08D60349D889C,218.6,0,5506300.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8517.7,8106.5,0.8,8518.5,1,CB3396A40CC2E94060A092DC5D0D50F7,203.9,0,5507248.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,14239.8,13830.8,1.2,14241.1,2,BA711326AD8329C8E8D820E3679772AE,201.6,0,3530920.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,413.0,0.0,1.5,414.5,3,14EE8CFF3AB47C9F49B69F57B9EB6DE6,208.9,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,8981.6,8583.0,1.9,8983.5,4,B02BFFDF90197F2D1765575EB8310CD0,194.3,0,18895808.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,workflow_failed,,15450.4,15031.5,2.2,15452.5,5,6A72060604E684A37446835ED62009F8,211.7,0,17878236.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,16356.0,15942.1,2.5,16358.4,6,000697A3F1955B553E079A600908C00A,209.6,0,11342312.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,16433.9,16019.4,2.8,16436.7,7,F3C0E8AD47D6C08A41A67B2426C5370E,212.4,0,10960476.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,16355.5,15940.2,3.1,16358.7,8,F8C49696F91EE311FD8B59DC70713091,214.4,0,11359088.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,410.9,0.0,3.4,414.3,9,D894D51BE3CC71459C9F0AFF0C7086C4,206.9,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,10299.7,10108.7,415.7,10715.4,9,D894D51BE3CC71459C9F0AFF0C7086C4,190.3,0,4491956.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,215.4,0.0,416.6,632.0,3,14EE8CFF3AB47C9F49B69F57B9EB6DE6,215.0,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,204.6,0.0,633.0,837.6,3,14EE8CFF3AB47C9F49B69F57B9EB6DE6,204.2,0,
