company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,12833.4,12833.4,12833.4,12833.4,12833.4,12833.4,"{""form_processed"": 1}"
Advertima Vision,1,1,5355.6,5355.7,5355.6,5355.6,5355.6,5355.6,"{""form_processed"": 1}"
aity AG,2,2,13585.7,11528.4,6792.8,6792.8,9783.3,9783.3,"{""form_processed"": 2}"
Alohi,1,1,3371.3,3371.3,3371.3,3371.3,3371.3,3371.3,"{""form_processed"": 1}"
Ansam Group,2,2,14652.5,79783.7,7326.2,7326.2,8680.4,8680.4,"{""authentication_required"": 2}"
ANYbotics,1,1,4480.9,4480.9,4480.9,4480.9,4480.9,4480.9,"{""form_processed"": 1}"
Arina,1,1,38308.1,38308.1,38308.1,38308.1,38308.1,38308.1,"{""workflow_failed"": 1}"
AutoForm,2,2,28831.4,14500.2,14415.7,14415.7,14500.1,14500.1,"{""form_processed"": 2}"
Baker Hughes,1,1,217.9,217.9,217.9,217.9,217.9,217.9,"{""skipped_by_metadata"": 1}"
BCG,4,4,62027.4,15906.5,15506.9,15483.1,15687.4,15687.4,"{""no_application_form"": 4}"
BKW,1,1,25089.9,25089.8,25089.9,25089.9,25089.9,25089.9,"{""workflow_failed"": 1}"
Brack,1,1,9067.3,9067.3,9067.3,9067.3,9067.3,9067.3,"{""form_processed"": 1}"
BS-Team,3,3,37968.4,47352.9,12656.1,11976.9,15251.2,15251.2,"{""form_processed"": 2, ""workflow_failed"": 1}"
Bundesverwaltung,4,4,58575.4,94512.7,14643.8,14494.1,21702.6,21702.6,"{""authentication_required"": 1, ""workflow_failed"": 3}"
Crypto Finance AG,2,2,15202.3,23797.3,7601.1,7601.1,8615.0,8615.0,"{""form_processed"": 2}"
CSS,2,2,24226.4,32888.7,12113.2,12113.2,14239.8,14239.8,"{""form_processed"": 2}"
DeepJudge,1,1,12075.1,12075.1,12075.1,12075.1,12075.1,12075.1,"{""form_processed"": 1}"
Destinus,1,1,7165.0,7165.1,7165.0,7165.0,7165.0,7165.0,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,9500.8,9500.8,9500.8,9500.8,9500.8,9500.8,"{""form_processed"": 1}"
EPAM,1,1,14659.3,14659.3,14659.3,14659.3,14659.3,14659.3,"{""no_application_form"": 1}"
Eraneos,5,5,1072.5,16203.9,214.5,218.5,219.2,219.2,"{""skipped_by_metadata"": 5}"
Expleo,2,2,628.4,630.5,314.2,314.2,413.0,413.0,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,7441.0,7441.0,7441.0,7441.0,7441.0,7441.0,"{""form_processed"": 1}"
finnova,2,2,31123.7,31080.0,15561.8,15561.8,22111.3,22111.3,"{""no_application_form"": 2}"
Harmattan AI,1,1,3870.4,3870.5,3870.4,3870.4,3870.4,3870.4,"{""form_processed"": 1}"
Hoshii AG,1,1,21200.8,21200.8,21200.8,21200.8,21200.8,21200.8,"{""no_application_form"": 1}"
Julius Bär,2,2,429.6,45680.4,214.8,214.8,215.2,215.2,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,10366.9,10366.9,10366.9,10366.9,10366.9,10366.9,"{""form_processed"": 1}"
Kanton Luzern,3,3,21635.7,18827.0,7211.9,8517.7,8533.2,8533.2,"{""form_processed"": 3}"
Meier Tobler,1,1,20332.4,20332.3,20332.4,20332.4,20332.4,20332.4,"{""no_application_form"": 1}"
Mettler Toledo,1,1,14951.0,14951.0,14951.0,14951.0,14951.0,14951.0,"{""no_application_form"": 1}"
Microservice Solutions,1,1,19534.0,19534.0,19534.0,19534.0,19534.0,19534.0,"{""no_application_form"": 1}"
Microsoft,1,1,15234.5,15234.5,15234.5,15234.5,15234.5,15234.5,"{""workflow_failed"": 1}"
Mimic,2,2,19302.7,60881.8,9651.4,9651.4,15241.1,15241.1,"{""no_application_form"": 1, ""workflow_failed"": 1}"
Monolithic Power Systems,1,1,218.7,218.7,218.7,218.7,218.7,218.7,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,48165.1,37282.1,24082.5,24082.5,29627.1,29627.1,"{""workflow_failed"": 2}"
NVIDIA,1,1,15450.4,15450.3,15450.4,15450.4,15450.4,15450.4,"{""workflow_failed"": 1}"
NZZ,1,1,10843.7,10843.7,10843.7,10843.7,10843.7,10843.7,"{""form_processed"": 1}"
ONLU AG,1,1,12903.5,12903.5,12903.5,12903.5,12903.5,12903.5,"{""form_processed"": 1}"
Pax,1,1,9011.6,9011.6,9011.6,9011.6,9011.6,9011.6,"{""form_processed"": 1}"
Richemont,1,1,3105.2,3105.2,3105.2,3105.2,3105.2,3105.2,"{""no_application_form"": 1}"
Rivia,1,1,8585.8,8585.8,8585.8,8585.8,8585.8,8585.8,"{""form_processed"": 1}"
Roche,1,1,410.9,410.9,410.9,410.9,410.9,410.9,"{""skipped_by_metadata"": 1}"
RUAG,5,5,63928.2,58480.6,12785.6,16355.5,16433.9,16433.9,"{""form_processed"": 5}"
Salesforce,7,7,1488.1,38070.2,212.6,217.4,219.9,219.9,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,11903.0,19134.2,5951.5,5951.5,7789.0,7789.0,"{""form_processed"": 2}"
Thomson Reuters,1,1,203.5,203.5,203.5,203.5,203.5,203.5,"{""skipped_by_metadata"": 1}"
ti&m,8,8,118273.5,75774.0,14784.2,11469.3,38316.9,38316.9,"{""no_application_form"": 7, ""workflow_failed"": 1}"
Universitätsspital Zürich,1,1,9647.7,9647.7,9647.7,9647.7,9647.7,9647.7,"{""generic_form"": 1}"
Vaudoise,2,2,16764.0,22486.4,8382.0,8382.0,10299.7,10299.7,"{""form_processed"": 2}"
vlot,1,1,8981.6,8981.6,8981.6,8981.6,8981.6,8981.6,"{""no_application_form"": 1}"
Wavestone,2,2,20580.7,22284.3,10290.4,10290.4,12072.6,12072.6,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,24013.0,56723.2,6003.2,6074.9,7227.5,7227.5,"{""form_processed"": 4}"
