rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,9259.8,8710.5,0.3,9260.1,0,E6DF3AFBB6156C468AD91990BF44B8A2,209.2,0,4711652.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,9259.3,8699.1,0.6,9259.9,1,512D407CD75F7F6D9E94E8EEF6F9BD79,209.5,0,4677328.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,16379.4,15822.4,1.0,16380.4,2,748CBE022DEB196C60FEABF86E7C22CF,215.7,0,3566896.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,557.3,0.0,1.3,558.6,3,9E7594E62497D5C411621B3D48DB1F11,210.8,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,10195.4,9641.4,1.5,10196.9,4,8044413DD9E7B623AF53351F1A61FDDD,205.3,0,19500376.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,26806.2,26214.0,1.8,26808.0,5,DE8A366C36A9267516BF3920ED283897,245.1,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,16551.7,15992.8,2.0,16553.7,6,814716005A25C66CFD4B0BA684CEB5AF,211.3,0,11265796.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,16676.4,16117.0,2.4,16678.7,7,5E664E25CABB9E3E1243E5D3E832B185,213.5,0,10973476.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,16535.0,15985.3,2.7,16537.7,8,F341CD9B0024834BB5F35776E4835097,199.6,0,10982780.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,555.3,0.0,3.0,558.4,9,334877E6092C6E215E29E88AFA3C391B,206.3,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,9838.7,9634.6,559.9,10398.6,9,334877E6092C6E215E29E88AFA3C391B,203.6,0,5395132.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,216.9,0.0,560.6,777.5,3,9E7594E62497D5C411621B3D48DB1F11,216.6,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,219.3,0.0,778.5,997.8,3,9E7594E62497D5C411621B3D48DB1F11,218.6,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,217.4,0.0,998.7,1216.1,3,9E7594E62497D5C411621B3D48DB1F11,217.0,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,24207.4,23999.1,1217.0,25424.4,3,9E7594E62497D5C411621B3D48DB1F11,207.6,0,4120536.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,23669.7,23465.7,9261.1,32930.8,1,512D407CD75F7F6D9E94E8EEF6F9BD79,203.0,0,43034008.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,8442.3,8229.2,9262.2,17704.4,0,E6DF3AFBB6156C468AD91990BF44B8A2,212.5,0,11996284.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,10431.1,10224.1,10199.1,20630.2,4,8044413DD9E7B623AF53351F1A61FDDD,205.6,0,1874672.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,7694.4,7477.3,10399.9,18094.3,9,334877E6092C6E215E29E88AFA3C391B,216.7,0,14321900.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,3139.5,2940.8,16381.7,19521.2,2,748CBE022DEB196C60FEABF86E7C22CF,198.5,0,4235960.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,20680.9,20463.5,16538.8,37219.7,8,F341CD9B0024834BB5F35776E4835097,216.9,0,38002168.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,6260.5,6063.5,16555.2,22815.7,6,814716005A25C66CFD4B0BA684CEB5AF,196.5,0,8492260.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,204.4,0.0,16680.0,16884.4,7,5E664E25CABB9E3E1243E5D3E832B185,204.0,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,4589.3,4390.4,16885.4,21474.7,7,5E664E25CABB9E3E1243E5D3E832B185,198.3,0,5100928.0
