company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,8535.8,8535.8,8535.8,8535.8,8535.8,8535.8,"{""form_processed"": 1}"
Advertima Vision,1,1,2997.9,2997.9,2997.9,2997.9,2997.9,2997.9,"{""form_processed"": 1}"
aity AG,2,2,16686.8,10544.1,8343.4,8343.4,10544.1,10544.1,"{""form_processed"": 2}"
Alohi,1,1,2434.5,2434.6,2434.5,2434.5,2434.5,2434.5,"{""form_processed"": 1}"
Ansam Group,2,2,11907.7,76097.6,5953.8,5953.8,8442.3,8442.3,"{""authentication_required"": 2}"
ANYbotics,1,1,3659.5,3659.6,3659.5,3659.5,3659.5,3659.5,"{""form_processed"": 1}"
Arina,1,1,10710.1,10710.1,10710.1,10710.1,10710.1,10710.1,"{""no_application_form"": 1}"
AutoForm,2,2,17594.7,9558.5,8797.4,8797.4,9558.5,9558.5,"{""form_processed"": 2}"
Baker Hughes,1,1,222.4,222.3,222.4,222.4,222.4,222.4,"{""skipped_by_metadata"": 1}"
BCG,4,4,105555.4,27049.0,26388.8,26285.4,27033.7,27033.7,"{""no_application_form"": 4}"
BKW,1,1,19207.2,19207.2,19207.2,19207.2,19207.2,19207.2,"{""form_processed"": 1}"
Brack,1,1,11280.5,11280.5,11280.5,11280.5,11280.5,11280.5,"{""form_processed"": 1}"
BS-Team,3,3,34420.1,50317.7,11473.4,5427.4,25439.1,25439.1,"{""form_processed"": 3}"
Bundesverwaltung,4,4,58121.5,90394.3,14530.4,13824.0,24207.4,24207.4,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,24869.4,30792.8,12434.7,12434.7,17487.6,17487.6,"{""form_processed"": 2}"
CSS,2,2,28533.3,37578.9,14266.6,14266.6,16379.4,16379.4,"{""form_processed"": 2}"
DeepJudge,1,1,7694.4,7694.4,7694.4,7694.4,7694.4,7694.4,"{""form_processed"": 1}"
Destinus,1,1,6761.5,6761.4,6761.5,6761.5,6761.5,6761.5,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,10493.6,10493.6,10493.6,10493.6,10493.6,10493.6,"{""form_processed"": 1}"
EPAM,1,1,14022.1,14022.1,14022.1,14022.1,14022.1,14022.1,"{""form_processed"": 1}"
Eraneos,5,5,1053.2,25982.6,210.6,216.3,217.5,217.5,"{""skipped_by_metadata"": 5}"
Expleo,2,2,774.2,776.2,387.1,387.1,557.3,557.3,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,5950.5,5950.4,5950.5,5950.5,5950.5,5950.5,"{""form_processed"": 1}"
finnova,2,2,24143.6,22784.8,12071.8,12071.8,15672.9,15672.9,"{""no_application_form"": 2}"
Harmattan AI,1,1,3051.4,3051.4,3051.4,3051.4,3051.4,3051.4,"{""form_processed"": 1}"
Hoshii AG,1,1,15758.1,15758.2,15758.1,15758.1,15758.1,15758.1,"{""no_application_form"": 1}"
Julius Bär,2,2,421.2,52477.5,210.6,210.6,216.8,216.8,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,7640.3,7640.3,7640.3,7640.3,7640.3,7640.3,"{""form_processed"": 1}"
Kanton Luzern,3,3,21658.6,19520.9,7219.5,9259.3,9259.8,9259.8,"{""form_processed"": 3}"
Meier Tobler,1,1,18472.4,18472.4,18472.4,18472.4,18472.4,18472.4,"{""no_application_form"": 1}"
Mettler Toledo,1,1,15096.8,15096.9,15096.8,15096.8,15096.8,15096.8,"{""no_application_form"": 1}"
Microservice Solutions,1,1,14627.1,14627.1,14627.1,14627.1,14627.1,14627.1,"{""no_application_form"": 1}"
Microsoft,1,1,20680.9,20680.9,20680.9,20680.9,20680.9,20680.9,"{""no_application_form"": 1}"
Mimic,2,2,29786.4,66698.5,14893.2,14893.2,23669.7,23669.7,"{""form_processed"": 2}"
