rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8607.7,8228.8,0.3,8608.0,0,91DD38600117DD6587B1BA699728636C,193.0,0,5145216.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8029.8,7615.0,0.6,8030.4,1,8B78174266251CAB8AB6CCBB365EED50,213.9,0,5139680.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,15137.7,14727.0,0.9,15138.7,2,21A8E3422AF39612AE70F379449F8238,210.7,0,3568760.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,411.2,0.0,1.2,412.5,3,FE84C8748847113B34125C0633CB20BE,215.7,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,3690.0,3294.2,1.6,3691.5,4,6B91003D3A7AC00FD6BCB78EE727EABC,198.0,0,5816432.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,24853.1,24421.2,1.8,24855.0,5,EFA8E2D65F46C4DE456F146E7F7EB3E5,234.0,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,15468.0,15049.6,2.0,15470.1,6,36F2A239C7523FD8C601666394E1439E,217.6,0,10957888.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,16800.0,16396.5,2.3,16802.3,7,9730C743B1A5BAD93E1559C330D31327,203.8,0,11809840.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,15452.0,15044.4,2.6,15454.6,8,54D8DDC67BFCB1D43C556F0C5DE9CE17,206.3,0,10958460.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,409.8,0.0,2.8,412.7,9,4DDCAE661DA80C0A9C9C14308579223F,212.3,0,
