company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,5173.6,5173.5,5173.6,5173.6,5173.6,5173.6,"{""form_processed"": 1}"
Advertima Vision,1,1,2863.0,2863.1,2863.0,2863.0,2863.0,2863.0,"{""form_processed"": 1}"
aity AG,2,2,9735.7,7763.6,4867.9,4867.9,6456.2,6456.2,"{""form_processed"": 2}"
Alohi,1,1,1977.7,1977.7,1977.7,1977.7,1977.7,1977.7,"{""form_processed"": 1}"
Ansam Group,2,2,5986.2,48393.9,2993.1,2993.1,4369.8,4369.8,"{""authentication_required"": 2}"
ANYbotics,1,1,3097.7,3097.7,3097.7,3097.7,3097.7,3097.7,"{""form_processed"": 1}"
Arina,1,1,6469.9,6470.0,6469.9,6469.9,6469.9,6469.9,"{""no_application_form"": 1}"
AutoForm,2,2,6551.1,4347.7,3275.6,3275.6,4239.2,4239.2,"{""form_processed"": 2}"
Baker Hughes,1,1,215.7,215.8,215.7,215.7,215.7,215.7,"{""skipped_by_metadata"": 1}"
BCG,4,4,33556.6,8816.6,8389.1,8412.8,8599.2,8599.2,"{""no_application_form"": 4}"
BKW,1,1,15168.8,15168.8,15168.8,15168.8,15168.8,15168.8,"{""form_processed"": 1}"
Brack,1,1,10222.0,10222.0,10222.0,10222.0,10222.0,10222.0,"{""form_processed"": 1}"
BS-Team,3,3,19536.2,27567.6,6512.1,3816.8,11998.1,11998.1,"{""form_processed"": 3}"
Bundesverwaltung,4,4,44884.8,60110.9,11221.2,7481.2,25155.6,25155.6,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,10647.2,16087.5,5323.6,5323.6,5641.7,5641.7,"{""form_processed"": 2}"
CSS,2,2,22879.3,27605.6,11439.6,11439.6,14095.5,14095.5,"{""form_processed"": 2}"
DeepJudge,1,1,3860.9,3860.8,3860.9,3860.9,3860.9,3860.9,"{""form_processed"": 1}"
Destinus,1,1,6233.7,6233.7,6233.7,6233.7,6233.7,6233.7,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,6422.3,6422.3,6422.3,6422.3,6422.3,6422.3,"{""form_processed"": 1}"
EPAM,1,1,6409.9,6409.9,6409.9,6409.9,6409.9,6409.9,"{""no_application_form"": 1}"
Eraneos,5,5,1074.5,11920.7,214.9,217.9,218.2,218.2,"{""skipped_by_metadata"": 5}"
Expleo,2,2,628.2,629.0,314.1,314.1,413.9,413.9,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,3611.9,3611.9,3611.9,3611.9,3611.9,3611.9,"{""form_processed"": 1}"
finnova,2,2,15647.6,17131.9,7823.8,7823.8,8412.5,8412.5,"{""no_application_form"": 2}"
Harmattan AI,1,1,2163.3,2163.3,2163.3,2163.3,2163.3,2163.3,"{""form_processed"": 1}"
Hoshii AG,1,1,9386.6,9386.6,9386.6,9386.6,9386.6,9386.6,"{""no_application_form"": 1}"
