company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,244.6,244.6,244.6,244.6,244.6,244.6,"{""navigation_failed"": 1}"
Advertima Vision,1,1,4282.0,4282.0,4282.0,4282.0,4282.0,4282.0,"{""form_processed"": 1}"
aity AG,2,2,17955.3,12335.0,8977.7,8977.7,10854.7,10854.7,"{""form_processed"": 2}"
Alohi,1,1,3024.2,3024.2,3024.2,3024.2,3024.2,3024.2,"{""form_processed"": 1}"
Ansam Group,2,2,6986.6,52478.1,3493.3,3493.3,4743.1,4743.1,"{""authentication_required"": 2}"
ANYbotics,1,1,248.9,248.9,248.9,248.9,248.9,248.9,"{""navigation_failed"": 1}"
Arina,1,1,10255.3,10255.3,10255.3,10255.3,10255.3,10255.3,"{""no_application_form"": 1}"
AutoForm,2,2,70816.7,41961.2,35408.3,35408.3,41961.2,41961.2,"{""form_processed"": 1, ""workflow_failed"": 1}"
Baker Hughes,1,1,201.3,201.3,201.3,201.3,201.3,201.3,"{""skipped_by_metadata"": 1}"
BCG,4,4,989.8,634.7,247.4,247.4,248.6,248.6,"{""navigation_failed"": 4}"
BKW,1,1,18149.4,18149.4,18149.4,18149.4,18149.4,18149.4,"{""form_processed"": 1}"
Brack,1,1,1976.5,1976.4,1976.5,1976.5,1976.5,1976.5,"{""navigation_failed"": 1}"
BS-Team,3,3,27568.6,27043.2,9189.5,263.6,27043.2,27043.2,"{""navigation_failed"": 2, ""workflow_failed"": 1}"
Bundesverwaltung,4,4,59751.6,69238.6,14937.9,14400.8,22346.4,22346.4,"{""authentication_required"": 4}"
Crypto Finance AG,2,2,7022.4,6773.0,3511.2,3511.2,6773.0,6773.0,"{""navigation_failed"": 2}"
CSS,2,2,37367.9,44560.3,18684.0,18684.0,24487.8,24487.8,"{""form_processed"": 1, ""workflow_failed"": 1}"
DeepJudge,1,1,4254.5,4254.5,4254.5,4254.5,4254.5,4254.5,"{""form_processed"": 1}"
Destinus,1,1,250.4,250.4,250.4,250.4,250.4,250.4,"{""navigation_failed"": 1}"
Digital Wave Finance AG,1,1,4290.8,4290.7,4290.8,4290.8,4290.8,4290.8,"{""navigation_failed"": 1}"
EPAM,1,1,10363.5,10363.6,10363.5,10363.5,10363.5,10363.5,"{""form_processed"": 1}"
Eraneos,5,5,1087.3,2215.5,217.5,217.5,219.0,219.0,"{""skipped_by_metadata"": 5}"
Expleo,2,2,1069.0,1277.0,534.5,534.5,850.9,850.9,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,249.8,249.8,249.8,249.8,249.8,249.8,"{""navigation_failed"": 1}"
finnova,2,2,26531.2,31786.3,13265.6,13265.6,15118.8,15118.8,"{""no_application_form"": 2}"
Harmattan AI,1,1,2418.0,2417.9,2418.0,2418.0,2418.0,2418.0,"{""form_processed"": 1}"
Hoshii AG,1,1,9457.4,9457.4,9457.4,9457.4,9457.4,9457.4,"{""no_application_form"": 1}"
Julius Bär,2,2,429.2,20941.9,214.6,214.6,216.1,216.1,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,12144.0,12144.0,12144.0,12144.0,12144.0,12144.0,"{""form_processed"": 1}"
Kanton Luzern,3,3,18917.4,15996.7,6305.8,7823.3,7980.2,7980.2,"{""form_processed"": 3}"
Meier Tobler,1,1,20916.5,20916.5,20916.5,20916.5,20916.5,20916.5,"{""no_application_form"": 1}"
Mettler Toledo,1,1,22066.4,22066.4,22066.4,22066.4,22066.4,22066.4,"{""no_application_form"": 1}"
Microservice Solutions,1,1,14736.2,14736.2,14736.2,14736.2,14736.2,14736.2,"{""no_application_form"": 1}"
Microsoft,1,1,28263.4,28263.4,28263.4,28263.4,28263.4,28263.4,"{""no_application_form"": 1}"
Mimic,2,2,12167.9,32261.4,6083.9,6083.9,11039.6,11039.6,"{""form_processed"": 1, ""navigation_failed"": 1}"
Monolithic Power Systems,1,1,218.0,218.0,218.0,218.0,218.0,218.0,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,500.0,1966.1,250.0,250.0,250.4,250.4,"{""navigation_failed"": 2}"
NVIDIA,1,1,18308.5,18308.4,18308.5,18308.5,18308.5,18308.5,"{""no_application_form"": 1}"
NZZ,1,1,245.4,245.4,245.4,245.4,245.4,245.4,"{""navigation_failed"": 1}"
ONLU AG,1,1,249.6,249.6,249.6,249.6,249.6,249.6,"{""navigation_failed"": 1}"
Pax,1,1,248.8,248.8,248.8,248.8,248.8,248.8,"{""navigation_failed"": 1}"
Richemont,1,1,264.5,264.5,264.5,264.5,264.5,264.5,"{""navigation_failed"": 1}"
Rivia,1,1,6476.9,6476.9,6476.9,6476.9,6476.9,6476.9,"{""form_processed"": 1}"
Roche,1,1,466.5,466.4,466.5,466.5,466.5,466.5,"{""skipped_by_metadata"": 1}"
RUAG,5,5,49779.1,35443.5,9955.8,14857.2,18427.2,18427.2,"{""form_processed"": 3, ""navigation_failed"": 2}"
Salesforce,7,7,1480.8,32575.5,211.5,217.3,218.8,218.8,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,17963.5,19678.7,8981.8,8981.8,10286.8,10286.8,"{""form_processed"": 1, ""navigation_failed"": 1}"
