rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,11418.3,10990.4,0.3,11418.6,0,87BC6BEE75B652BC03D001BC26113A0E,210.0,0,5592924.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,11417.8,10987.3,0.6,11418.4,1,9301A8BD82D168E5761986C0B0A6749C,209.4,0,5540212.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,17254.0,16835.6,1.1,17255.1,2,BC292053A6877EDE614D2D147B1B6911,191.6,0,7180920.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,455.3,0.0,1.3,456.6,3,32FEAC5EE714288EDF76C08D7A0B0006,234.1,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,11925.3,11494.4,1.6,11926.9,4,8AB04C29DFE5DB471B51211FA4A4E446,209.1,0,19484684.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,22544.4,22102.3,1.9,22546.3,5,C0BA268436FE033D2ABEAF66C7E35108,231.3,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,17449.7,17009.9,2.2,17451.9,6,631BCC048BFD1BD4D0C5E88D8C87028E,211.2,0,11319740.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,21579.7,21147.0,2.5,21582.2,7,DADF9FBC1FAFEEE8967B601ED898E8E8,203.8,0,11302920.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,17206.1,16775.8,2.7,17208.7,8,EE329F9EF9A1DF255FFE4C8E1665939A,203.5,0,11301140.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,476.6,0.0,2.9,479.5,9,50DA2C1F4EAB0CA3E20D95F6CD5E604C,249.5,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,11572.5,11342.0,1072.8,12645.4,3,32FEAC5EE714288EDF76C08D7A0B0006,204.9,0,5722148.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,209.1,0.0,1098.3,1307.4,9,50DA2C1F4EAB0CA3E20D95F6CD5E604C,208.2,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,218.0,0.0,1308.4,1526.4,9,50DA2C1F4EAB0CA3E20D95F6CD5E604C,217.5,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.2,0.0,1527.5,1743.6,9,50DA2C1F4EAB0CA3E20D95F6CD5E604C,215.7,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,authentication_required,,23331.0,23122.9,1744.6,25075.6,9,50DA2C1F4EAB0CA3E20D95F6CD5E604C,207.8,0,16506640.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,11796.7,11589.7,11420.3,23217.0,1,9301A8BD82D168E5761986C0B0A6749C,205.9,0,43540148.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,5970.1,5764.2,11421.6,17391.7,0,87BC6BEE75B652BC03D001BC26113A0E,205.5,0,16353936.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,10671.6,10466.0,11928.2,22599.8,4,8AB04C29DFE5DB471B51211FA4A4E446,205.2,0,9955852.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,4959.8,4747.1,12646.7,17606.5,3,32FEAC5EE714288EDF76C08D7A0B0006,212.3,0,14892992.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,3676.1,3464.7,17211.1,20887.1,8,EE329F9EF9A1DF255FFE4C8E1665939A,211.0,0,4227884.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,12491.4,12278.9,17256.8,29748.2,2,BC292053A6877EDE614D2D147B1B6911,212.0,0,35282900.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,4531.8,4315.8,17393.0,21924.8,0,87BC6BEE75B652BC03D001BC26113A0E,215.5,0,9158544.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,200.5,0.0,17453.5,17654.0,6,631BCC048BFD1BD4D0C5E88D8C87028E,200.0,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,3545.1,3333.2,17607.8,21152.9,3,32FEAC5EE714288EDF76C08D7A0B0006,211.5,0,5124788.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,form_processed,,8871.7,8658.7,17655.6,26527.3,6,631BCC048BFD1BD4D0C5E88D8C87028E,212.4,0,28652976.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,9765.5,9559.5,20888.5,30654.0,8,EE329F9EF9A1DF255FFE4C8E1665939A,205.5,0,44848512.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,form_processed,,11277.6,11065.4,21154.7,32432.3,3,32FEAC5EE714288EDF76C08D7A0B0006,211.5,0,15745156.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,216.5,0.0,21583.7,21800.2,7,DADF9FBC1FAFEEE8967B601ED898E8E8,216.1,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,215.4,0.0,21801.2,22016.5,7,DADF9FBC1FAFEEE8967B601ED898E8E8,215.0,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,authentication_required,,8257.7,8048.5,21926.6,30184.3,0,87BC6BEE75B652BC03D001BC26113A0E,208.7,0,16380136.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,10585.7,10367.5,22017.7,32603.4,7,DADF9FBC1FAFEEE8967B601ED898E8E8,217.9,0,21675240.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,form_processed,,6685.0,6468.8,22547.9,29232.8,5,C0BA268436FE033D2ABEAF66C7E35108,215.7,0,49417196.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,8583.2,8375.1,22601.1,31184.3,4,8AB04C29DFE5DB471B51211FA4A4E446,207.5,0,5729008.0
