rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8279.2,7852.5,0.2,8279.4,0,28762556CD9D39A07F4DC1406758E6DB,211.4,0,4700792.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8279.4,7851.1,0.4,8279.8,1,DDEA40E320339DCD0D20FD168217E457,211.9,0,4663728.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,11987.2,11568.2,0.7,11988.0,2,6053237C7AED347A593C4F236A33A97D,212.3,0,7018780.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,402.9,0.0,1.0,403.9,3,0BDAD9EBBC91C50355B1312B90F2B2D9,196.4,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,13317.2,12903.8,1.2,13318.3,4,C9219541033B6FF0E72F0DFF463D9841,210.0,0,29552232.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,18381.8,17908.8,1.6,18383.4,5,2538AB9ECCDA179A16E771AF00A7C339,246.5,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,15601.1,15191.8,1.9,15603.0,6,EA5994CAEA552D2AE07860AE39E728EF,203.0,0,11247588.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,10888.5,10473.1,2.3,10890.8,7,76B12194E1AF67BC31C200EC56C98D4A,211.5,0,10921848.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,10911.3,10498.7,2.6,10913.9,8,81B2B1A4C134914A39BF5C86FE9FB5B5,211.5,0,10909680.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,418.5,0.0,2.8,421.3,9,5876E06882386EAAB5C4AA195110E7B7,218.5,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,9511.8,9194.8,404.8,9916.7,3,BECAE6A94806C70FC870E78172B49033,219.7,0,5344476.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,287.7,0.0,422.1,709.8,9,A925086AAE591398113F805C807783F0,212.6,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,242.5,0.0,710.4,952.9,9,F39523CE356BDC871F7D9F73923C2E99,204.7,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,250.4,0.0,953.5,1203.9,9,7A73E169A8F1574C001CF3B1BE200213,209.8,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,37209.0,36876.4,1204.7,38413.7,9,0E3053332A0D270C4C6A4CCB69DAFC37,217.7,0,12482184.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,10186.5,9907.8,8281.3,18467.8,0,6726D389B43EEE4AA91D02B93B606F66,205.2,0,46016608.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,4636.0,4339.4,8282.4,12918.4,1,FC2DA99944814DB06C1A7A915C3BB9A8,209.1,0,12793640.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,6848.4,6553.3,9918.3,16766.7,3,079F61C50DDBBE9536BA00D3F3B09F06,210.7,0,1909584.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,3307.2,3022.2,10891.7,14198.8,7,CA03241071ED9A35B10B492BA8B752BE,216.5,0,14890816.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,2554.6,2289.9,10915.1,13469.7,8,8BB30261134A84BC3FBAADEF26B00DF0,190.5,0,4684388.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,12437.4,12164.8,11989.7,24427.1,2,872B704BE691CE91B48DCDDE65FD62CB,209.8,0,40286560.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,6151.1,5856.6,12919.3,19070.5,1,1B4B0B7023BB0DBABC57E3A55074E3B7,212.0,0,8335024.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,260.0,0.0,13319.1,13579.1,4,6AA74C294757C4DB1DF2029E0448E333,205.0,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,3239.3,2974.2,13470.7,16710.0,8,D1474B849A059BD41DFCFA6C6B7689F9,209.5,0,4314172.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,no_application_form,,8422.2,8160.7,13580.0,22002.1,4,B098FC3D4263164E9E5283E123F9C9CC,206.5,0,19829524.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,15275.1,15017.2,14199.8,29474.8,7,A1CF97F9138A17F7909CA208A50FF796,189.3,0,85352308.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,form_processed,,21982.7,21692.3,15604.0,37586.7,6,E9F73AD18343DA05CCDB1557334E13C9,214.9,0,23585152.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,273.0,0.0,16711.1,16984.1,8,B5DCF9DCE0E5E32838393F306AE21906,203.8,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,256.6,0.0,16767.9,17024.5,3,6E1FFD11BF34EBAC0C3DBF39A3B2290A,212.6,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,authentication_required,,21740.8,21427.3,16984.9,38725.7,8,C7BFFCE2F569FB504DEEB5D22DB7A0FB,218.7,0,14103396.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,8899.2,8619.7,17025.5,25924.7,3,BDDC63A372B93415472AAB73E9C503AD,214.5,0,12920272.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,no_application_form,,4186.6,3829.6,18384.6,22571.2,5,76E75A30F44E44867D428B2F99709F20,210.3,0,49641176.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,6683.1,6402.7,18469.8,25152.8,0,3BEDFB6519E6CF401545D5A47BA5CBD9,204.1,0,3411976.0
34,Baker Hughes,['Baker Hughes'],,,BakerHughes_R164293,Software Engineer - Embedded Software (d/f/m),True,skipped_by_metadata,declared_mode_account,303.7,0.0,19075.7,19379.3,1,F5C9D84839AD05A085AA1FFEAB742E69,211.6,0,
35,AutoForm,['AutoForm'],,,AutoForm_5158,(Senior) Software Engineer (m/f) 80–100%,True,form_processed,,8932.4,8670.4,19380.5,28312.9,1,5FAD1FDFFE55313E6954F505D7C6F6FC,191.2,0,6539488.0
36,AutoForm,['AutoForm'],,,AutoForm_5157,(Senior) Software Engineer (m/f) 80-100%,True,form_processed,,6309.5,6063.7,22003.1,28312.6,4,15F5F3ADAFF006C2434531D527665FEA,191.0,0,6513712.0
37,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10123612,ICT DevOps Engineer Data & Analytics Senior,True,authentication_required,,16153.3,15837.3,22571.9,38725.3,5,0846BFBC6F79941E87E4F0F5FCD3835F,217.7,0,16386688.0
38,Digital Wave Finance AG,['Digital Wave Finance AG'],,,DigitalWaveFinanceAG_B1B5C73CAF,C# Developer Platform,True,form_processed,,15825.7,15551.5,24427.9,40253.6,2,0D67E9472F5A7AB5342C68E78BFFA076,212.5,0,24800952.0
39,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_1ba9e9f4c1f8,Input Engineer Dokumentenmanagement (m/w/d),True,form_processed,,10811.6,10556.4,25153.9,35965.5,0,112333ECAAA7EEF342101A3DBC1DDCEA,211.2,0,4494428.0
40,SonarSource,['SonarSource'],,,SonarSource_063c3fa2-788a-4e2b-b35e-80ff7b122739,Sales Solutions Engineer - EMEA,True,form_processed,,7379.9,7111.0,25925.6,33305.4,3,356E7A0ECCE887EEB0F1ECF530323A8E,213.5,0,6262332.0
41,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_49C70CEE5E,Frontend Developer (Angular),True,form_processed,,12265.2,11986.7,28314.3,40579.5,4,56DD220C0AA3A3D89C85046B7360B19F,209.0,0,40559628.0
