company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,7487.9,7487.9,7487.9,7487.9,7487.9,7487.9,"{""form_processed"": 1}"
Advertima Vision,1,1,2959.4,2959.4,2959.4,2959.4,2959.4,2959.4,"{""form_processed"": 1}"
aity AG,2,2,11447.8,9181.2,5723.9,5723.9,7454.5,7454.5,"{""form_processed"": 2}"
Alohi,1,1,2136.6,2136.6,2136.6,2136.6,2136.6,2136.6,"{""form_processed"": 1}"
Ansam Group,2,2,6397.2,58377.1,3198.6,3198.6,4636.0,4636.0,"{""authentication_required"": 2}"
ANYbotics,1,1,4752.5,4752.5,4752.5,4752.5,4752.5,4752.5,"{""form_processed"": 1}"
Arina,1,1,7660.4,7660.4,7660.4,7660.4,7660.4,7660.4,"{""no_application_form"": 1}"
AutoForm,2,2,15241.9,8932.4,7620.9,7620.9,8932.4,8932.4,"{""form_processed"": 2}"
Baker Hughes,1,1,303.7,303.6,303.7,303.7,303.7,303.7,"{""skipped_by_metadata"": 1}"
BCG,4,4,25106.3,7057.9,6276.6,6385.2,7057.3,7057.3,"{""no_application_form"": 4}"
BKW,1,1,19135.1,19135.2,19135.1,19135.1,19135.1,19135.1,"{""form_processed"": 1}"
Brack,1,1,16444.0,16444.1,16444.0,16444.0,16444.0,16444.0,"{""form_processed"": 1}"
BS-Team,3,3,29936.9,38271.6,9979.0,4271.7,21982.7,21982.7,"{""form_processed"": 3}"
Bundesverwaltung,4,4,81115.4,72293.8,20278.8,18947.0,37209.0,37209.0,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,18749.9,22344.8,9375.0,9375.0,12265.2,12265.2,"{""form_processed"": 2}"
CSS,2,2,18670.3,25152.1,9335.2,9335.2,11987.2,11987.2,"{""form_processed"": 2}"
DeepJudge,1,1,3307.2,3307.1,3307.2,3307.2,3307.2,3307.2,"{""form_processed"": 1}"
Destinus,1,1,6982.9,6982.9,6982.9,6982.9,6982.9,6982.9,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,15825.7,15825.7,15825.7,15825.7,15825.7,15825.7,"{""form_processed"": 1}"
EPAM,1,1,8422.2,8422.1,8422.2,8422.2,8422.2,8422.2,"{""no_application_form"": 1}"
Eraneos,5,5,1619.7,12584.1,323.9,301.4,405.3,405.3,"{""skipped_by_metadata"": 5}"
Expleo,2,2,690.6,708.8,345.3,345.3,402.9,402.9,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,3494.3,3494.3,3494.3,3494.3,3494.3,3494.3,"{""form_processed"": 1}"
finnova,2,2,16976.3,19629.9,8488.2,8488.2,9108.2,9108.2,"{""no_application_form"": 2}"
Harmattan AI,1,1,5331.9,5331.9,5331.9,5331.9,5331.9,5331.9,"{""form_processed"": 1}"
Hoshii AG,1,1,15275.1,15275.0,15275.1,15275.1,15275.1,15275.1,"{""no_application_form"": 1}"
Julius Bär,2,2,569.3,40096.6,284.6,284.6,309.3,309.3,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,6172.3,6172.4,6172.3,6172.3,6172.3,6172.3,"{""form_processed"": 1}"
Kanton Luzern,3,3,19113.2,13469.5,6371.1,8279.2,8279.4,8279.4,"{""form_processed"": 3}"
Meier Tobler,1,1,11480.4,11480.4,11480.4,11480.4,11480.4,11480.4,"{""no_application_form"": 1}"
Mettler Toledo,1,1,15946.3,15946.3,15946.3,15946.3,15946.3,15946.3,"{""no_application_form"": 1}"
Microservice Solutions,1,1,10272.8,10272.8,10272.8,10272.8,10272.8,10272.8,"{""no_application_form"": 1}"
Microsoft,1,1,12437.4,12437.4,12437.4,12437.4,12437.4,12437.4,"{""no_application_form"": 1}"
Mimic,2,2,16346.9,52881.8,8173.4,8173.4,10186.5,10186.5,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,307.8,307.8,307.8,307.8,307.8,307.8,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,124378.3,67965.4,62189.1,62189.1,63687.6,63687.6,"{""workflow_failed"": 2}"
NVIDIA,1,1,18381.8,18381.8,18381.8,18381.8,18381.8,18381.8,"{""no_application_form"": 1}"
NZZ,1,1,7809.6,7809.7,7809.6,7809.6,7809.6,7809.6,"{""form_processed"": 1}"
ONLU AG,1,1,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,"{""form_processed"": 1}"
Pax,1,1,6892.5,6892.5,6892.5,6892.5,6892.5,6892.5,"{""form_processed"": 1}"
Richemont,1,1,2657.5,2657.5,2657.5,2657.5,2657.5,2657.5,"{""no_application_form"": 1}"
Rivia,1,1,4186.6,4186.6,4186.6,4186.6,4186.6,4186.6,"{""no_application_form"": 1}"
Roche,1,1,418.5,418.5,418.5,418.5,418.5,418.5,"{""skipped_by_metadata"": 1}"
RUAG,5,5,48587.8,50302.3,9717.6,10888.5,15601.1,15601.1,"{""form_processed"": 5}"
Salesforce,7,7,1814.0,36307.7,259.1,260.9,273.0,273.0,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,13531.0,20386.1,6765.5,6765.5,7379.9,7379.9,"{""form_processed"": 2}"
Thomson Reuters,1,1,256.6,256.6,256.6,256.6,256.6,256.6,"{""skipped_by_metadata"": 1}"
ti&m,8,8,58747.3,38863.3,7343.4,6209.8,15967.3,15967.3,"{""form_processed"": 1, ""no_application_form"": 7}"
Universitätsspital Zürich,1,1,7845.7,7845.7,7845.7,7845.7,7845.7,7845.7,"{""generic_form"": 1}"
Vaudoise,2,2,12751.1,16305.2,6375.5,6375.5,9511.8,9511.8,"{""form_processed"": 2}"
vlot,1,1,13317.2,13317.1,13317.2,13317.2,13317.2,13317.2,"{""no_application_form"": 1}"
Wavestone,2,2,15747.6,16006.4,7873.8,7873.8,8899.2,8899.2,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,23773.0,43530.2,5943.2,4538.1,10811.6,10811.6,"{""form_processed"": 4}"
