company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,19069.0,19069.0,19069.0,19069.0,19069.0,19069.0,"{""form_processed"": 1}"
Advertima Vision,1,1,7762.2,7762.1,7762.2,7762.2,7762.2,7762.2,"{""form_processed"": 1}"
aity AG,2,2,34061.7,31262.8,17030.8,17030.8,18265.0,18265.0,"{""form_processed"": 2}"
Alohi,1,1,17618.7,17618.7,17618.7,17618.7,17618.7,17618.7,"{""form_processed"": 1}"
Ansam Group,2,2,18957.4,137191.6,9478.7,9478.7,9616.8,9616.8,"{""authentication_required"": 2}"
ANYbotics,1,1,10842.2,10842.2,10842.2,10842.2,10842.2,10842.2,"{""form_processed"": 1}"
Arina,1,1,16952.5,16952.5,16952.5,16952.5,16952.5,16952.5,"{""no_application_form"": 1}"
AutoForm,2,2,33045.4,19795.9,16522.7,16522.7,16618.2,16618.2,"{""form_processed"": 2}"
Baker Hughes,1,1,217.1,217.1,217.1,217.1,217.1,217.1,"{""skipped_by_metadata"": 1}"
BCG,4,4,80489.6,28298.9,20122.4,19548.2,23563.3,23563.3,"{""no_application_form"": 4}"
BKW,1,1,33024.3,33024.3,33024.3,33024.3,33024.3,33024.3,"{""workflow_failed"": 1}"
Brack,1,1,23252.0,23251.9,23252.0,23252.0,23252.0,23252.0,"{""form_processed"": 1}"
BS-Team,3,3,75693.4,83834.4,25231.1,25239.1,25239.5,25239.5,"{""workflow_failed"": 3}"
Bundesverwaltung,4,4,100506.2,168737.2,25126.5,25222.3,26403.2,26403.2,"{""workflow_failed"": 4}"
Crypto Finance AG,2,2,40957.6,43461.1,20478.8,20478.8,21384.9,21384.9,"{""form_processed"": 2}"
CSS,2,2,49985.6,63528.5,24992.8,24992.8,30228.2,30228.2,"{""form_processed"": 2}"
DeepJudge,1,1,16962.3,16962.3,16962.3,16962.3,16962.3,16962.3,"{""form_processed"": 1}"
Destinus,1,1,20554.7,20554.7,20554.7,20554.7,20554.7,20554.7,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,16170.0,16170.0,16170.0,16170.0,16170.0,16170.0,"{""form_processed"": 1}"
EPAM,1,1,12545.9,12545.9,12545.9,12545.9,12545.9,12545.9,"{""no_application_form"": 1}"
Eraneos,5,5,1087.7,28393.6,217.5,218.1,218.3,218.3,"{""skipped_by_metadata"": 5}"
Expleo,2,2,1481.8,1483.7,740.9,740.9,1263.6,1263.6,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,7413.3,7413.3,7413.3,7413.3,7413.3,7413.3,"{""form_processed"": 1}"
finnova,2,2,55700.3,64453.9,27850.2,27850.2,28142.0,28142.0,"{""form_processed"": 1, ""workflow_failed"": 1}"
Harmattan AI,1,1,22643.5,22643.5,22643.5,22643.5,22643.5,22643.5,"{""form_processed"": 1}"
Hoshii AG,1,1,6728.1,6728.1,6728.1,6728.1,6728.1,6728.1,"{""no_application_form"": 1}"
Julius Bär,2,2,434.3,80945.8,217.1,217.1,218.1,218.1,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,24806.6,24806.6,24806.6,24806.6,24806.6,24806.6,"{""form_processed"": 1}"
Kanton Luzern,3,3,39495.9,33299.6,13165.3,13207.2,13540.2,13540.2,"{""form_processed"": 3}"
Meier Tobler,1,1,35395.1,35395.1,35395.1,35395.1,35395.1,35395.1,"{""no_application_form"": 1}"
Mettler Toledo,1,1,31081.4,31081.4,31081.4,31081.4,31081.4,31081.4,"{""no_application_form"": 1}"
Microservice Solutions,1,1,24724.0,24724.0,24724.0,24724.0,24724.0,24724.0,"{""no_application_form"": 1}"
Microsoft,1,1,28485.9,28485.9,28485.9,28485.9,28485.9,28485.9,"{""no_application_form"": 1}"
Mimic,2,2,50462.4,119738.8,25231.2,25231.2,25235.2,25235.2,"{""workflow_failed"": 2}"
Monolithic Power Systems,1,1,216.5,216.5,216.5,216.5,216.5,216.5,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,51804.4,51805.5,25902.2,25902.2,40259.8,40259.8,"{""no_application_form"": 1, ""workflow_failed"": 1}"
NVIDIA,1,1,26284.9,26284.9,26284.9,26284.9,26284.9,26284.9,"{""workflow_failed"": 1}"
NZZ,1,1,15419.4,15419.4,15419.4,15419.4,15419.4,15419.4,"{""form_processed"": 1}"
ONLU AG,1,1,12347.1,12347.0,12347.1,12347.1,12347.1,12347.1,"{""form_processed"": 1}"
Pax,1,1,20228.3,20228.2,20228.3,20228.3,20228.3,20228.3,"{""form_processed"": 1}"
Richemont,1,1,6847.7,6847.7,6847.7,6847.7,6847.7,6847.7,"{""no_application_form"": 1}"
Rivia,1,1,25221.6,25221.5,25221.6,25221.6,25221.6,25221.6,"{""workflow_failed"": 1}"
Roche,1,1,1262.0,1262.0,1262.0,1262.0,1262.0,1262.0,"{""skipped_by_metadata"": 1}"
RUAG,5,5,110358.5,105202.2,22071.7,24442.0,28898.4,28898.4,"{""form_processed"": 2, ""workflow_failed"": 3}"
Salesforce,7,7,1495.0,54659.5,213.6,216.7,218.8,218.8,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,22580.6,38948.8,11290.3,11290.3,11852.3,11852.3,"{""form_processed"": 2}"
Thomson Reuters,1,1,204.3,204.3,204.3,204.3,204.3,204.3,"{""skipped_by_metadata"": 1}"
ti&m,8,8,233528.3,93216.4,29191.0,32459.1,33974.2,33974.2,"{""workflow_failed"": 8}"
Universitätsspital Zürich,1,1,24689.2,24689.2,24689.2,24689.2,24689.2,24689.2,"{""authentication_required"": 1}"
Vaudoise,2,2,29254.8,37850.7,14627.4,14627.4,14802.5,14802.5,"{""form_processed"": 2}"
vlot,1,1,12465.1,12465.1,12465.1,12465.1,12465.1,12465.1,"{""no_application_form"": 1}"
Wavestone,2,2,30519.0,33765.8,15259.5,15259.5,15844.1,15844.1,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,47504.2,101325.3,11876.0,11341.9,16599.5,16599.5,"{""form_processed"": 4}"
