rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,10597.7,9215.1,0.3,10598.0,0,B6B6588F07F1240C4166288FEFC3CFDE,216.7,0,4771812.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,9598.3,8214.7,0.6,9598.9,1,7D445C6B4690A8E04FAAFA9DEA9A5944,208.9,0,5534668.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,12829.5,11440.4,0.9,12830.5,2,D5FDDC22B5B831A953846C6D03EC629D,217.0,0,4726868.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,1386.8,0.0,1.1,1387.9,3,3D80A4D4AC2DB5AEDD0A35CC9D7B9625,213.3,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,13779.3,12387.5,1.4,13780.7,4,FF97965DDA02E53979B64006E3B82E61,217.1,0,28847108.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,25300.9,23888.5,1.7,25302.7,5,B6134D846687BEC1E62CE31E499D2D8E,247.1,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,11988.7,10622.6,2.1,11990.8,6,82DA470279F1D9DEF36AE3BDCDD421E5,196.8,0,11436656.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,12329.7,10936.2,2.4,12332.1,7,46725E27E87C2583FF250C486890F30C,217.1,0,11484252.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,17113.1,15719.3,2.7,17115.8,8,66D31012FCBD1BC80B0F3590469297C8,218.2,0,11410580.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,1370.1,0.0,3.0,1373.1,9,E22BE756CC79CA56DF027BF1E90E848A,205.3,0,
