rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,9994.9,9655.1,0.2,9995.1,0,9844402B705BB9B459AB95A01F1EA154,195.9,0,4708824.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,9994.8,9649.6,0.5,9995.3,1,C1C28BC9D302EE05638AC43759EE7A0B,196.0,0,4675160.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,18466.0,18112.8,0.8,18466.8,2,9111C9B8DE880F7E8DEF2DD86FE069E1,206.5,0,3543324.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,354.0,0.0,1.0,355.0,3,107FC7C5EBDC9E884B5F0433CAD726AA,210.2,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,11820.3,11458.5,1.3,11821.6,4,AB280B088AF5C1851BE0C6709130CF67,212.4,0,23716884.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,35303.6,34932.9,1.6,35305.2,5,A54F4650A6A15640DB967F6828481740,223.8,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,21620.9,21256.9,1.9,21622.8,6,9FD080DDB1002149205BB2A920034926,216.8,0,11415032.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,21837.2,21484.2,2.3,21839.4,7,B74919DC2F457DE00C54B632C40C8A60,205.0,0,11274672.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,21620.0,21254.7,2.6,21622.6,8,F5E3ABBC7A4DB4B5101F3831A41FF523,216.7,0,11035700.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,352.5,0.0,2.8,355.2,9,9CAAE5653079C257C3248EAA3D131F53,209.1,0,
