company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,13251.6,13251.6,13251.6,13251.6,13251.6,13251.6,"{""form_processed"": 1}"
Advertima Vision,1,1,2456.1,2456.0,2456.1,2456.1,2456.1,2456.1,"{""form_processed"": 1}"
aity AG,2,2,11258.9,9081.8,5629.4,5629.4,6800.0,6800.0,"{""form_processed"": 2}"
Alohi,1,1,3158.5,3158.4,3158.5,3158.5,3158.5,3158.5,"{""form_processed"": 1}"
Ansam Group,2,2,10966.6,89614.4,5483.3,5483.3,8639.0,8639.0,"{""authentication_required"": 2}"
ANYbotics,1,1,4196.9,4196.9,4196.9,4196.9,4196.9,4196.9,"{""form_processed"": 1}"
Arina,1,1,48265.2,48265.2,48265.2,48265.2,48265.2,48265.2,"{""workflow_failed"": 1}"
AutoForm,2,2,17107.3,9534.9,8553.6,8553.6,9534.6,9534.6,"{""form_processed"": 2}"
Baker Hughes,1,1,201.0,201.0,201.0,201.0,201.0,201.0,"{""skipped_by_metadata"": 1}"
BCG,4,4,103012.0,28680.4,25753.0,25752.6,26268.8,26268.8,"{""no_application_form"": 2, ""workflow_failed"": 2}"
BKW,1,1,26671.0,26671.0,26671.0,26671.0,26671.0,26671.0,"{""form_processed"": 1}"
Brack,1,1,15161.0,15161.0,15161.0,15161.0,15161.0,15161.0,"{""form_processed"": 1}"
BS-Team,3,3,50328.2,61389.1,16776.1,13440.3,25223.6,25223.6,"{""form_processed"": 2, ""workflow_failed"": 1}"
Bundesverwaltung,4,4,61086.4,102733.1,15271.6,15167.5,25553.7,25553.7,"{""authentication_required"": 2, ""workflow_failed"": 2}"
Crypto Finance AG,2,2,15418.5,24889.4,7709.2,7709.2,8631.1,8631.1,"{""form_processed"": 2}"
CSS,2,2,24147.8,38289.9,12073.9,12073.9,18466.0,18466.0,"{""form_processed"": 2}"
DeepJudge,1,1,12481.5,12481.5,12481.5,12481.5,12481.5,12481.5,"{""form_processed"": 1}"
Destinus,1,1,7715.1,7715.1,7715.1,7715.1,7715.1,7715.1,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,14066.3,14066.3,14066.3,14066.3,14066.3,14066.3,"{""form_processed"": 1}"
EPAM,1,1,19975.3,19975.4,19975.3,19975.3,19975.3,19975.3,"{""form_processed"": 1}"
Eraneos,5,5,1044.6,26461.1,208.9,204.4,217.0,217.0,"{""skipped_by_metadata"": 5}"
Expleo,2,2,568.1,570.2,284.1,284.1,354.0,354.0,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,6878.4,6878.4,6878.4,6878.4,6878.4,6878.4,"{""form_processed"": 1}"
finnova,2,2,24238.2,24318.3,12119.1,12119.1,15847.1,15847.1,"{""no_application_form"": 2}"
Harmattan AI,1,1,4636.1,4636.1,4636.1,4636.1,4636.1,4636.1,"{""form_processed"": 1}"
Hoshii AG,1,1,19023.0,19023.0,19023.0,19023.0,19023.0,19023.0,"{""no_application_form"": 1}"
Julius Bär,2,2,432.2,57205.8,216.1,216.1,218.0,218.0,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,7464.2,7464.2,7464.2,7464.2,7464.2,7464.2,"{""form_processed"": 1}"
Kanton Luzern,3,3,23440.2,21918.4,7813.4,9994.8,9994.9,9994.9,"{""form_processed"": 3}"
Meier Tobler,1,1,18794.6,18794.6,18794.6,18794.6,18794.6,18794.6,"{""no_application_form"": 1}"
Mettler Toledo,1,1,13676.1,13676.1,13676.1,13676.1,13676.1,13676.1,"{""no_application_form"": 1}"
Microservice Solutions,1,1,17333.5,17333.5,17333.5,17333.5,17333.5,17333.5,"{""no_application_form"": 1}"
Microsoft,1,1,23629.3,23629.3,23629.3,23629.3,23629.3,23629.3,"{""no_application_form"": 1}"
Mimic,2,2,31846.5,77580.5,15923.2,15923.2,25470.5,25470.5,"{""form_processed"": 1, ""no_application_form"": 1}"
