rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,8625.0,8203.0,0.3,8625.4,0,00D4150A64F505A641059BDF26780026,215.2,0,5491768.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,8332.8,7921.4,0.6,8333.4,1,16CFE68BCA7147585AE273975AF9A8CC,208.1,0,5490076.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,15073.2,14655.4,1.1,15074.3,2,E98C6DBC82E0EF6799BEB84B94142709,213.2,0,3537048.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,408.8,0.0,1.4,410.2,3,8B5BD1D3C7088E4D923FDA3DDF54410C,201.9,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,9679.7,9273.5,1.8,9681.4,4,738408402C4EE4A7E4002713E8804CA2,204.5,0,18870104.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,31169.5,30734.1,2.0,31171.5,5,46271BF3326110166B6E36FF7697E86F,230.8,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,18483.0,18084.8,2.3,18485.3,6,D2B873C09CD467670DCA3FD12B829ED4,192.7,0,10499632.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,18514.0,18099.4,2.6,18516.6,7,30B076A0A09C03CB911971399B9A3590,212.4,0,10498440.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,18513.8,18089.0,2.9,18516.7,8,D722524D7A30A663E165B855E2F1967E,218.6,0,10600184.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,406.9,0.0,3.1,410.0,9,402AA15F9BF6CBD00FDB260CE23E453B,204.7,0,
