company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,9795.6,9795.6,9795.6,9795.6,9795.6,9795.6,"{""form_processed"": 1}"
Advertima Vision,1,1,3381.3,3381.3,3381.3,3381.3,3381.3,3381.3,"{""form_processed"": 1}"
aity AG,2,2,13639.0,11242.5,6819.5,6819.5,7909.4,7909.4,"{""form_processed"": 2}"
Alohi,1,1,3503.2,3503.2,3503.2,3503.2,3503.2,3503.2,"{""form_processed"": 1}"
Ansam Group,2,2,11512.3,84728.5,5756.1,5756.1,7237.5,7237.5,"{""authentication_required"": 2}"
ANYbotics,1,1,4201.7,4201.7,4201.7,4201.7,4201.7,4201.7,"{""form_processed"": 1}"
Arina,1,1,10561.2,10561.2,10561.2,10561.2,10561.2,10561.2,"{""no_application_form"": 1}"
AutoForm,2,2,13564.6,7203.0,6782.3,6782.3,7202.9,7202.9,"{""form_processed"": 2}"
Baker Hughes,1,1,217.0,217.0,217.0,217.0,217.0,217.0,"{""skipped_by_metadata"": 1}"
BCG,4,4,100945.0,26419.4,25236.2,25235.7,25244.8,25244.8,"{""workflow_failed"": 4}"
BKW,1,1,23562.3,23562.3,23562.3,23562.3,23562.3,23562.3,"{""form_processed"": 1}"
Brack,1,1,9745.1,9745.2,9745.1,9745.1,9745.1,9745.1,"{""form_processed"": 1}"
BS-Team,3,3,38758.9,53190.1,12919.6,6765.2,25429.8,25429.8,"{""form_processed"": 3}"
Bundesverwaltung,4,4,62797.9,98711.3,15699.5,16309.2,22750.7,22750.7,"{""authentication_required"": 2, ""workflow_failed"": 2}"
Crypto Finance AG,2,2,15488.6,26818.9,7744.3,7744.3,7983.7,7983.7,"{""form_processed"": 2}"
CSS,2,2,22468.3,33908.9,11234.2,11234.2,15073.2,15073.2,"{""form_processed"": 2}"
DeepJudge,1,1,10497.6,10497.6,10497.6,10497.6,10497.6,10497.6,"{""form_processed"": 1}"
Destinus,1,1,8107.0,8107.0,8107.0,8107.0,8107.0,8107.0,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,9646.7,9646.7,9646.7,9646.7,9646.7,9646.7,"{""form_processed"": 1}"
EPAM,1,1,14412.6,14412.6,14412.6,14412.6,14412.6,14412.6,"{""form_processed"": 1}"
Eraneos,5,5,1046.7,25958.1,209.3,214.3,217.5,217.5,"{""skipped_by_metadata"": 5}"
Expleo,2,2,621.7,623.7,310.9,310.9,408.8,408.8,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,6454.6,6454.6,6454.6,6454.6,6454.6,6454.6,"{""form_processed"": 1}"
finnova,2,2,22537.6,26709.2,11268.8,11268.8,12989.2,12989.2,"{""form_processed"": 1, ""no_application_form"": 1}"
Harmattan AI,1,1,2934.8,2934.9,2934.8,2934.8,2934.8,2934.8,"{""form_processed"": 1}"
Hoshii AG,1,1,20384.6,20384.6,20384.6,20384.6,20384.6,20384.6,"{""no_application_form"": 1}"
Julius Bär,2,2,435.0,54696.6,217.5,217.5,218.6,218.6,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,7291.7,7291.7,7291.7,7291.7,7291.7,7291.7,"{""form_processed"": 1}"
Kanton Luzern,3,3,20790.3,18907.9,6930.1,8332.8,8625.0,8625.0,"{""form_processed"": 3}"
Meier Tobler,1,1,19106.4,19106.4,19106.4,19106.4,19106.4,19106.4,"{""no_application_form"": 1}"
Mettler Toledo,1,1,14414.2,14414.2,14414.2,14414.2,14414.2,14414.2,"{""no_application_form"": 1}"
Microservice Solutions,1,1,15786.5,15786.5,15786.5,15786.5,15786.5,15786.5,"{""no_application_form"": 1}"
Microsoft,1,1,25228.9,25228.8,25228.9,25228.9,25228.9,25228.9,"{""workflow_failed"": 1}"
Mimic,2,2,26662.8,72692.6,13331.4,13331.4,19826.0,19826.0,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,200.2,200.2,200.2,200.2,200.2,200.2,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,80667.8,46287.0,40333.9,40333.9,40417.9,40417.9,"{""workflow_failed"": 2}"
NVIDIA,1,1,31169.5,31169.5,31169.5,31169.5,31169.5,31169.5,"{""no_application_form"": 1}"
NZZ,1,1,11388.6,11388.6,11388.6,11388.6,11388.6,11388.6,"{""form_processed"": 1}"
ONLU AG,1,1,9092.1,9092.1,9092.1,9092.1,9092.1,9092.1,"{""form_processed"": 1}"
Pax,1,1,10376.1,10376.1,10376.1,10376.1,10376.1,10376.1,"{""form_processed"": 1}"
Richemont,1,1,5414.5,5414.5,5414.5,5414.5,5414.5,5414.5,"{""no_application_form"": 1}"
Rivia,1,1,5425.7,5425.7,5425.7,5425.7,5425.7,5425.7,"{""form_processed"": 1}"
Roche,1,1,406.9,406.9,406.9,406.9,406.9,406.9,"{""skipped_by_metadata"": 1}"
RUAG,5,5,76694.0,66523.4,15338.8,18483.0,18514.0,18514.0,"{""form_processed"": 5}"
Salesforce,7,7,1493.2,40343.5,213.3,215.5,216.9,216.9,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,11669.0,19067.3,5834.5,5834.5,8026.2,8026.2,"{""form_processed"": 2}"
Thomson Reuters,1,1,201.1,201.1,201.1,201.1,201.1,201.1,"{""skipped_by_metadata"": 1}"
ti&m,8,8,124496.7,84905.6,15562.1,10168.0,42746.5,42746.5,"{""no_application_form"": 7, ""workflow_failed"": 1}"
Universitätsspital Zürich,1,1,11093.5,11093.5,11093.5,11093.5,11093.5,11093.5,"{""generic_form"": 1}"
Vaudoise,2,2,15625.4,23194.8,7812.7,7812.7,10538.5,10538.5,"{""form_processed"": 2}"
vlot,1,1,9679.7,9679.6,9679.7,9679.7,9679.7,9679.7,"{""no_application_form"": 1}"
Wavestone,2,2,19848.9,23031.4,9924.5,9924.5,10741.8,10741.8,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,69019.8,100728.7,17255.0,8151.9,48297.1,48297.1,"{""form_processed"": 3, ""workflow_failed"": 1}"
