rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,14353.2,13480.0,0.3,14353.5,0,5B458A4987A5B61BB4DA043BEB6EF47E,64.3,0,5096256.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,13949.7,13091.7,0.6,13950.2,1,D54457710E5BC57D105C72428024A8A5,50.0,0,4959068.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,36405.5,35536.2,0.9,36406.3,2,8BC89E55FF202E1BBF526067931AACC7,60.3,0,6960920.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,1050.4,0.0,1.0,1051.4,3,0B338D71C7D0B3BBB64328420F1D96C5,240.9,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,23028.0,22156.7,1.2,23029.2,4,6D77E1A47EB7D31F316354E2B7754129,61.7,0,32182444.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,25826.5,24956.2,1.4,25827.9,5,C5992695BE68C26873D99929A887D0DB,55.1,0,38862020.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,37121.5,36256.3,1.6,37123.2,6,6D19D53EBD5C0B9E72895137BE01F715,59.1,0,5352412.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,37121.1,36247.3,1.9,37123.0,7,F9F43EC02F78F649F990E38EAFD1FFBA,58.0,0,5610072.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,33269.3,32385.9,2.2,33271.6,8,F3E41E5B8FCB9BF4FB8B7CDB52B4E095,59.0,0,5608460.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,1055.8,0.0,2.5,1058.3,9,79EFF14AD5F720DC25289CA572101E42,234.8,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,no_application_form,,16360.8,15471.4,2.7,16363.5,10,21709E899BE7EE7F60E251DB61ED71D2,69.3,0,3266320.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,1053.7,0.0,2.9,1056.7,11,A3F850D567F43799D8EABCBCD63AD4ED,234.7,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,1057.8,0.0,3.2,1061.0,12,38EE7875A414BEB6A13982D6F713B02F,236.3,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,1050.1,0.0,3.4,1053.5,13,3F0E86FCF5267FB3356F0EFCD6A18F84,238.9,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,42889.4,42011.8,3.6,42892.9,14,C57419B32B82DA5E5138395F6BD7E52B,55.3,0,11784276.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,29336.0,28437.2,3.9,29339.9,15,33E8A30C450166868443CF8D835E9C06,76.5,0,42251720.0
