company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,12203.0,12203.0,12203.0,12203.0,12203.0,12203.0,"{""form_processed"": 1}"
Advertima Vision,1,1,3783.3,3783.3,3783.3,3783.3,3783.3,3783.3,"{""form_processed"": 1}"
aity AG,2,2,16460.5,14294.9,8230.2,8230.2,14294.9,14294.9,"{""form_processed"": 1, ""no_application_form"": 1}"
Alohi,1,1,5942.0,5942.0,5942.0,5942.0,5942.0,5942.0,"{""form_processed"": 1}"
Ansam Group,2,2,15059.6,25542.2,7529.8,7529.8,12854.0,12854.0,"{""authentication_required"": 2}"
ANYbotics,1,1,6225.8,6225.9,6225.8,6225.8,6225.8,6225.8,"{""form_processed"": 1}"
Arina,1,1,20985.1,20985.0,20985.1,20985.1,20985.1,20985.1,"{""no_application_form"": 1}"
AutoForm,2,2,29172.1,14593.7,14586.0,14586.0,14593.4,14593.4,"{""form_processed"": 2}"
Baker Hughes,1,1,1087.1,1087.0,1087.1,1087.1,1087.1,1087.1,"{""skipped_by_metadata"": 1}"
BCG,4,4,105449.3,26401.2,26362.3,26375.7,26395.4,26395.4,"{""no_application_form"": 4}"
BKW,1,1,26837.7,26837.6,26837.7,26837.7,26837.7,26837.7,"{""form_processed"": 1}"
Brack,1,1,26224.0,26224.0,26224.0,26224.0,26224.0,26224.0,"{""form_processed"": 1}"
BS-Team,3,3,66819.7,28038.8,22273.2,24940.9,26693.0,26693.0,"{""form_processed"": 3}"
Bundesverwaltung,4,4,146566.0,44062.2,36641.5,42902.4,42917.0,42917.0,"{""authentication_required"": 1, ""workflow_failed"": 3}"
Crypto Finance AG,2,2,35120.0,18241.6,17560.0,17560.0,17965.0,17965.0,"{""form_processed"": 2}"
CSS,2,2,72803.6,36405.6,36401.8,36401.8,36405.5,36405.5,"{""form_processed"": 2}"
DeepJudge,1,1,5783.8,5783.8,5783.8,5783.8,5783.8,5783.8,"{""form_processed"": 1}"
Destinus,1,1,13211.9,13211.9,13211.9,13211.9,13211.9,13211.9,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,16822.1,16822.1,16822.1,16822.1,16822.1,16822.1,"{""form_processed"": 1}"
EPAM,1,1,23270.2,23270.2,23270.2,23270.2,23270.2,23270.2,"{""form_processed"": 1}"
Eraneos,5,5,7156.7,5962.0,1431.3,930.9,3090.0,3090.0,"{""skipped_by_metadata"": 5}"
Expleo,2,2,2104.1,1055.7,1052.1,1052.1,1053.7,1053.7,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,8810.1,8810.1,8810.1,8810.1,8810.1,8810.1,"{""form_processed"": 1}"
finnova,2,2,30380.2,27511.2,15190.1,15190.1,17623.2,17623.2,"{""no_application_form"": 2}"
Harmattan AI,1,1,2788.0,2788.0,2788.0,2788.0,2788.0,2788.0,"{""form_processed"": 1}"
Hoshii AG,1,1,24129.5,24129.5,24129.5,24129.5,24129.5,24129.5,"{""no_application_form"": 1}"
Julius Bär,2,2,1134.3,14658.6,567.1,567.1,1074.3,1074.3,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,13141.3,13141.3,13141.3,13141.3,13141.3,13141.3,"{""form_processed"": 1}"
Kanton Luzern,3,3,42435.6,14353.2,14145.2,14132.7,14353.2,14353.2,"{""form_processed"": 3}"
Meier Tobler,1,1,20447.9,20447.9,20447.9,20447.9,20447.9,20447.9,"{""no_application_form"": 1}"
Mettler Toledo,1,1,22760.9,22760.9,22760.9,22760.9,22760.9,22760.9,"{""no_application_form"": 1}"
Microservice Solutions,1,1,24919.2,24919.1,24919.2,24919.2,24919.2,24919.2,"{""no_application_form"": 1}"
Microsoft,1,1,26213.9,26213.9,26213.9,26213.9,26213.9,26213.9,"{""workflow_failed"": 1}"
Mimic,2,2,43016.4,29383.2,21508.2,21508.2,29336.0,29336.0,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,60.5,60.5,60.5,60.5,60.5,60.5,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,81536.0,41331.3,40768.0,40768.0,41284.5,41284.5,"{""workflow_failed"": 2}"
NVIDIA,1,1,25826.5,25826.5,25826.5,25826.5,25826.5,25826.5,"{""no_application_form"": 1}"
NZZ,1,1,34270.1,34270.2,34270.1,34270.1,34270.1,34270.1,"{""form_processed"": 1}"
ONLU AG,1,1,11923.9,11923.9,11923.9,11923.9,11923.9,11923.9,"{""form_processed"": 1}"
Pax,1,1,34469.3,34469.3,34469.3,34469.3,34469.3,34469.3,"{""form_processed"": 1}"
Richemont,1,1,36584.8,36584.8,36584.8,36584.8,36584.8,36584.8,"{""no_application_form"": 1}"
Rivia,1,1,29114.6,29114.7,29114.6,29114.6,29114.6,29114.6,"{""form_processed"": 1}"
Roche,1,1,1055.8,1055.8,1055.8,1055.8,1055.8,1055.8,"{""skipped_by_metadata"": 1}"
RUAG,5,5,169772.3,37121.6,33954.5,33269.3,37121.5,37121.5,"{""form_processed"": 5}"
Salesforce,7,7,7643.1,1129.4,1091.9,1099.5,1120.6,1120.6,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,29034.0,14519.5,14517.0,14517.0,14519.5,14519.5,"{""form_processed"": 2}"
Thomson Reuters,1,1,1084.5,1084.5,1084.5,1084.5,1084.5,1084.5,"{""skipped_by_metadata"": 1}"
ti&m,8,8,145211.2,34227.7,18151.4,14252.4,33104.6,33104.6,"{""form_processed"": 1, ""no_application_form"": 7}"
