rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,20049.5,19794.6,0.3,20049.8,0,63A88AFF626FE516B1E63DCF51B13300,58.6,0,4982992.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,20049.0,19770.9,0.6,20049.6,1,923CED0815579056FA9236227B0A66C3,58.8,0,5125948.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,32167.9,31891.2,1.0,32168.9,2,672302B612F580238E3997AA5E8B75A2,59.1,0,7130776.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,2859.5,2583.1,1.2,2860.8,3,65B09A22C0363517A37A7EEA567072B6,67.4,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,32834.6,32578.1,1.5,32836.1,4,31F7F70D2B19A604B390A018AECFD8AB,52.4,0,30756700.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,33071.8,32758.1,1.7,33073.6,5,39EED04E72C8A1008112C15C9124850A,87.9,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,32988.9,32718.9,2.0,32990.8,6,3E373320684C958DDC320BDC87AB231B,67.6,0,11304572.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,30634.7,30359.5,2.2,30637.0,7,C0A93AA9DBE38A0C2A84A29BEED820FB,62.7,0,11314592.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,29463.2,29184.2,2.5,29465.7,8,527B72136DEF524EE560D7A7108FA639,65.2,0,11316272.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,2874.0,2593.3,2.8,2876.8,9,C75DD223FC8AA24527452A5D6AA7C73E,71.2,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,20544.7,20476.1,2861.8,23406.5,3,65B09A22C0363517A37A7EEA567072B6,68.2,0,4699552.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,60.5,2.4,2877.8,2938.3,9,C75DD223FC8AA24527452A5D6AA7C73E,57.8,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.3,2.9,2939.3,3000.6,9,C75DD223FC8AA24527452A5D6AA7C73E,58.0,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,60.6,2.6,3001.8,3062.4,9,C75DD223FC8AA24527452A5D6AA7C73E,57.6,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,31622.4,31556.0,3063.3,34685.7,9,C75DD223FC8AA24527452A5D6AA7C73E,65.7,0,6150384.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,27848.8,27792.7,20051.2,47900.1,1,923CED0815579056FA9236227B0A66C3,55.0,0,50937060.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,skipped_by_skill,declared_mode_account,73.8,3.1,20053.6,20127.5,0,63A88AFF626FE516B1E63DCF51B13300,70.0,0,
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,19608.4,19540.4,20128.4,39736.8,0,63A88AFF626FE516B1E63DCF51B13300,67.6,0,21740040.0
