company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,15264.1,15264.1,15264.1,15264.1,15264.1,15264.1,"{""form_processed"": 1}"
Advertima Vision,1,1,5525.4,5525.4,5525.4,5525.4,5525.4,5525.4,"{""form_processed"": 1}"
aity AG,2,2,40472.3,31071.4,20236.2,20236.2,29052.6,29052.6,"{""form_processed"": 2}"
Alohi,1,1,6132.5,6132.5,6132.5,6132.5,6132.5,6132.5,"{""form_processed"": 1}"
Ansam Group,2,2,134.2,108206.6,67.1,67.1,73.8,73.8,"{""skipped_by_skill"": 2}"
ANYbotics,1,1,8337.5,8337.6,8337.5,8337.5,8337.5,8337.5,"{""form_processed"": 1}"
Arina,1,1,13857.3,13857.4,13857.3,13857.3,13857.3,13857.3,"{""no_application_form"": 1}"
AutoForm,2,2,13449.5,8591.1,6724.8,6724.8,8591.1,8591.1,"{""form_processed"": 2}"
Baker Hughes,1,1,62.5,62.5,62.5,62.5,62.5,62.5,"{""skipped_by_metadata"": 1}"
BCG,4,4,104673.6,30186.0,26168.4,26168.4,26170.2,26170.2,"{""no_application_form"": 4}"
BKW,1,1,36053.2,36053.2,36053.2,36053.2,36053.2,36053.2,"{""workflow_failed"": 1}"
Brack,1,1,17743.4,17743.4,17743.4,17743.4,17743.4,17743.4,"{""form_processed"": 1}"
BS-Team,3,3,39018.2,54354.2,13006.1,7774.0,25327.2,25327.2,"{""form_processed"": 3}"
Bundesverwaltung,4,4,72982.8,139078.6,18245.7,16258.9,31622.4,31622.4,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,16158.5,28238.7,8079.2,8079.2,9180.6,9180.6,"{""form_processed"": 2}"
CSS,2,2,41987.9,49557.2,20994.0,20994.0,32167.9,32167.9,"{""form_processed"": 2}"
DeepJudge,1,1,6105.1,6105.0,6105.1,6105.1,6105.1,6105.1,"{""form_processed"": 1}"
Destinus,1,1,12535.4,12535.3,12535.4,12535.4,12535.4,12535.4,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,12105.7,12105.7,12105.7,12105.7,12105.7,12105.7,"{""form_processed"": 1}"
EPAM,1,1,12814.7,12814.7,12814.7,12814.7,12814.7,12814.7,"{""no_application_form"": 1}"
Eraneos,5,5,343.2,27950.4,68.6,63.9,79.8,79.8,"{""skipped_by_metadata"": 5}"
Expleo,2,2,2920.0,2937.1,1460.0,1460.0,2859.5,2859.5,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,8912.7,8912.6,8912.7,8912.7,8912.7,8912.7,"{""form_processed"": 1}"
finnova,2,2,63736.1,54429.6,31868.0,31868.0,44650.2,44650.2,"{""form_processed"": 1, ""no_application_form"": 1}"
Harmattan AI,1,1,2045.4,2045.5,2045.4,2045.4,2045.4,2045.4,"{""form_processed"": 1}"
Hoshii AG,1,1,11502.3,11502.3,11502.3,11502.3,11502.3,11502.3,"{""no_application_form"": 1}"
Julius Bär,2,2,136.0,59020.9,68.0,68.0,75.7,75.7,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,20842.3,20842.3,20842.3,20842.3,20842.3,20842.3,"{""form_processed"": 1}"
Kanton Luzern,3,3,43096.2,32464.5,14365.4,20049.0,20049.5,20049.5,"{""form_processed"": 3}"
Meier Tobler,1,1,47208.1,47208.2,47208.1,47208.1,47208.1,47208.1,"{""no_application_form"": 1}"
Mettler Toledo,1,1,29101.5,29101.5,29101.5,29101.5,29101.5,29101.5,"{""no_application_form"": 1}"
Microservice Solutions,1,1,38121.3,38121.3,38121.3,38121.3,38121.3,38121.3,"{""no_application_form"": 1}"
Microsoft,1,1,25305.9,25305.9,25305.9,25305.9,25305.9,25305.9,"{""no_application_form"": 1}"
Mimic,2,2,68918.9,112820.8,34459.4,34459.4,41070.1,41070.1,"{""form_processed"": 1, ""workflow_failed"": 1}"
Monolithic Power Systems,1,1,75.4,75.4,75.4,75.4,75.4,75.4,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,80215.3,46797.7,40107.7,40107.7,40109.9,40109.9,"{""workflow_failed"": 2}"
NVIDIA,1,1,33071.8,33071.9,33071.8,33071.8,33071.8,33071.8,"{""no_application_form"": 1}"
NZZ,1,1,17601.2,17601.2,17601.2,17601.2,17601.2,17601.2,"{""form_processed"": 1}"
ONLU AG,1,1,13966.8,13966.9,13966.8,13966.8,13966.8,13966.8,"{""form_processed"": 1}"
Pax,1,1,12140.2,12140.1,12140.2,12140.2,12140.2,12140.2,"{""form_processed"": 1}"
Richemont,1,1,5554.3,5554.4,5554.3,5554.3,5554.3,5554.3,"{""no_application_form"": 1}"
Rivia,1,1,10427.2,10427.2,10427.2,10427.2,10427.2,10427.2,"{""form_processed"": 1}"
Roche,1,1,2874.0,2874.0,2874.0,2874.0,2874.0,2874.0,"{""skipped_by_metadata"": 1}"
RUAG,5,5,110494.3,82930.3,22098.9,29463.2,32988.9,32988.9,"{""form_processed"": 5}"
Salesforce,7,7,439.0,50336.7,62.7,61.3,71.3,71.3,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,13619.7,21055.6,6809.9,6809.9,9905.1,9905.1,"{""form_processed"": 2}"
Thomson Reuters,1,1,76.9,76.9,76.9,76.9,76.9,76.9,"{""skipped_by_metadata"": 1}"
ti&m,8,8,196269.6,97067.8,24533.7,19822.2,48133.7,48133.7,"{""form_processed"": 1, ""no_application_form"": 3, ""workflow_failed"": 4}"
Universitätsspital Zürich,1,1,19707.3,19707.3,19707.3,19707.3,19707.3,19707.3,"{""generic_form"": 1}"
Vaudoise,2,2,25861.4,34687.2,12930.7,12930.7,20544.7,20544.7,"{""form_processed"": 2}"
vlot,1,1,32834.6,32834.6,32834.6,32834.6,32834.6,32834.6,"{""no_application_form"": 1}"
Wavestone,2,2,29448.5,24398.7,14724.2,14724.2,19608.4,19608.4,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,36296.5,80877.9,9074.1,8847.2,13885.6,13885.6,"{""form_processed"": 4}"
