company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,41510.6,41510.7,41510.6,41510.6,41510.6,41510.6,"{""form_processed"": 1}"
Advertima Vision,1,1,12548.7,12548.7,12548.7,12548.7,12548.7,12548.7,"{""form_processed"": 1}"
aity AG,2,2,33186.7,37561.1,16593.3,16593.3,25344.8,25344.8,"{""form_processed"": 2}"
Alohi,1,1,23121.9,23122.0,23121.9,23121.9,23121.9,23121.9,"{""form_processed"": 1}"
Ansam Group,2,2,139.1,161855.3,69.5,69.5,77.1,77.1,"{""skipped_by_skill"": 2}"
ANYbotics,1,1,16105.5,16105.4,16105.5,16105.5,16105.5,16105.5,"{""form_processed"": 1}"
Arina,1,1,16135.9,16135.9,16135.9,16135.9,16135.9,16135.9,"{""no_application_form"": 1}"
AutoForm,2,2,50654.4,29771.1,25327.2,25327.2,25336.4,25336.4,"{""form_processed"": 2}"
Baker Hughes,1,1,60.5,60.5,60.5,60.5,60.5,60.5,"{""skipped_by_metadata"": 1}"
BCG,4,4,100701.8,28236.1,25175.5,25178.1,25180.2,25180.2,"{""workflow_failed"": 4}"
BKW,1,1,66238.6,66238.5,66238.6,66238.6,66238.6,66238.6,"{""workflow_failed"": 1}"
Brack,1,1,12012.8,12012.8,12012.8,12012.8,12012.8,12012.8,"{""form_processed"": 1}"
BS-Team,3,3,75574.7,105649.8,25191.6,25194.3,25208.6,25208.6,"{""workflow_failed"": 3}"
Bundesverwaltung,4,4,122896.0,227739.1,30724.0,28545.1,41250.6,41250.6,"{""workflow_failed"": 4}"
Crypto Finance AG,2,2,42864.6,58043.9,21432.3,21432.3,25375.4,25375.4,"{""form_processed"": 1, ""no_application_form"": 1}"
CSS,2,2,50054.6,76106.2,25027.3,25027.3,28020.7,28020.7,"{""form_processed"": 2}"
DeepJudge,1,1,37695.7,37695.8,37695.7,37695.7,37695.7,37695.7,"{""no_application_form"": 1}"
Destinus,1,1,19857.7,19857.7,19857.7,19857.7,19857.7,19857.7,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,28960.2,28960.2,28960.2,28960.2,28960.2,28960.2,"{""no_application_form"": 1}"
EPAM,1,1,54033.4,54033.4,54033.4,54033.4,54033.4,54033.4,"{""no_application_form"": 1}"
Eraneos,5,5,336.6,28502.2,67.3,63.4,76.2,76.2,"{""skipped_by_metadata"": 5}"
Expleo,2,2,3680.9,3697.6,1840.4,1840.4,3617.7,3617.7,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,25315.6,25315.5,25315.6,25315.6,25315.6,25315.6,"{""form_processed"": 1}"
finnova,2,2,110909.2,99935.6,55454.6,55454.6,66144.3,66144.3,"{""form_processed"": 1, ""workflow_failed"": 1}"
Harmattan AI,1,1,6950.3,6950.3,6950.3,6950.3,6950.3,6950.3,"{""form_processed"": 1}"
Hoshii AG,1,1,24355.7,24355.8,24355.7,24355.7,24355.7,24355.7,"{""no_application_form"": 1}"
Julius Bär,2,2,122.0,106049.0,61.0,61.0,61.9,61.9,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,48274.7,48274.7,48274.7,48274.7,48274.7,48274.7,"{""form_processed"": 1}"
Kanton Luzern,3,3,68948.2,34863.5,22982.7,31536.0,31536.2,31536.2,"{""form_processed"": 3}"
Meier Tobler,1,1,60327.3,60327.3,60327.3,60327.3,60327.3,60327.3,"{""no_application_form"": 1}"
Mettler Toledo,1,1,25074.2,25074.2,25074.2,25074.2,25074.2,25074.2,"{""workflow_failed"": 1}"
Microservice Solutions,1,1,66961.5,66961.5,66961.5,66961.5,66961.5,66961.5,"{""no_application_form"": 1}"
Microsoft,1,1,25081.8,25081.8,25081.8,25081.8,25081.8,25081.8,"{""workflow_failed"": 1}"
Mimic,2,2,50180.0,141343.4,25090.0,25090.0,25100.4,25100.4,"{""workflow_failed"": 2}"
Monolithic Power Systems,1,1,62.0,62.1,62.0,62.0,62.0,62.0,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,53009.2,36269.2,26504.6,26504.6,26814.5,26814.5,"{""no_application_form"": 2}"
NVIDIA,1,1,28670.7,28670.7,28670.7,28670.7,28670.7,28670.7,"{""workflow_failed"": 1}"
NZZ,1,1,16124.1,16124.0,16124.1,16124.1,16124.1,16124.1,"{""form_processed"": 1}"
ONLU AG,1,1,25098.7,25098.7,25098.7,25098.7,25098.7,25098.7,"{""workflow_failed"": 1}"
Pax,1,1,18956.8,18956.8,18956.8,18956.8,18956.8,18956.8,"{""form_processed"": 1}"
Richemont,1,1,22137.8,22137.8,22137.8,22137.8,22137.8,22137.8,"{""no_application_form"": 1}"
Rivia,1,1,25091.6,25091.6,25091.6,25091.6,25091.6,25091.6,"{""workflow_failed"": 1}"
Roche,1,1,3631.8,3631.8,3631.8,3631.8,3631.8,3631.8,"{""skipped_by_metadata"": 1}"
RUAG,5,5,135080.5,137521.3,27016.1,28919.4,28984.1,28984.1,"{""form_processed"": 5}"
Salesforce,7,7,472.0,85288.0,67.4,61.6,78.0,78.0,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,38197.9,59582.2,19099.0,19099.0,25534.9,25534.9,"{""form_processed"": 2}"
Thomson Reuters,1,1,75.2,75.2,75.2,75.2,75.2,75.2,"{""skipped_by_metadata"": 1}"
ti&m,8,8,295507.2,128368.1,36938.4,40441.8,55582.2,55582.2,"{""form_processed"": 1, ""no_application_form"": 2, ""workflow_failed"": 5}"
Universitätsspital Zürich,1,1,26184.6,26184.6,26184.6,26184.6,26184.6,26184.6,"{""generic_form"": 1}"
Vaudoise,2,2,35488.9,37841.5,17744.5,17744.5,25568.0,25568.0,"{""form_processed"": 2}"
vlot,1,1,41905.6,41905.5,41905.6,41905.6,41905.6,41905.6,"{""no_application_form"": 1}"
Wavestone,2,2,121143.8,76573.1,60571.9,60571.9,60893.5,60893.5,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,51656.8,123829.3,12914.2,10559.1,22274.3,22274.3,"{""form_processed"": 4}"
