rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,25831.2,25537.3,0.3,25831.4,0,552E1006749DFBCA88AA57FA680ED9F2,71.4,0,4982884.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,25831.1,25551.1,0.5,25831.6,1,DCE53CF19F6EDE5842D53881AA2A216D,72.0,0,4987560.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,28362.5,28066.2,1.0,28363.5,2,68B88C623BF05FD98C611C86642BD784,68.8,0,7736340.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,2970.7,2691.3,1.3,2971.9,3,0246D35B0B6A05B52872E0D3C104DBE2,69.2,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,41827.0,41546.4,1.5,41828.5,4,21C5908EB37A865E4DB0C01771E87398,65.0,0,40215976.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,workflow_failed,,28050.7,27765.2,1.8,28052.5,5,27EFE877D9FC006F1BDD42EDF79FB97F,68.2,0,18601036.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,28299.5,28012.1,2.0,28301.6,6,1365B95E511D392D9B299E11F8861405,64.9,0,5482072.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,27063.7,26783.4,2.3,27066.0,7,2C3B81F26CA01002AE687D276ADC6676,67.1,0,5504832.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,28267.9,27976.0,2.6,28270.6,8,B94CB8C728E450B8258C19EA6A9D7B7F,68.1,0,5811752.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,3000.6,2716.6,2.9,3003.5,9,1F111A17CCA94F5FCBDE5C3D5FD7ED63,65.9,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,24782.5,24717.9,2973.0,27755.5,3,0246D35B0B6A05B52872E0D3C104DBE2,64.3,0,4255668.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,61.4,2.3,3004.6,3066.0,9,1F111A17CCA94F5FCBDE5C3D5FD7ED63,58.7,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,79.0,3.3,3067.1,3146.1,9,1F111A17CCA94F5FCBDE5C3D5FD7ED63,74.8,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,77.9,3.3,3147.1,3225.1,9,1F111A17CCA94F5FCBDE5C3D5FD7ED63,74.2,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,41205.8,41149.6,3226.1,44431.9,9,1F111A17CCA94F5FCBDE5C3D5FD7ED63,55.6,0,1003668.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,workflow_failed,,25107.6,25040.0,25833.0,50940.7,0,552E1006749DFBCA88AA57FA680ED9F2,66.5,0,3690516.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,skipped_by_skill,declared_mode_account,72.2,2.2,25835.2,25907.5,1,DCE53CF19F6EDE5842D53881AA2A216D,69.5,0,
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,61438.1,61374.7,25908.5,87346.6,1,DCE53CF19F6EDE5842D53881AA2A216D,63.0,0,10074872.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,no_application_form,,37134.6,37067.7,27067.1,64201.8,7,2C3B81F26CA01002AE687D276ADC6676,66.5,0,3159460.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,6180.2,6122.8,27756.9,33937.0,3,0246D35B0B6A05B52872E0D3C104DBE2,56.9,0,4257376.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,workflow_failed,,25066.0,25015.7,28053.8,53119.8,5,27EFE877D9FC006F1BDD42EDF79FB97F,49.7,0,1462256.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,25515.3,25441.1,28271.8,53787.2,8,B94CB8C728E450B8258C19EA6A9D7B7F,73.6,0,8691060.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,76.2,2.9,28302.9,28379.0,6,1365B95E511D392D9B299E11F8861405,72.6,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,8941.1,8891.6,28365.1,37306.2,2,68B88C623BF05FD98C611C86642BD784,48.8,0,5071536.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,no_application_form,,53379.6,53315.7,28380.3,81759.9,6,1365B95E511D392D9B299E11F8861405,63.4,0,12023260.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,6859.0,6792.8,33938.5,40797.5,3,0246D35B0B6A05B52872E0D3C104DBE2,65.8,0,29256920.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,workflow_failed,,25162.6,25105.5,37307.8,62470.4,2,68B88C623BF05FD98C611C86642BD784,56.4,0,1750096.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,60.4,3.6,40798.8,40859.2,3,0246D35B0B6A05B52872E0D3C104DBE2,56.4,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,62.2,3.3,40860.1,40922.3,3,0246D35B0B6A05B52872E0D3C104DBE2,58.6,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,workflow_failed,,23790.0,23735.6,40923.4,64713.4,3,0246D35B0B6A05B52872E0D3C104DBE2,53.5,0,1742036.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,64817.5,64750.6,41829.7,106647.2,4,21C5908EB37A865E4DB0C01771E87398,66.5,0,15546304.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,workflow_failed,,25099.0,25029.4,44433.1,69532.0,9,1F111A17CCA94F5FCBDE5C3D5FD7ED63,69.1,0,5962012.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,17327.9,17265.5,50941.8,68269.7,0,552E1006749DFBCA88AA57FA680ED9F2,61.9,0,7921344.0
34,Baker Hughes,['Baker Hughes'],,,BakerHughes_R164293,Software Engineer - Embedded Software (d/f/m),True,skipped_by_metadata,declared_mode_account,61.9,2.3,53120.9,53182.8,5,27EFE877D9FC006F1BDD42EDF79FB97F,59.2,0,
35,AutoForm,['AutoForm'],,,AutoForm_5158,(Senior) Software Engineer (m/f) 80–100%,True,form_processed,,22178.2,22115.6,53183.7,75361.9,5,27EFE877D9FC006F1BDD42EDF79FB97F,62.2,0,4011160.0
36,AutoForm,['AutoForm'],,,AutoForm_5157,(Senior) Software Engineer (m/f) 80-100%,True,form_processed,,21572.9,21511.1,53788.8,75361.7,8,B94CB8C728E450B8258C19EA6A9D7B7F,61.5,0,4008200.0
37,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10123612,ICT DevOps Engineer Data & Analytics Senior,True,workflow_failed,,22878.1,22811.0,62471.7,85349.8,2,68B88C623BF05FD98C611C86642BD784,66.4,0,2191440.0
38,Digital Wave Finance AG,['Digital Wave Finance AG'],,,DigitalWaveFinanceAG_B1B5C73CAF,C# Developer Platform,True,no_application_form,,33070.1,33006.0,64203.1,97273.2,7,2C3B81F26CA01002AE687D276ADC6676,63.1,0,22858300.0
39,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_1ba9e9f4c1f8,Input Engineer Dokumentenmanagement (m/w/d),True,form_processed,,22190.5,22126.6,64714.3,86904.8,3,0246D35B0B6A05B52872E0D3C104DBE2,63.5,0,3938128.0
40,SonarSource,['SonarSource'],,,SonarSource_063c3fa2-788a-4e2b-b35e-80ff7b122739,Sales Solutions Engineer - EMEA,True,form_processed,,25644.7,25585.3,68271.3,93916.0,0,552E1006749DFBCA88AA57FA680ED9F2,58.7,0,5490796.0
41,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_49C70CEE5E,Frontend Developer (Angular),True,no_application_form,,27754.7,27691.0,69533.2,97287.9,9,1F111A17CCA94F5FCBDE5C3D5FD7ED63,63.3,0,23752220.0
42,Brack,['Brack'],,,Brack_gen_e9539f58830f,Senior Software Engineer,True,form_processed,,11494.5,11436.1,75363.3,86857.7,8,B94CB8C728E450B8258C19EA6A9D7B7F,57.4,0,4404280.0
43,ti&m,['ti&m'],,,TiM_dad56f23-70a7-49c9-8b73-5b69ff18d9c5,Praktikum Java/Kotlin,True,workflow_failed,,41163.6,41096.3,75365.3,116528.8,5,27EFE877D9FC006F1BDD42EDF79FB97F,66.6,0,2425884.0
44,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17244,Test Analyst,True,no_application_form,,26446.0,26378.4,81761.3,108207.3,6,1365B95E511D392D9B299E11F8861405,66.9,0,4774392.0
45,Salesforce,['Salesforce'],,,Salesforce_JR349194,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,75.8,3.7,85351.2,85427.0,2,68B88C623BF05FD98C611C86642BD784,71.7,0,
46,Salesforce,['Salesforce'],,,Salesforce_JR349201,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,77.5,3.1,85428.1,85505.6,2,68B88C623BF05FD98C611C86642BD784,74.0,0,
47,Salesforce,['Salesforce'],,,Salesforce_JR349191,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,78.5,3.8,85506.9,85585.4,2,68B88C623BF05FD98C611C86642BD784,74.0,0,
48,Salesforce,['Salesforce'],,,Salesforce_JR349988-1,Senior Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,77.1,4.9,85586.6,85663.8,2,68B88C623BF05FD98C611C86642BD784,71.8,0,
49,Eraneos,['Eraneos'],,,Eraneos_JR100288,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,61.5,4.4,85665.2,85726.6,2,68B88C623BF05FD98C611C86642BD784,56.6,0,
50,Eraneos,['Eraneos'],,,Eraneos_JR100287,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,61.1,4.2,85728.3,85789.5,2,68B88C623BF05FD98C611C86642BD784,56.0,0,
51,BCG,['BCG'],,,BCG_794,"AI Tech Consultant (all genders) - BCG Platinion Zurich, Switzerland",True,workflow_failed,,25154.9,25095.4,85790.5,110945.5,2,68B88C623BF05FD98C611C86642BD784,59.0,0,1826316.0
