rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,workflow_failed,,62865.5,62629.4,0.2,62865.7,0,A2EB56C32A635677D4356E79138739F9,56.1,0,3456788.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,workflow_failed,,65063.9,64814.2,0.5,65064.4,1,AC7F65E7E2DF6DEC994FBAC422E8AAFA,57.2,0,3459904.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,workflow_failed,,27607.7,27353.3,0.8,27608.4,2,B4D73437765AD8EC73DCD6C2C177E233,64.4,0,2058504.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,2512.2,2261.9,1.0,2513.2,3,228F8DB21DF40AFDEF94C9FC2F82374D,67.0,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,35239.7,34991.4,1.2,35240.9,4,2CD83FBED48438FCF26D822BCE8864DD,53.4,0,11434532.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,workflow_failed,,27607.2,27345.9,1.4,27608.6,5,5AFCB1B29A79EAEC0B8E8269AD2DB71E,68.1,0,1684136.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,workflow_failed,,27621.9,27378.5,1.6,27623.5,6,0F0861888403EB1B54E804CEC287C571,59.7,0,2024644.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,workflow_failed,,27590.8,27345.9,1.8,27592.6,7,66A7F3D9EC73C4CA819230F70BCA81D5,60.2,0,2024872.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,workflow_failed,,27638.2,27386.1,2.1,27640.2,8,E4074BFDD6C5B29ED15E4BE91E01BD0C,62.4,0,2024872.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,2557.0,2305.6,2.3,2559.3,9,34187E87E550749CE4E6CEB2E71B6E21,64.7,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,workflow_failed,,62146.8,62086.3,2514.4,64661.2,3,228F8DB21DF40AFDEF94C9FC2F82374D,59.7,0,922168.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,60.9,1.7,2560.3,2621.3,9,34187E87E550749CE4E6CEB2E71B6E21,58.8,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.0,2.5,2622.2,2683.2,9,34187E87E550749CE4E6CEB2E71B6E21,58.1,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.3,2.6,2684.0,2745.3,9,34187E87E550749CE4E6CEB2E71B6E21,58.3,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,25128.2,25063.7,2746.5,27874.6,9,34187E87E550749CE4E6CEB2E71B6E21,64.0,0,1880224.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,workflow_failed,,25106.7,25036.8,27593.4,52700.2,7,66A7F3D9EC73C4CA819230F70BCA81D5,69.4,0,890132.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,skipped_by_skill,declared_mode_account,77.2,2.9,27609.8,27686.9,2,B4D73437765AD8EC73DCD6C2C177E233,73.6,0,
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,workflow_failed,,25105.1,25036.8,27610.4,52715.5,5,5AFCB1B29A79EAEC0B8E8269AD2DB71E,66.8,0,894684.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,workflow_failed,,50085.2,50029.2,27624.7,77709.9,6,0F0861888403EB1B54E804CEC287C571,55.5,0,1539224.0
