company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,25074.3,25074.3,25074.3,25074.3,25074.3,25074.3,"{""workflow_failed"": 1}"
Advertima Vision,1,1,15895.1,15895.0,15895.1,15895.1,15895.1,15895.1,"{""form_processed"": 1}"
aity AG,2,2,55574.6,36211.6,27787.3,27787.3,36211.6,36211.6,"{""form_processed"": 2}"
Alohi,1,1,41188.4,41188.4,41188.4,41188.4,41188.4,41188.4,"{""no_application_form"": 1}"
Ansam Group,2,2,139.3,187688.8,69.7,69.7,77.2,77.2,"{""skipped_by_skill"": 2}"
ANYbotics,1,1,41174.6,41174.6,41174.6,41174.6,41174.6,41174.6,"{""workflow_failed"": 1}"
Arina,1,1,42083.3,42083.3,42083.3,42083.3,42083.3,42083.3,"{""no_application_form"": 1}"
AutoForm,2,2,50768.3,34002.4,25384.2,25384.2,25640.6,25640.6,"{""workflow_failed"": 2}"
Baker Hughes,1,1,61.7,61.6,61.7,61.7,61.7,61.7,"{""skipped_by_metadata"": 1}"
BCG,4,4,100522.0,40761.7,25130.5,25141.1,25157.5,25157.5,"{""workflow_failed"": 4}"
BKW,1,1,40309.1,40309.1,40309.1,40309.1,40309.1,40309.1,"{""workflow_failed"": 1}"
Brack,1,1,25139.7,25139.6,25139.7,25139.7,25139.7,25139.7,"{""workflow_failed"": 1}"
BS-Team,3,3,75236.0,121514.4,25078.7,25074.4,25089.5,25089.5,"{""workflow_failed"": 3}"
Bundesverwaltung,4,4,157125.7,245562.3,39281.4,35825.1,60347.4,60347.4,"{""workflow_failed"": 4}"
Crypto Finance AG,2,2,33115.5,42575.9,16557.8,16557.8,22716.0,22716.0,"{""no_application_form"": 2}"
CSS,2,2,62604.6,100061.6,31302.3,31302.3,34996.9,34996.9,"{""workflow_failed"": 2}"
DeepJudge,1,1,50085.2,50085.2,50085.2,50085.2,50085.2,50085.2,"{""workflow_failed"": 1}"
Destinus,1,1,6175.0,6175.0,6175.0,6175.0,6175.0,6175.0,"{""no_application_form"": 1}"
Digital Wave Finance AG,1,1,25094.4,25094.4,25094.4,25094.4,25094.4,25094.4,"{""workflow_failed"": 1}"
EPAM,1,1,25118.3,25118.4,25118.3,25118.3,25118.3,25118.3,"{""workflow_failed"": 1}"
Eraneos,5,5,310.4,41075.4,62.1,62.3,62.9,62.9,"{""skipped_by_metadata"": 5}"
Expleo,2,2,2573.1,2620.3,1286.5,1286.5,2512.2,2512.2,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,25080.9,25080.8,25080.9,25080.9,25080.9,25080.9,"{""workflow_failed"": 1}"
finnova,2,2,48279.8,63060.1,24139.9,24139.9,27002.0,27002.0,"{""form_processed"": 1, ""workflow_failed"": 1}"
Harmattan AI,1,1,44590.1,44590.0,44590.1,44590.1,44590.1,44590.1,"{""no_application_form"": 1}"
Hoshii AG,1,1,43571.8,43571.8,43571.8,43571.8,43571.8,43571.8,"{""no_application_form"": 1}"
Julius Bär,2,2,123.2,129768.5,61.6,61.6,61.9,61.9,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,24037.6,24037.5,24037.6,24037.6,24037.6,24037.6,"{""form_processed"": 1}"
Kanton Luzern,3,3,169061.0,68772.5,56353.7,62865.5,65063.9,65063.9,"{""workflow_failed"": 3}"
Meier Tobler,1,1,25072.3,25072.2,25072.3,25072.3,25072.3,25072.3,"{""workflow_failed"": 1}"
Mettler Toledo,1,1,35264.3,35264.3,35264.3,35264.3,35264.3,35264.3,"{""no_application_form"": 1}"
Microservice Solutions,1,1,25085.3,25085.3,25085.3,25085.3,25085.3,25085.3,"{""workflow_failed"": 1}"
Microsoft,1,1,25090.4,25090.3,25090.4,25090.4,25090.4,25090.4,"{""workflow_failed"": 1}"
Mimic,2,2,50200.0,171794.4,25100.0,25100.0,25106.7,25106.7,"{""workflow_failed"": 2}"
Monolithic Power Systems,1,1,59.5,59.5,59.5,59.5,59.5,59.5,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,57116.1,48609.4,28558.0,28558.0,30309.1,30309.1,"{""no_application_form"": 2}"
NVIDIA,1,1,27607.2,27607.2,27607.2,27607.2,27607.2,27607.2,"{""workflow_failed"": 1}"
NZZ,1,1,25081.0,25080.9,25081.0,25081.0,25081.0,25081.0,"{""workflow_failed"": 1}"
ONLU AG,1,1,40882.0,40882.1,40882.0,40882.0,40882.0,40882.0,"{""workflow_failed"": 1}"
Pax,1,1,25153.1,25153.1,25153.1,25153.1,25153.1,25153.1,"{""workflow_failed"": 1}"
Richemont,1,1,26081.8,26081.8,26081.8,26081.8,26081.8,26081.8,"{""no_application_form"": 1}"
Rivia,1,1,25082.5,25082.5,25082.5,25082.5,25082.5,25082.5,"{""workflow_failed"": 1}"
Roche,1,1,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,"{""skipped_by_metadata"": 1}"
RUAG,5,5,132993.5,160658.1,26598.7,27590.8,27638.2,27638.2,"{""workflow_failed"": 5}"
Salesforce,7,7,430.1,100575.4,61.4,61.6,62.1,62.1,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,66200.0,107712.5,33100.0,33100.0,41110.3,41110.3,"{""workflow_failed"": 2}"
Thomson Reuters,1,1,60.3,60.3,60.3,60.3,60.3,60.3,"{""skipped_by_metadata"": 1}"
ti&m,8,8,212541.9,119313.7,26567.7,25137.7,36642.4,36642.4,"{""workflow_failed"": 8}"
Universitätsspital Zürich,1,1,24130.3,24130.3,24130.3,24130.3,24130.3,24130.3,"{""generic_form"": 1}"
Vaudoise,2,2,126343.3,96986.1,63171.7,63171.7,64196.5,64196.5,"{""workflow_failed"": 2}"
vlot,1,1,35239.7,35239.7,35239.7,35239.7,35239.7,35239.7,"{""no_application_form"": 1}"
Wavestone,2,2,75719.3,85870.6,37859.6,37859.6,50614.2,50614.2,"{""workflow_failed"": 2}"
Zürcher Kantonalbank,4,4,90342.3,130330.8,22585.6,22093.8,34303.3,34303.3,"{""form_processed"": 3, ""workflow_failed"": 1}"
