rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,10728.3,10481.8,0.2,10728.6,0,C74A8025255304A52A6F9557E1FE7E19,60.2,0,4927296.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,10850.8,10600.1,0.5,10851.3,1,2C3C7FA8E634E29846C7928A1E5F3D4B,68.1,0,5101384.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,19114.3,18844.9,0.8,19115.2,2,184E32F1F195780C10A86262008FC89D,74.7,0,7113564.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,2611.8,2342.7,1.1,2612.8,3,AADD861565E1A87D0AE78F9498498D22,71.2,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,17614.7,17350.5,1.3,17615.9,4,75F6F2313130A11406160F4FF9E76885,68.5,0,51021676.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,19674.8,19388.7,1.5,19676.3,5,5E8A73AF77EFFD955DD2667553779967,86.5,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,24003.7,23751.3,1.7,24005.4,6,AB136B044959218BB4DB50353F7A666E,68.8,0,11311144.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,20503.4,20240.1,1.9,20505.3,7,065DBE044EBA8E26B678CC177352B748,73.1,0,11275980.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,18271.9,18020.5,2.1,18274.0,8,4C6971EEE51258AF0B8DB2E8C9B2F0A7,63.8,0,11272372.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,2625.9,2369.5,2.4,2628.2,9,8A85B83F59BE3298B673879919BBCBA3,64.8,0,
