company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,7359.0,7359.0,7359.0,7359.0,7359.0,7359.0,"{""form_processed"": 1}"
Advertima Vision,1,1,5034.7,5034.6,5034.7,5034.7,5034.7,5034.7,"{""form_processed"": 1}"
aity AG,2,2,40316.3,39658.6,20158.2,20158.2,31882.6,31882.6,"{""form_processed"": 1, ""workflow_failed"": 1}"
Alohi,1,1,2717.7,2717.7,2717.7,2717.7,2717.7,2717.7,"{""form_processed"": 1}"
Ansam Group,2,2,123.7,76290.2,61.9,61.9,62.2,62.2,"{""skipped_by_skill"": 2}"
ANYbotics,1,1,5038.3,5038.3,5038.3,5038.3,5038.3,5038.3,"{""form_processed"": 1}"
Arina,1,1,7242.9,7242.9,7242.9,7242.9,7242.9,7242.9,"{""no_application_form"": 1}"
AutoForm,2,2,10249.5,5458.8,5124.8,5124.8,5458.6,5458.6,"{""form_processed"": 2}"
Baker Hughes,1,1,60.4,60.5,60.4,60.4,60.4,60.4,"{""skipped_by_metadata"": 1}"
BCG,4,4,218193.9,68652.3,54548.5,54673.4,68652.3,68652.3,"{""workflow_failed"": 4}"
BKW,1,1,49935.0,49934.9,49935.0,49935.0,49935.0,49935.0,"{""workflow_failed"": 1}"
Brack,1,1,7261.4,7261.3,7261.4,7261.4,7261.4,7261.4,"{""form_processed"": 1}"
BS-Team,3,3,19703.6,36868.4,6567.9,3715.2,12367.6,12367.6,"{""form_processed"": 3}"
Bundesverwaltung,4,4,84213.2,147218.5,21053.3,15747.2,48146.9,48146.9,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,9688.5,14989.0,4844.2,4844.2,4851.4,4851.4,"{""form_processed"": 2}"
CSS,2,2,26561.0,31452.6,13280.5,13280.5,19114.3,19114.3,"{""form_processed"": 2}"
DeepJudge,1,1,2910.9,2910.9,2910.9,2910.9,2910.9,2910.9,"{""form_processed"": 1}"
Destinus,1,1,7401.4,7401.4,7401.4,7401.4,7401.4,7401.4,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,6324.6,6324.5,6324.6,6324.6,6324.6,6324.6,"{""form_processed"": 1}"
EPAM,1,1,12525.7,12525.7,12525.7,12525.7,12525.7,12525.7,"{""form_processed"": 1}"
Eraneos,5,5,305.2,19670.7,61.0,60.9,61.9,61.9,"{""skipped_by_metadata"": 5}"
Expleo,2,2,2673.4,2689.6,1336.7,1336.7,2611.8,2611.8,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,1998.3,1998.3,1998.3,1998.3,1998.3,1998.3,"{""form_processed"": 1}"
finnova,2,2,31255.9,51857.1,15628.0,15628.0,22651.0,22651.0,"{""no_application_form"": 2}"
Harmattan AI,1,1,1619.3,1619.3,1619.3,1619.3,1619.3,1619.3,"{""form_processed"": 1}"
Hoshii AG,1,1,9741.2,9741.1,9741.2,9741.2,9741.2,9741.2,"{""no_application_form"": 1}"
Julius Bär,2,2,120.5,43345.7,60.2,60.2,61.5,61.5,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,26119.0,26119.0,26119.0,26119.0,26119.0,26119.0,"{""form_processed"": 1}"
Kanton Luzern,3,3,24165.8,17267.7,8055.3,10728.3,10850.8,10850.8,"{""form_processed"": 3}"
Meier Tobler,1,1,11930.5,11930.5,11930.5,11930.5,11930.5,11930.5,"{""no_application_form"": 1}"
Mettler Toledo,1,1,25985.7,25985.7,25985.7,25985.7,25985.7,25985.7,"{""no_application_form"": 1}"
Microservice Solutions,1,1,10921.4,10921.5,10921.4,10921.4,10921.4,10921.4,"{""no_application_form"": 1}"
Microsoft,1,1,15979.3,15979.3,15979.3,15979.3,15979.3,15979.3,"{""no_application_form"": 1}"
Mimic,2,2,16433.8,56842.7,8216.9,8216.9,10700.0,10700.0,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,74.7,74.7,74.7,74.7,74.7,74.7,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,78288.4,44594.1,39144.2,39144.2,40442.4,40442.4,"{""workflow_failed"": 2}"
NVIDIA,1,1,19674.8,19674.8,19674.8,19674.8,19674.8,19674.8,"{""no_application_form"": 1}"
NZZ,1,1,8211.7,8211.7,8211.7,8211.7,8211.7,8211.7,"{""form_processed"": 1}"
ONLU AG,1,1,2183.5,2183.6,2183.5,2183.5,2183.5,2183.5,"{""form_processed"": 1}"
Pax,1,1,6184.0,6184.0,6184.0,6184.0,6184.0,6184.0,"{""form_processed"": 1}"
