rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,21874.3,21598.5,0.2,21874.5,0,AF35CC426F1B98FBD331C4AE26513437,64.6,0,6452720.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,21299.6,21028.7,0.7,21300.3,1,BD0E1188B188454A05DD03326969D4A2,67.0,0,6506440.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,16655.0,16383.6,1.1,16656.0,2,BE02E88CD45AC791AFC32769EFDC8205,59.7,0,7866864.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,5219.1,4952.0,1.3,5220.4,3,80204694358F4A2848DC9A924CE9228E,63.1,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,29401.6,29128.4,1.6,29403.2,4,07ECC821DD428BA9E7BF861F6A934570,64.9,0,37554508.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,31661.7,31369.6,1.9,31663.6,5,8769BF761966DCAB32141973012B512A,81.9,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,15860.4,15582.2,2.1,15862.5,6,3DB8F7397474DA75544504041E33500A,67.0,0,5830256.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,15453.9,15177.3,2.3,15456.2,7,07790B5F150DCF89BE181DF6AC4FD3A4,64.7,0,5487996.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,16497.0,16227.2,2.5,16499.5,8,64C3B32D9177E6E66D79D041877FF045,64.5,0,5488008.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,5233.6,4953.6,2.8,5236.4,9,BC7ADE8BAFECA2B0491E37784C95CDA6,69.1,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,14490.2,14425.8,5221.7,19711.9,3,80204694358F4A2848DC9A924CE9228E,64.0,0,10996036.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,60.6,2.4,5237.4,5298.0,9,BC7ADE8BAFECA2B0491E37784C95CDA6,57.8,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.1,2.4,5299.0,5360.1,9,BC7ADE8BAFECA2B0491E37784C95CDA6,58.3,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.9,2.4,5361.3,5423.2,9,BC7ADE8BAFECA2B0491E37784C95CDA6,59.2,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,28688.9,28625.2,5424.0,34112.9,9,BC7ADE8BAFECA2B0491E37784C95CDA6,62.7,0,10627628.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,18247.8,18181.1,15457.7,33705.5,7,07790B5F150DCF89BE181DF6AC4FD3A4,66.3,0,51412568.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,skipped_by_skill,declared_mode_account,59.8,2.0,15863.7,15923.5,6,3DB8F7397474DA75544504041E33500A,57.3,0,
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,workflow_failed,,23922.3,23864.9,15924.6,39846.9,6,3DB8F7397474DA75544504041E33500A,56.9,0,21328680.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,5841.2,5780.1,16500.9,22342.1,8,64C3B32D9177E6E66D79D041877FF045,60.5,0,14274232.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,5653.2,5587.2,16657.4,22310.6,2,BE02E88CD45AC791AFC32769EFDC8205,65.4,0,5743184.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,25316.9,25259.5,19713.4,45030.3,3,80204694358F4A2848DC9A924CE9228E,56.9,0,35707776.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,5650.8,5597.3,21301.8,26952.6,1,BD0E1188B188454A05DD03326969D4A2,52.7,0,8965872.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,60.0,2.9,21876.2,21936.3,0,AF35CC426F1B98FBD331C4AE26513437,56.6,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,5792.6,5733.0,21937.3,27729.9,0,AF35CC426F1B98FBD331C4AE26513437,59.1,0,5956680.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,form_processed,,6996.7,6929.3,22312.0,29308.6,2,BE02E88CD45AC791AFC32769EFDC8205,66.9,0,20628308.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,9326.7,9266.7,22343.4,31670.0,8,64C3B32D9177E6E66D79D041877FF045,59.5,0,72173612.0
