company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,77.9,77.9,77.9,77.9,77.9,77.9,"{""workflow_failed"": 1}"
Advertima Vision,1,1,4035.5,4035.5,4035.5,4035.5,4035.5,4035.5,"{""form_processed"": 1}"
aity AG,2,2,168.3,5354.9,84.2,84.2,91.3,91.3,"{""workflow_failed"": 2}"
Alohi,1,1,92.0,91.9,92.0,92.0,92.0,92.0,"{""workflow_failed"": 1}"
Ansam Group,2,2,134.1,40856.5,67.0,67.0,74.3,74.3,"{""skipped_by_skill"": 2}"
ANYbotics,1,1,91.6,91.6,91.6,91.6,91.6,91.6,"{""workflow_failed"": 1}"
Arina,1,1,9798.0,9798.0,9798.0,9798.0,9798.0,9798.0,"{""no_application_form"": 1}"
AutoForm,2,2,5998.3,3986.2,2999.2,2999.2,3986.3,3986.3,"{""workflow_failed"": 2}"
Baker Hughes,1,1,60.5,60.5,60.5,60.5,60.5,60.5,"{""skipped_by_metadata"": 1}"
BCG,4,4,104811.3,30459.7,26202.8,26210.3,26233.7,26233.7,"{""no_application_form"": 4}"
BKW,1,1,107.8,107.8,107.8,107.8,107.8,107.8,"{""workflow_failed"": 1}"
Brack,1,1,76.4,76.4,76.4,76.4,76.4,76.4,"{""workflow_failed"": 1}"
BS-Team,3,3,27811.0,23379.6,9270.3,4694.1,19078.3,19078.3,"{""form_processed"": 3}"
Bundesverwaltung,4,4,51758.8,57385.5,12939.7,8922.4,28688.9,28688.9,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,169.9,5147.9,84.9,84.9,93.6,93.6,"{""workflow_failed"": 2}"
CSS,2,2,19955.6,34964.2,9977.8,9977.8,16655.0,16655.0,"{""form_processed"": 1, ""workflow_failed"": 1}"
DeepJudge,1,1,5841.2,5841.2,5841.2,5841.2,5841.2,5841.2,"{""form_processed"": 1}"
Destinus,1,1,75.5,75.5,75.5,75.5,75.5,75.5,"{""workflow_failed"": 1}"
Digital Wave Finance AG,1,1,76.4,76.4,76.4,76.4,76.4,76.4,"{""workflow_failed"": 1}"
EPAM,1,1,6996.7,6996.6,6996.7,6996.7,6996.7,6996.7,"{""form_processed"": 1}"
Eraneos,5,5,303.2,10766.6,60.6,60.7,61.6,61.6,"{""skipped_by_metadata"": 5}"
Expleo,2,2,5279.7,5296.7,2639.9,2639.9,5219.1,5219.1,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,6320.8,6320.8,6320.8,6320.8,6320.8,6320.8,"{""form_processed"": 1}"
finnova,2,2,152.0,1894.1,76.0,76.0,77.0,77.0,"{""workflow_failed"": 2}"
Harmattan AI,1,1,92.2,92.2,92.2,92.2,92.2,92.2,"{""workflow_failed"": 1}"
Hoshii AG,1,1,9326.7,9326.6,9326.7,9326.7,9326.7,9326.7,"{""no_application_form"": 1}"
Julius Bär,2,2,135.8,28628.9,67.9,67.9,75.8,75.8,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,93.8,93.7,93.8,93.8,93.8,93.8,"{""workflow_failed"": 1}"
Kanton Luzern,3,3,48827.1,22310.4,16275.7,21299.6,21874.3,21874.3,"{""form_processed"": 3}"
Meier Tobler,1,1,76.4,76.4,76.4,76.4,76.4,76.4,"{""workflow_failed"": 1}"
Mettler Toledo,1,1,20831.9,20832.0,20831.9,20831.9,20831.9,20831.9,"{""no_application_form"": 1}"
Microservice Solutions,1,1,20280.5,20280.5,20280.5,20280.5,20280.5,20280.5,"{""no_application_form"": 1}"
Microsoft,1,1,25316.9,25316.9,25316.9,25316.9,25316.9,25316.9,"{""no_application_form"": 1}"
Mimic,2,2,23398.3,40230.2,11699.1,11699.1,18247.8,18247.8,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,61.2,61.2,61.2,61.2,61.2,61.2,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,80243.3,44992.3,40121.6,40121.6,40124.1,40124.1,"{""workflow_failed"": 2}"
NVIDIA,1,1,31661.7,31661.7,31661.7,31661.7,31661.7,31661.7,"{""no_application_form"": 1}"
NZZ,1,1,94.2,94.2,94.2,94.2,94.2,94.2,"{""workflow_failed"": 1}"
ONLU AG,1,1,7513.4,7513.4,7513.4,7513.4,7513.4,7513.4,"{""form_processed"": 1}"
Pax,1,1,93.5,93.5,93.5,93.5,93.5,93.5,"{""workflow_failed"": 1}"
Richemont,1,1,6973.3,6973.3,6973.3,6973.3,6973.3,6973.3,"{""no_application_form"": 1}"
Rivia,1,1,5498.3,5498.3,5498.3,5498.3,5498.3,5498.3,"{""workflow_failed"": 1}"
Roche,1,1,5233.6,5233.6,5233.6,5233.6,5233.6,5233.6,"{""skipped_by_metadata"": 1}"
RUAG,5,5,47980.4,40423.5,9596.1,15453.9,16497.0,16497.0,"{""form_processed"": 3, ""workflow_failed"": 2}"
Salesforce,7,7,431.1,30151.9,61.6,61.7,62.7,62.7,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,5727.0,13756.6,2863.5,2863.5,5650.8,5650.8,"{""form_processed"": 1, ""workflow_failed"": 1}"
Thomson Reuters,1,1,62.8,62.8,62.8,62.8,62.8,62.8,"{""skipped_by_metadata"": 1}"
ti&m,8,8,652.9,21130.9,81.6,77.8,94.0,94.0,"{""workflow_failed"": 8}"
Universitätsspital Zürich,1,1,12068.2,12068.2,12068.2,12068.2,12068.2,12068.2,"{""workflow_failed"": 1}"
Vaudoise,2,2,20282.8,22508.2,10141.4,10141.4,14490.2,14490.2,"{""form_processed"": 2}"
vlot,1,1,29401.6,29401.6,29401.6,29401.6,29401.6,29401.6,"{""no_application_form"": 1}"
