company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,12554.4,12554.4,12554.4,12554.4,12554.4,12554.4,"{""form_processed"": 1}"
Advertima Vision,1,1,3286.8,3286.7,3286.8,3286.8,3286.8,3286.8,"{""form_processed"": 1}"
aity AG,2,2,12264.8,12375.4,6132.4,6132.4,7554.0,7554.0,"{""form_processed"": 2}"
Alohi,1,1,1948.8,1948.8,1948.8,1948.8,1948.8,1948.8,"{""form_processed"": 1}"
Ansam Group,2,2,8788.0,88456.3,4394.0,4394.0,7452.5,7452.5,"{""authentication_required"": 2}"
ANYbotics,1,1,6013.5,6013.5,6013.5,6013.5,6013.5,6013.5,"{""form_processed"": 1}"
Arina,1,1,7877.9,7877.9,7877.9,7877.9,7877.9,7877.9,"{""no_application_form"": 1}"
AutoForm,2,2,21543.3,10958.7,10771.6,10771.6,10958.8,10958.8,"{""form_processed"": 2}"
Baker Hughes,1,1,61.1,61.1,61.1,61.1,61.1,61.1,"{""skipped_by_metadata"": 1}"
BCG,4,4,112218.9,28626.1,28054.7,28316.2,28611.1,28611.1,"{""no_application_form"": 4}"
BKW,1,1,13915.7,13915.6,13915.7,13915.7,13915.7,13915.7,"{""form_processed"": 1}"
Brack,1,1,12592.5,12592.5,12592.5,12592.5,12592.5,12592.5,"{""form_processed"": 1}"
BS-Team,3,3,33938.1,51637.4,11312.7,5206.2,25300.7,25300.7,"{""form_processed"": 3}"
Bundesverwaltung,4,4,78190.1,104701.9,19547.5,21854.4,28164.7,28164.7,"{""authentication_required"": 2, ""workflow_failed"": 2}"
Crypto Finance AG,2,2,12250.7,18930.4,6125.4,6125.4,7553.0,7553.0,"{""form_processed"": 2}"
CSS,2,2,38109.8,44662.9,19054.9,19054.9,23793.9,23793.9,"{""form_processed"": 2}"
DeepJudge,1,1,4317.6,4317.6,4317.6,4317.6,4317.6,4317.6,"{""form_processed"": 1}"
Destinus,1,1,5412.5,5412.4,5412.5,5412.5,5412.5,5412.5,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,13116.6,13116.6,13116.6,13116.6,13116.6,13116.6,"{""form_processed"": 1}"
EPAM,1,1,29281.4,29281.4,29281.4,29281.4,29281.4,29281.4,"{""form_processed"": 1}"
Eraneos,5,5,336.7,21626.5,67.3,61.4,77.2,77.2,"{""skipped_by_metadata"": 5}"
Expleo,2,2,323.1,325.2,161.6,161.6,263.0,263.0,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,7492.4,7492.4,7492.4,7492.4,7492.4,7492.4,"{""form_processed"": 1}"
