rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,9119.3,8859.2,0.2,9119.6,0,FC41A41CDFE33E27A9FB2EDBD241E0A7,67.5,0,4821456.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,9211.5,8956.1,0.5,9212.0,1,2C41DAC80BD9B57265D9172B047E1E29,54.8,0,4812572.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,24009.0,23736.7,0.8,24009.9,2,73D46E00BE77D27C8C828AD335142BCC,68.7,0,7001728.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,278.7,0.0,1.0,279.7,3,39DB770302D02FBB7C2D8A1DDEEBA677,70.9,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,18402.4,18132.4,1.3,18403.7,4,ED5467CC8BC2FB4C79807FB35B0A0225,68.0,0,36595488.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,27928.4,27628.9,1.6,27930.0,5,8C45AD34FDD2209710888177A7EFA9D9,92.8,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,22477.8,22213.0,1.9,22479.7,6,676A63B9EFA65B90A04837AC3EAB37D6,62.8,0,11366004.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,19682.5,19412.6,2.1,19684.7,7,CC1B976B39E0AE2EE560B6C530812996,62.6,0,10539356.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,16787.6,16532.0,2.5,16790.1,8,4464AF163433085C74D9BADA6FDA9C8A,61.3,0,11250664.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,277.1,0.0,2.8,279.9,9,A48AD1F7D591D064F110B2EFA0CFAE75,69.7,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,10539.6,10485.6,280.9,10820.6,3,39DB770302D02FBB7C2D8A1DDEEBA677,53.2,0,4283248.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,62.3,0.0,281.6,343.9,9,A48AD1F7D591D064F110B2EFA0CFAE75,61.6,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,63.0,0.0,344.9,408.0,9,A48AD1F7D591D064F110B2EFA0CFAE75,62.6,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,62.1,0.0,408.9,471.0,9,A48AD1F7D591D064F110B2EFA0CFAE75,61.7,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,25298.2,25242.0,472.0,25770.3,9,A48AD1F7D591D064F110B2EFA0CFAE75,55.6,0,3985824.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,21313.2,21246.8,9120.8,30434.0,0,FC41A41CDFE33E27A9FB2EDBD241E0A7,66.1,0,42713760.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,7778.9,7724.8,9213.1,16992.0,1,2C41DAC80BD9B57265D9172B047E1E29,53.8,0,11691628.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,22108.2,22041.4,10821.7,32929.8,3,39DB770302D02FBB7C2D8A1DDEEBA677,66.4,0,19367996.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,6419.8,6352.7,16791.3,23211.1,8,4464AF163433085C74D9BADA6FDA9C8A,66.8,0,14316968.0
