rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,6767.5,6360.6,0.3,6767.8,0,C7D53C0613BFF15EBA98FE2355324C45,210.5,0,5483932.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,6814.0,6389.1,0.6,6814.6,1,060FFB80B6AE895757433D6239EAFAEF,209.4,0,5481744.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,15861.0,15443.5,1.0,15862.0,2,0AEEE9A6531CBEB879643547E845455F,209.6,0,4882932.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,416.0,0.0,1.3,417.3,3,A9C2CEFA3F4EE26957DB1EB62DE61477,213.2,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,15921.6,15501.0,1.6,15923.2,4,7F630F394978035A01FAE11046F95DC6,208.1,0,35240272.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,16583.2,16156.8,1.9,16585.1,5,4386B860BC514A44D4627676E733BCFA,215.6,0,38149528.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,18296.8,17879.0,2.1,18299.0,6,4C071FDE7203DA94AB54FCA0BCE57777,206.7,0,11278240.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,14528.3,14103.3,2.4,14530.7,7,93BA28C654D721AC4910E409F2F56E9A,212.8,0,11327812.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,14620.4,14192.4,2.6,14623.0,8,2AE5952E2BADF02D66FCCA48009EA96B,215.4,0,11313672.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,414.2,0.0,2.9,417.1,9,34546A7A5C331682B54A8818749AEC91,205.6,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,8692.7,8493.8,418.2,9110.9,9,34546A7A5C331682B54A8818749AEC91,198.0,0,5334088.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,218.2,0.0,418.9,637.1,3,A9C2CEFA3F4EE26957DB1EB62DE61477,217.6,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,215.2,0.0,638.0,853.1,3,A9C2CEFA3F4EE26957DB1EB62DE61477,214.7,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,218.2,0.0,854.3,1072.5,3,A9C2CEFA3F4EE26957DB1EB62DE61477,217.8,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,authentication_required,,24639.5,24420.6,1073.4,25712.9,3,A9C2CEFA3F4EE26957DB1EB62DE61477,218.6,0,16625260.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,13372.1,13172.7,6769.0,20141.2,0,C7D53C0613BFF15EBA98FE2355324C45,199.0,0,46322052.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,5599.7,5409.6,6815.9,12415.7,1,060FFB80B6AE895757433D6239EAFAEF,189.7,0,11343860.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,8873.9,8664.5,9112.7,17986.6,9,34546A7A5C331682B54A8818749AEC91,208.8,0,1701044.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,4692.1,4475.4,12416.9,17109.0,1,060FFB80B6AE895757433D6239EAFAEF,216.2,0,14365700.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,4326.2,4122.9,14531.9,18858.1,7,93BA28C654D721AC4910E409F2F56E9A,202.9,0,4237712.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,12428.1,12213.4,14624.8,27052.8,8,2AE5952E2BADF02D66FCCA48009EA96B,214.2,0,32402960.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,4118.5,3910.1,15864.0,19982.5,2,0AEEE9A6531CBEB879643547E845455F,207.6,0,8860156.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,214.3,0.0,15924.5,16138.8,4,7F630F394978035A01FAE11046F95DC6,213.7,0,
