company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,12747.5,12747.5,12747.5,12747.5,12747.5,12747.5,"{""form_processed"": 1}"
Advertima Vision,1,1,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,"{""form_processed"": 1}"
aity AG,2,2,21082.2,15052.8,10541.1,10541.1,14489.7,14489.7,"{""form_processed"": 2}"
Alohi,1,1,6687.8,6687.9,6687.8,6687.8,6687.8,6687.8,"{""form_processed"": 1}"
Ansam Group,2,2,15774.1,84266.3,7887.1,7887.1,11034.1,11034.1,"{""authentication_required"": 2}"
ANYbotics,1,1,5447.5,5447.5,5447.5,5447.5,5447.5,5447.5,"{""form_processed"": 1}"
Arina,1,1,9784.0,9784.0,9784.0,9784.0,9784.0,9784.0,"{""no_application_form"": 1}"
AutoForm,2,2,17812.4,9631.9,8906.2,8906.2,9631.7,9631.7,"{""form_processed"": 2}"
Baker Hughes,1,1,199.9,199.9,199.9,199.9,199.9,199.9,"{""skipped_by_metadata"": 1}"
BCG,4,4,44706.0,13046.2,11176.5,11419.2,12966.6,12966.6,"{""no_application_form"": 4}"
BKW,1,1,29307.9,29307.8,29307.9,29307.9,29307.9,29307.9,"{""workflow_failed"": 1}"
Brack,1,1,10343.9,10343.9,10343.9,10343.9,10343.9,10343.9,"{""form_processed"": 1}"
BS-Team,3,3,37274.7,42824.3,12424.9,6218.5,25433.9,25433.9,"{""form_processed"": 3}"
Bundesverwaltung,4,4,69034.1,100568.6,17258.5,18574.1,23561.0,23561.0,"{""authentication_required"": 2, ""workflow_failed"": 2}"
Crypto Finance AG,2,2,14265.6,22809.8,7132.8,7132.8,7845.5,7845.5,"{""form_processed"": 2}"
CSS,2,2,30978.4,38917.5,15489.2,15489.2,20674.1,20674.1,"{""form_processed"": 2}"
DeepJudge,1,1,14913.3,14913.3,14913.3,14913.3,14913.3,14913.3,"{""form_processed"": 1}"
Destinus,1,1,8141.1,8141.0,8141.1,8141.1,8141.1,8141.1,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,10999.2,10999.2,10999.2,10999.2,10999.2,10999.2,"{""form_processed"": 1}"
EPAM,1,1,18571.1,18571.2,18571.1,18571.1,18571.1,18571.1,"{""form_processed"": 1}"
Eraneos,5,5,1044.0,15386.8,208.8,216.6,218.3,218.3,"{""skipped_by_metadata"": 5}"
Expleo,2,2,620.5,621.2,310.2,310.2,417.0,417.0,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,9507.9,9508.0,9507.9,9507.9,9507.9,9507.9,"{""form_processed"": 1}"
finnova,2,2,36303.1,36012.2,18151.5,18151.5,21038.3,21038.3,"{""no_application_form"": 2}"
Harmattan AI,1,1,4814.1,4814.2,4814.1,4814.1,4814.1,4814.1,"{""form_processed"": 1}"
Hoshii AG,1,1,21891.5,21891.5,21891.5,21891.5,21891.5,21891.5,"{""no_application_form"": 1}"
Julius Bär,2,2,435.6,46119.2,217.8,217.8,218.6,218.6,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,13372.0,13372.0,13372.0,13372.0,13372.0,13372.0,"{""form_processed"": 1}"
Kanton Luzern,3,3,27595.5,25906.9,9198.5,11174.6,11190.2,11190.2,"{""form_processed"": 3}"
Meier Tobler,1,1,26396.1,26396.1,26396.1,26396.1,26396.1,26396.1,"{""no_application_form"": 1}"
Mettler Toledo,1,1,22800.6,22800.5,22800.6,22800.6,22800.6,22800.6,"{""no_application_form"": 1}"
Microservice Solutions,1,1,17764.4,17764.5,17764.4,17764.4,17764.4,17764.4,"{""no_application_form"": 1}"
Microsoft,1,1,21688.0,21688.0,21688.0,21688.0,21688.0,21688.0,"{""no_application_form"": 1}"
Mimic,2,2,28041.7,69909.0,14020.8,14020.8,23929.3,23929.3,"{""no_application_form"": 2}"
Monolithic Power Systems,1,1,217.1,217.1,217.1,217.1,217.1,217.1,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,90404.7,85061.0,45202.3,45202.3,79276.9,79276.9,"{""no_application_form"": 1, ""workflow_failed"": 1}"
NVIDIA,1,1,24637.7,24637.7,24637.7,24637.7,24637.7,24637.7,"{""no_application_form"": 1}"
NZZ,1,1,12933.3,12933.3,12933.3,12933.3,12933.3,12933.3,"{""form_processed"": 1}"
ONLU AG,1,1,15610.7,15610.7,15610.7,15610.7,15610.7,15610.7,"{""form_processed"": 1}"
Pax,1,1,7040.2,7040.2,7040.2,7040.2,7040.2,7040.2,"{""form_processed"": 1}"
Richemont,1,1,20436.5,20436.5,20436.5,20436.5,20436.5,20436.5,"{""no_application_form"": 1}"
Rivia,1,1,6446.7,6446.8,6446.7,6446.7,6446.7,6446.7,"{""form_processed"": 1}"
Roche,1,1,399.5,399.5,399.5,399.5,399.5,399.5,"{""skipped_by_metadata"": 1}"
RUAG,5,5,86880.0,66010.0,17376.0,22766.1,23374.6,23374.6,"{""form_processed"": 5}"
Salesforce,7,7,1439.9,44702.1,205.7,204.1,217.4,217.4,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,13304.1,21487.6,6652.1,6652.1,8044.1,8044.1,"{""form_processed"": 2}"
Thomson Reuters,1,1,203.8,203.8,203.8,203.8,203.8,203.8,"{""skipped_by_metadata"": 1}"
ti&m,8,8,102512.4,50025.7,12814.0,11536.5,18313.6,18313.6,"{""no_application_form"": 8}"
Universitätsspital Zürich,1,1,11863.8,11863.8,11863.8,11863.8,11863.8,11863.8,"{""generic_form"": 1}"
Vaudoise,2,2,19061.4,27989.6,9530.7,9530.7,13843.6,13843.6,"{""form_processed"": 2}"
vlot,1,1,4680.9,4680.9,4680.9,4680.9,4680.9,4680.9,"{""no_application_form"": 1}"
Wavestone,2,2,19308.7,21110.9,9654.3,9654.3,12914.3,12914.3,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,23145.4,52434.6,5786.4,5319.1,8232.4,8232.4,"{""form_processed"": 4}"
