company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,6302.9,6302.9,6302.9,6302.9,6302.9,6302.9,"{""form_processed"": 1}"
Advertima Vision,1,1,2194.9,2194.9,2194.9,2194.9,2194.9,2194.9,"{""form_processed"": 1}"
aity AG,2,2,10058.6,8045.9,5029.3,5029.3,7221.7,7221.7,"{""form_processed"": 2}"
Alohi,1,1,2090.5,2090.4,2090.5,2090.5,2090.5,2090.5,"{""form_processed"": 1}"
Ansam Group,2,2,5364.7,51528.0,2682.3,2682.3,3743.0,3743.0,"{""authentication_required"": 2}"
ANYbotics,1,1,3524.7,3524.7,3524.7,3524.7,3524.7,3524.7,"{""form_processed"": 1}"
Arina,1,1,7909.6,7909.6,7909.6,7909.6,7909.6,7909.6,"{""no_application_form"": 1}"
AutoForm,2,2,6688.8,6124.4,3344.4,3344.4,4261.3,4261.3,"{""form_processed"": 2}"
Baker Hughes,1,1,217.8,217.8,217.8,217.8,217.8,217.8,"{""skipped_by_metadata"": 1}"
BCG,4,4,41254.2,10711.3,10313.5,10392.6,10696.1,10696.1,"{""no_application_form"": 4}"
BKW,1,1,8496.8,8496.9,8496.8,8496.8,8496.8,8496.8,"{""form_processed"": 1}"
Brack,1,1,11131.9,11131.9,11131.9,11131.9,11131.9,11131.9,"{""form_processed"": 1}"
BS-Team,3,3,17120.8,27809.2,5706.9,3987.9,9422.2,9422.2,"{""form_processed"": 3}"
Bundesverwaltung,4,4,37018.5,62620.5,9254.6,5383.9,21679.2,21679.2,"{""authentication_required"": 4}"
Crypto Finance AG,2,2,11646.9,17076.5,5823.4,5823.4,5847.9,5847.9,"{""form_processed"": 2}"
CSS,2,2,19163.2,24311.3,9581.6,9581.6,13096.2,13096.2,"{""form_processed"": 2}"
DeepJudge,1,1,3344.7,3344.7,3344.7,3344.7,3344.7,3344.7,"{""form_processed"": 1}"
Destinus,1,1,6427.2,6427.2,6427.2,6427.2,6427.2,6427.2,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,5656.9,5656.9,5656.9,5656.9,5656.9,5656.9,"{""form_processed"": 1}"
EPAM,1,1,10405.6,10405.6,10405.6,10405.6,10405.6,10405.6,"{""form_processed"": 1}"
Eraneos,5,5,1069.1,13440.6,213.8,216.0,217.9,217.9,"{""skipped_by_metadata"": 5}"
Expleo,2,2,603.1,619.9,301.6,301.6,398.8,398.8,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,5561.1,5561.1,5561.1,5561.1,5561.1,5561.1,"{""form_processed"": 1}"
finnova,2,2,12655.1,18736.0,6327.6,6327.6,6488.3,6488.3,"{""form_processed"": 2}"
Harmattan AI,1,1,1559.3,1559.4,1559.3,1559.3,1559.3,1559.3,"{""form_processed"": 1}"
Hoshii AG,1,1,10028.9,10028.9,10028.9,10028.9,10028.9,10028.9,"{""no_application_form"": 1}"
Julius Bär,2,2,422.5,30895.0,211.2,211.2,218.4,218.4,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,6882.2,6882.1,6882.2,6882.2,6882.2,6882.2,"{""form_processed"": 1}"
Kanton Luzern,3,3,18759.3,16416.5,6253.1,7436.3,7577.4,7577.4,"{""form_processed"": 3}"
Meier Tobler,1,1,12603.1,12603.1,12603.1,12603.1,12603.1,12603.1,"{""no_application_form"": 1}"
Mettler Toledo,1,1,14879.9,14879.9,14879.9,14879.9,14879.9,14879.9,"{""no_application_form"": 1}"
Microservice Solutions,1,1,12252.5,12252.6,12252.5,12252.5,12252.5,12252.5,"{""no_application_form"": 1}"
