rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,6419.8,6049.3,0.2,6420.0,0,DB46D956C457A4DE6D75031DE1B36356,189.0,0,5534808.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,6511.7,6127.3,0.5,6512.2,1,02D114E59BF50EF5690B628C5EA776BE,202.5,0,5483712.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,10522.4,10129.6,0.8,10523.2,2,89EC4D2F29EA74FC0AF96895C2D19079,204.0,0,6941604.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,395.0,0.0,1.1,396.1,3,FC056E2518383251BB22CBC149988A6E,212.4,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,10349.4,9962.2,1.3,10350.7,4,FBA4ECA00F13BD0E02C2B87CD9487AB2,197.7,0,32310328.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,14677.8,14252.9,1.6,14679.4,5,B60B9C84AE89B46E0EF3275035F12022,235.4,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,13704.5,13314.9,1.8,13706.3,6,18AFC1388792A54754642B5822794361,205.5,0,11130720.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,12037.7,11644.9,2.0,12039.8,7,26CDDF8E93A2816D1F95AAE203424488,205.6,0,10465516.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,12115.7,11722.6,2.3,12118.0,8,6291947D9493ACA96F6BE41725C78B79,208.4,0,11410956.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,393.7,0.0,2.5,396.2,9,B221EDDB017DCE28E594114DB0291155,208.0,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,7551.7,7334.5,397.0,7948.7,3,FC056E2518383251BB22CBC149988A6E,216.4,0,4331964.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,218.3,0.0,397.7,616.0,9,B221EDDB017DCE28E594114DB0291155,217.7,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,217.9,0.0,616.9,834.8,9,B221EDDB017DCE28E594114DB0291155,217.6,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,217.3,0.0,835.7,1052.9,9,B221EDDB017DCE28E594114DB0291155,216.9,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,authentication_required,,17329.7,17121.9,1053.8,18383.4,9,B221EDDB017DCE28E594114DB0291155,207.4,0,16514572.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,form_processed,,6631.7,6426.6,6422.4,13054.1,0,DB46D956C457A4DE6D75031DE1B36356,204.7,0,50481072.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,2939.6,2729.0,6513.4,9453.0,1,02D114E59BF50EF5690B628C5EA776BE,210.3,0,11635900.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,8330.5,8122.3,7949.9,16280.4,3,FC056E2518383251BB22CBC149988A6E,207.8,0,9884080.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,2771.9,2555.1,9454.4,12226.3,1,02D114E59BF50EF5690B628C5EA776BE,216.5,0,14861320.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,2327.3,2122.7,10352.2,12679.5,4,FBA4ECA00F13BD0E02C2B87CD9487AB2,204.2,0,4231124.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,12168.4,11961.1,10525.3,22693.7,2,89EC4D2F29EA74FC0AF96895C2D19079,206.9,0,32226444.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,4144.7,3932.4,12041.1,16185.8,7,26CDDF8E93A2816D1F95AAE203424488,211.9,0,7877248.0
