company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,0,5151.9,5151.9,5151.9,5151.9,5151.9,5151.9,"{""workflow_failed"": 1}"
Advertima Vision,1,0,49.9,49.9,49.9,49.9,49.9,49.9,"{""workflow_failed"": 1}"
aity AG,2,0,96.7,100.1,48.4,48.4,50.0,50.0,"{""workflow_failed"": 2}"
Alohi,1,1,2209.2,2209.2,2209.2,2209.2,2209.2,2209.2,"{""form_processed"": 1}"
Ansam Group,2,1,3238.1,43264.2,1619.0,1619.0,3188.7,3188.7,"{""authentication_required"": 1, ""workflow_failed"": 1}"
ANYbotics,1,0,4739.7,4739.7,4739.7,4739.7,4739.7,4739.7,"{""workflow_failed"": 1}"
Arina,1,0,12004.7,12004.7,12004.7,12004.7,12004.7,12004.7,"{""workflow_failed"": 1}"
AutoForm,2,2,8214.1,4282.1,4107.1,4107.1,4282.1,4282.1,"{""form_processed"": 2}"
Baker Hughes,1,1,216.3,216.3,216.3,216.3,216.3,216.3,"{""skipped_by_metadata"": 1}"
BCG,4,0,104650.1,26204.0,26162.5,26158.9,26202.4,26202.4,"{""workflow_failed"": 4}"
BKW,1,0,48.3,48.4,48.3,48.3,48.3,48.3,"{""workflow_failed"": 1}"
Brack,1,1,8151.7,8151.7,8151.7,8151.7,8151.7,8151.7,"{""form_processed"": 1}"
BS-Team,3,3,19148.8,32203.0,6382.9,4144.5,11186.9,11186.9,"{""form_processed"": 3}"
Bundesverwaltung,4,3,24229.4,48893.6,6057.4,5058.4,14064.0,14064.0,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,14487.7,17563.5,7243.9,7243.9,8058.0,8058.0,"{""form_processed"": 2}"
CSS,2,2,15446.5,21258.4,7723.2,7723.2,8551.1,8551.1,"{""form_processed"": 2}"
DeepJudge,1,1,2812.5,2812.6,2812.5,2812.5,2812.5,2812.5,"{""form_processed"": 1}"
Destinus,1,0,9326.3,9326.3,9326.3,9326.3,9326.3,9326.3,"{""workflow_failed"": 1}"
Digital Wave Finance AG,1,1,8246.9,8246.9,8246.9,8246.9,8246.9,8246.9,"{""form_processed"": 1}"
EPAM,1,1,8829.4,8829.4,8829.4,8829.4,8829.4,8829.4,"{""form_processed"": 1}"
Eraneos,5,5,1048.3,17083.5,209.7,212.3,219.8,219.8,"{""skipped_by_metadata"": 5}"
Expleo,2,2,599.8,602.4,299.9,299.9,396.6,396.6,"{""skipped_by_metadata"": 2}"
Fincons Group,1,0,50.1,50.1,50.1,50.1,50.1,50.1,"{""workflow_failed"": 1}"
finnova,2,0,98.7,139.0,49.3,49.3,49.4,49.4,"{""workflow_failed"": 2}"
Harmattan AI,1,0,49.8,49.8,49.8,49.8,49.8,49.8,"{""workflow_failed"": 1}"
Hoshii AG,1,1,9928.6,9928.6,9928.6,9928.6,9928.6,9928.6,"{""no_application_form"": 1}"
Julius Bär,2,1,231.0,38741.4,115.5,115.5,216.7,216.7,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,0,49.1,49.1,49.1,49.1,49.1,49.1,"{""workflow_failed"": 1}"
Kanton Luzern,3,3,15903.4,12441.1,5301.1,6655.0,6655.5,6655.5,"{""form_processed"": 3}"
Meier Tobler,1,0,48.6,48.6,48.6,48.6,48.6,48.6,"{""workflow_failed"": 1}"
Mettler Toledo,1,0,49.0,49.0,49.0,49.0,49.0,49.0,"{""workflow_failed"": 1}"
Microservice Solutions,1,0,49.0,49.0,49.0,49.0,49.0,49.0,"{""workflow_failed"": 1}"
Microsoft,1,1,11737.0,11737.1,11737.0,11737.0,11737.0,11737.0,"{""no_application_form"": 1}"
Mimic,2,1,7921.8,43166.6,3960.9,3960.9,7872.9,7872.9,"{""form_processed"": 1, ""workflow_failed"": 1}"
Monolithic Power Systems,1,1,219.8,219.8,219.8,219.8,219.8,219.8,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,0,52773.0,31268.8,26386.5,26386.5,27766.1,27766.1,"{""workflow_failed"": 2}"
NVIDIA,1,1,12867.8,12867.8,12867.8,12867.8,12867.8,12867.8,"{""no_application_form"": 1}"
NZZ,1,1,7969.2,7969.2,7969.2,7969.2,7969.2,7969.2,"{""form_processed"": 1}"
ONLU AG,1,0,50.4,50.5,50.4,50.4,50.4,50.4,"{""workflow_failed"": 1}"
Pax,1,1,6365.4,6365.4,6365.4,6365.4,6365.4,6365.4,"{""form_processed"": 1}"
Richemont,1,1,1983.4,1983.4,1983.4,1983.4,1983.4,1983.4,"{""no_application_form"": 1}"
Rivia,1,1,5481.1,5481.2,5481.1,5481.1,5481.1,5481.1,"{""form_processed"": 1}"
Roche,1,1,396.9,396.9,396.9,396.9,396.9,396.9,"{""skipped_by_metadata"": 1}"
RUAG,5,5,45282.9,39011.4,9056.6,10974.7,11037.4,11037.4,"{""form_processed"": 5}"
Salesforce,7,7,1462.4,22810.4,208.9,208.6,217.8,217.8,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,7108.9,12592.9,3554.4,3554.4,3773.8,3773.8,"{""form_processed"": 2}"
