rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,9306.8,9050.3,0.2,9307.1,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,67.4,0,4765224.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,9291.3,9037.3,0.5,9291.8,1,66910E25F8CD9DCC32FEF0CFAB0CDC47,59.0,0,4768952.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,25817.8,25562.2,1.0,25818.8,2,27E58FD16163915FCB95D603D8819F31,61.5,0,6894936.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,239.8,0.0,1.3,241.1,3,FA1EC79B77D1F0595266365D885651A4,50.7,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,27501.4,27234.4,1.5,27503.0,4,906BD2B9BDC65DF26A6C149FDD0ADD36,72.3,0,30129072.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,30988.8,30702.4,1.8,30990.7,5,941CA62763BEAB60014D7D32A7A078BB,96.9,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,24544.9,24288.2,2.1,24547.1,6,7DD5CB340109F2E95836B9BF449BE0E2,61.9,0,11276536.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,24560.2,24299.4,2.4,24562.6,7,F976DAB5B02071DB1807BB0E1D5A22BB,64.8,0,11276632.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,24746.0,24481.3,2.6,24748.7,8,C52B391559083CD6ADC6AC0411975344,69.4,0,11279780.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,254.4,0.0,2.9,257.3,9,49C0E472CD40A0872C20479FB7E13271,58.4,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,11848.5,11788.4,242.1,12090.6,3,FA1EC79B77D1F0595266365D885651A4,59.7,0,4237308.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,62.1,0.0,258.5,320.7,9,49C0E472CD40A0872C20479FB7E13271,61.6,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,62.0,0.0,321.6,383.6,9,49C0E472CD40A0872C20479FB7E13271,61.7,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,62.8,0.0,384.5,447.3,9,49C0E472CD40A0872C20479FB7E13271,62.4,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,workflow_failed,,25903.0,25849.9,448.2,26351.2,9,49C0E472CD40A0872C20479FB7E13271,52.5,0,4067116.0
16,Mimic,['Mimic'],,,Mimic_am9icG9zdDpf_w-swC05rWf8pz7dagbB,"Robotics Engineer, Model Deployment",True,workflow_failed,,25086.4,25030.9,9293.3,34379.6,1,66910E25F8CD9DCC32FEF0CFAB0CDC47,54.5,0,9053732.0
17,Ansam Group,['Ansam Group'],,,Ansam_8232616,Responsable Applicatif,True,authentication_required,,13531.8,13463.1,9308.6,22840.3,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,68.2,0,12657076.0
18,Wavestone,['Wavestone'],,,Wavestone_62655224,Consultant Agile Transformation Schweiz (all genders),True,form_processed,,28311.0,28240.6,12092.2,40403.2,3,FA1EC79B77D1F0595266365D885651A4,70.0,0,18390220.0
19,DeepJudge,['DeepJudge'],,,DeepJudge_6013c74a-3165-44d2-a66a-0a5a6a8f5c88,Frontend Engineer,True,form_processed,,6905.8,6839.9,22841.3,29747.1,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,65.5,0,14288096.0
20,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_67cc89d18824,KI-Engineer / KI-Plattform-Spezialist/in (a),True,form_processed,,4353.7,4283.3,24548.4,28902.2,6,7DD5CB340109F2E95836B9BF449BE0E2,69.9,0,4231356.0
21,Microsoft,['Microsoft'],,,Microsoft_1970393556933021,Principal Forward Deployed Engineer - Software Engineer,True,no_application_form,,25310.3,25248.9,24563.9,49874.2,7,F976DAB5B02071DB1807BB0E1D5A22BB,60.6,0,37121404.0
22,SonarSource,['SonarSource'],,,SonarSource_13148e9e-7cb4-4c19-ab5d-e1f5dc352ae0,AI Researcher - Post-Training,True,form_processed,,11889.0,11830.6,24750.0,36639.0,8,C52B391559083CD6ADC6AC0411975344,57.9,0,9007088.0
23,Julius Bär,['Julius Bär'],,,JuliusBaer_r-18971,Senior System Architect ML & AI 100% (f/m/d),True,skipped_by_metadata,declared_mode_account,62.0,0.0,25820.2,25882.2,2,27E58FD16163915FCB95D603D8819F31,61.6,0,
24,Vaudoise,['Vaudoise'],,,Vaudoise_65778086,Senior Fullstack Engineer & Technical Leader (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,8763.8,8701.4,25883.4,34647.3,2,27E58FD16163915FCB95D603D8819F31,62.0,0,5056224.0
25,EPAM,['EPAM'],,,epam_bltlhinbqhlvbryudmk,OMS Lead Engineer,True,no_application_form,,18380.1,18313.9,26352.0,44732.1,9,49C0E472CD40A0872C20479FB7E13271,65.9,0,22264956.0
26,Hoshii AG,['Hoshii AG'],,,HoshiiAG_16520465,Forward-Deployed Software Engineer,True,no_application_form,,13792.4,13731.4,27504.1,41296.5,4,906BD2B9BDC65DF26A6C149FDD0ADD36,60.6,0,86814532.0
27,BS-Team,['BS-Team'],,,BSTeam_37987,Expert SharePoint M365,True,workflow_failed,,25091.3,25026.0,28904.0,53995.3,6,7DD5CB340109F2E95836B9BF449BE0E2,64.3,0,6581716.0
28,Salesforce,['Salesforce'],,,Salesforce_JR350790,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.1,0.0,29749.0,29810.1,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,60.6,0,
29,Thomson Reuters,['Thomson Reuters'],,,ThomsonReuters_JREQ200738,Senior Product Security Engineer,True,skipped_by_metadata,declared_mode_account,61.2,0.0,29810.9,29872.1,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,60.7,0,
30,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10128744,ICT-System-Spezialist/-in Senior (1211),True,authentication_required,,20988.2,20920.0,29873.0,50861.2,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,67.9,0,14058024.0
31,Wavestone,['Wavestone'],,,Wavestone_64928931,Scrum Master Agile Transformation Schweiz (all genders),True,form_processed,,16683.3,16611.7,30991.6,47675.0,5,941CA62763BEAB60014D7D32A7A078BB,71.2,0,20731644.0
32,Rivia,['Rivia'],,,Rivia_am9icG9zdDovIlEPtanzFeYrUQtUf4ic,Senior Infrastructure Engineer,True,form_processed,,10966.1,10902.1,34380.8,45346.8,1,66910E25F8CD9DCC32FEF0CFAB0CDC47,63.5,0,45987156.0
33,CSS,['CSS'],,,CSS_679e9fe7,Senior Java & Integration Engineer (w/m) 80-100%,True,form_processed,,11964.0,11897.1,34648.7,46612.7,2,27E58FD16163915FCB95D603D8819F31,66.4,0,6947948.0
34,Baker Hughes,['Baker Hughes'],,,BakerHughes_R164293,Software Engineer - Embedded Software (d/f/m),True,skipped_by_metadata,declared_mode_account,59.4,0.0,36640.9,36700.3,8,C52B391559083CD6ADC6AC0411975344,58.8,0,
35,AutoForm,['AutoForm'],,,AutoForm_5158,(Senior) Software Engineer (m/f) 80–100%,True,form_processed,,10428.5,10373.7,36701.8,47130.3,8,C52B391559083CD6ADC6AC0411975344,54.1,0,5917852.0
36,AutoForm,['AutoForm'],,,AutoForm_5157,(Senior) Software Engineer (m/f) 80-100%,True,form_processed,,6725.7,6670.7,40404.5,47130.2,3,FA1EC79B77D1F0595266365D885651A4,54.5,0,5919076.0
37,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10123612,ICT DevOps Engineer Data & Analytics Senior,True,authentication_required,,9280.9,9208.3,41298.5,50579.4,4,906BD2B9BDC65DF26A6C149FDD0ADD36,72.0,0,16463772.0
38,Digital Wave Finance AG,['Digital Wave Finance AG'],,,DigitalWaveFinanceAG_B1B5C73CAF,C# Developer Platform,True,form_processed,,17687.3,17629.2,44733.3,62420.7,9,49C0E472CD40A0872C20479FB7E13271,57.8,0,29682792.0
39,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_1ba9e9f4c1f8,Input Engineer Dokumentenmanagement (m/w/d),True,form_processed,,12718.4,12656.9,45350.1,58068.5,1,66910E25F8CD9DCC32FEF0CFAB0CDC47,60.9,0,3908864.0
40,SonarSource,['SonarSource'],,,SonarSource_063c3fa2-788a-4e2b-b35e-80ff7b122739,Sales Solutions Engineer - EMEA,True,form_processed,,5289.2,5230.6,46614.2,51903.4,2,27E58FD16163915FCB95D603D8819F31,58.3,0,5324608.0
41,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_49C70CEE5E,Frontend Developer (Angular),True,form_processed,,16332.8,16274.1,47131.5,63464.3,3,FA1EC79B77D1F0595266365D885651A4,57.5,0,21878136.0
42,Brack,['Brack'],,,Brack_gen_e9539f58830f,Senior Software Engineer,True,form_processed,,29062.1,29005.8,47132.4,76194.6,8,C52B391559083CD6ADC6AC0411975344,55.4,0,4403416.0
43,ti&m,['ti&m'],,,TiM_dad56f23-70a7-49c9-8b73-5b69ff18d9c5,Praktikum Java/Kotlin,True,no_application_form,,30359.3,30297.3,47676.1,78035.4,5,941CA62763BEAB60014D7D32A7A078BB,61.7,0,11051644.0
44,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17244,Test Analyst,True,workflow_failed,,65953.2,65891.1,49875.3,115828.5,7,F976DAB5B02071DB1807BB0E1D5A22BB,61.8,0,83174304.0
45,Salesforce,['Salesforce'],,,Salesforce_JR349194,Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.6,0.0,50580.5,50642.1,4,906BD2B9BDC65DF26A6C149FDD0ADD36,61.2,0,
46,Salesforce,['Salesforce'],,,Salesforce_JR349201,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.6,0.0,50643.1,50704.8,4,906BD2B9BDC65DF26A6C149FDD0ADD36,61.2,0,
47,Salesforce,['Salesforce'],,,Salesforce_JR349191,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,61.0,0.0,50705.8,50766.7,4,906BD2B9BDC65DF26A6C149FDD0ADD36,60.5,0,
48,Salesforce,['Salesforce'],,,Salesforce_JR349988-1,Senior Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,62.1,0.0,50767.8,50829.9,4,906BD2B9BDC65DF26A6C149FDD0ADD36,61.6,0,
49,Eraneos,['Eraneos'],,,Eraneos_JR100288,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,78.0,0.0,50831.1,50909.1,4,906BD2B9BDC65DF26A6C149FDD0ADD36,77.4,0,
50,Eraneos,['Eraneos'],,,Eraneos_JR100287,Senior Consultant Generative AI & Agentic AI 60-100%,True,skipped_by_metadata,declared_mode_account,62.5,0.0,50862.5,50924.9,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,62.1,0,
51,BCG,['BCG'],,,BCG_794,"AI Tech Consultant (all genders) - BCG Platinion Zurich, Switzerland",True,workflow_failed,,25173.5,25122.0,50910.4,76083.9,4,906BD2B9BDC65DF26A6C149FDD0ADD36,50.9,0,1884056.0
52,BCG,['BCG'],,,BCG_795,"Senior AI Tech Consultant (all genders) - BCG Platinion Zurich, Switzerland",True,workflow_failed,,25173.5,25121.3,50925.9,76099.4,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,51.6,0,1896500.0
53,BCG,['BCG'],,,BCG_799,"Senior AI Tech Architect (all genders) - BCG Platinion Zurich, Switzerland",True,workflow_failed,,25178.0,25115.2,51904.7,77082.8,2,27E58FD16163915FCB95D603D8819F31,62.3,0,1881624.0
54,BCG,['BCG'],,,BCG_802,"AI Tech Architect (all genders) - BCG Platinion Zurich, Switzerland",True,workflow_failed,,25181.3,25130.5,53996.4,79177.8,6,7DD5CB340109F2E95836B9BF449BE0E2,50.2,0,1875972.0
55,NZZ,['NZZ'],,,NZZ_c3a0f054-8a9c-4fc9-bc4c-ed1cecbedd07,Data Generalist / Senior Data Scientist-Engineer (w/m) 80 - 100%,True,form_processed,,21029.1,20979.5,58069.9,79098.9,1,66910E25F8CD9DCC32FEF0CFAB0CDC47,49.0,0,6497588.0
56,Pax,['Pax'],,,Pax_10094251,Senior Data Engineer (w/m/d),True,form_processed,,13086.4,13030.0,62422.2,75508.6,9,49C0E472CD40A0872C20479FB7E13271,56.0,0,20492232.0
57,MSC Cruises,['MSC Cruises'],,,MSC_Cruises_17171,AI Tech Lead,True,workflow_failed,,40130.3,40054.1,63465.8,103596.0,3,FA1EC79B77D1F0595266365D885651A4,75.6,0,29008756.0
58,Zürcher Kantonalbank,['Zürcher Kantonalbank'],,,Zürcher_Kantonalbank_gen_238727d9ac12,Fullstack DevOps Engineer (m/w/d),True,form_processed,,3510.2,3451.3,75510.3,79020.5,9,49C0E472CD40A0872C20479FB7E13271,58.5,0,3904516.0
59,Crypto Finance AG,['Crypto Finance AG'],,,CryptoFinance_CC933BBD7A,Linux System Engineer,True,form_processed,,5473.9,5405.5,76085.2,81559.1,4,906BD2B9BDC65DF26A6C149FDD0ADD36,68.0,0,34327764.0
60,Eraneos,['Eraneos'],,,Eraneos_JR100116,(Senior) Consultant Solution Architect Financial Services 80-100%,True,skipped_by_metadata,declared_mode_account,62.4,0.0,76100.7,76163.1,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,61.8,0,
61,RUAG,['RUAG'],,,RUAG_gen_a982422a50b7,AI Engineer C5I,True,form_processed,,8542.0,8474.6,76164.8,84706.8,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,66.2,0,10532604.0
62,RUAG,['RUAG'],,,RUAG_gen_92274acc2551,Software Engineer C5I,True,form_processed,,7778.5,7709.0,76196.0,83974.5,8,C52B391559083CD6ADC6AC0411975344,68.9,0,10738400.0
63,ti&m,['ti&m'],,,TiM_9feefbec-a75c-4822-82a8-f9141ce4d24d,Senior Fullstack Engineer (Java & Angular),True,no_application_form,,9148.1,9079.9,77084.1,86232.2,2,27E58FD16163915FCB95D603D8819F31,67.7,0,12820356.0
64,Arina,['Arina'],,,Arina_16298292,Forensic Solution Engineer m/w/d,True,no_application_form,,9547.3,9483.3,78036.4,87583.7,5,941CA62763BEAB60014D7D32A7A078BB,63.7,0,58719980.0
65,Richemont,['Richemont'],,,Richemont_jr129923,Ingénieur R&I Firmware & Architecture Ultra Low Power (H/F),True,no_application_form,,2722.6,2661.4,79021.7,81744.3,9,49C0E472CD40A0872C20479FB7E13271,60.4,0,8254640.0
66,BS-Team,['BS-Team'],,,BSTeam_36773,Chef de Projet IT,True,form_processed,,6180.8,6119.4,79100.9,85281.8,1,66910E25F8CD9DCC32FEF0CFAB0CDC47,60.9,0,22338728.0
67,Monolithic Power Systems,['Monolithic Power Systems'],,,MonolithicPower_R-1456,IT Infrastrucure Engineer,True,skipped_by_metadata,declared_mode_account,60.8,0.0,79179.5,79240.3,6,7DD5CB340109F2E95836B9BF449BE0E2,60.0,0,
68,Eraneos,['Eraneos'],,,Eraneos_JR100263,Enterprise Solution Architect 80-100%,True,skipped_by_metadata,declared_mode_account,61.8,0.0,79241.5,79303.3,6,7DD5CB340109F2E95836B9BF449BE0E2,61.4,0,
69,Eraneos,['Eraneos'],,,Eraneos_JR100258,(Senior) Data Analytics Consultant 60-100%,True,skipped_by_metadata,declared_mode_account,62.1,0.0,79304.4,79366.5,6,7DD5CB340109F2E95836B9BF449BE0E2,61.7,0,
70,Destinus,['Destinus'],,,Destinus_47D8F41867,IT Security Engineer,True,form_processed,,6410.3,6338.6,79367.6,85777.9,6,7DD5CB340109F2E95836B9BF449BE0E2,70.9,0,36711880.0
71,BS-Team,['BS-Team'],,,BSTeam_32288,Product Owner Plan de Reprise d’Activité (PRA) / Disaster Recovery Plan (DRP),True,form_processed,,3829.6,3755.9,81561.2,85390.8,4,906BD2B9BDC65DF26A6C149FDD0ADD36,73.2,0,19301548.0
72,Alohi,['Alohi'],,,Alohi_c04ce541-0cda-46eb-807f-914853681c67,Backend Developer (VoIP),True,form_processed,,2523.1,2463.5,81745.8,84268.9,9,49C0E472CD40A0872C20479FB7E13271,59.1,0,16574004.0
73,adesso,['adesso'],,,adesso_2680,Software Architekt Java (all genders),True,form_processed,,7728.4,7653.6,83976.8,91705.2,8,C52B391559083CD6ADC6AC0411975344,74.2,0,15032152.0
74,ANYbotics,['ANYbotics'],,,ANYbotics_7e305a48-4628-4a6a-b054-0367b6f6e586,Software Engineering Internship - AI Platform,True,form_processed,,5308.5,5236.7,84270.2,89578.7,9,49C0E472CD40A0872C20479FB7E13271,71.4,0,5288400.0
75,ONLU AG,['ONLU AG'],,,ONLU_995,DevOps / Software Engineer (m/w) 80 - 100% - Zug - Zürich - Luzern - Basel: German Speaking= MUST,True,form_processed,,4838.6,4777.2,84708.3,89547.0,0,6E1719D8D4FAE5E2DE46EAFA5BBAE2E7,61.0,0,7243416.0
