company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,28278.8,28278.8,28278.8,28278.8,28278.8,28278.8,"{""form_processed"": 1}"
Advertima Vision,1,1,7367.5,7367.5,7367.5,7367.5,7367.5,7367.5,"{""form_processed"": 1}"
aity AG,2,2,40195.4,28356.2,20097.7,20097.7,28356.2,28356.2,"{""form_processed"": 2}"
Alohi,1,1,5868.8,5868.7,5868.8,5868.8,5868.8,5868.8,"{""form_processed"": 1}"
Ansam Group,2,2,25488.2,134155.0,12744.1,12744.1,21227.9,21227.9,"{""authentication_required"": 2}"
ANYbotics,1,1,10989.9,10989.8,10989.9,10989.9,10989.9,10989.9,"{""form_processed"": 1}"
Arina,1,1,11193.4,11193.4,11193.4,11193.4,11193.4,11193.4,"{""no_application_form"": 1}"
AutoForm,2,2,25508.4,13256.0,12754.2,12754.2,13256.0,13256.0,"{""form_processed"": 2}"
Baker Hughes,1,1,62.4,62.3,62.4,62.4,62.4,62.4,"{""skipped_by_metadata"": 1}"
BCG,4,4,104685.6,30337.6,26171.4,26173.4,26191.7,26191.7,"{""no_application_form"": 4}"
BKW,1,1,42710.5,42710.5,42710.5,42710.5,42710.5,42710.5,"{""workflow_failed"": 1}"
Brack,1,1,22026.9,22026.9,22026.9,22026.9,22026.9,22026.9,"{""form_processed"": 1}"
BS-Team,3,3,71835.5,83257.2,23945.2,24009.6,25069.0,25069.0,"{""form_processed"": 2, ""workflow_failed"": 1}"
Bundesverwaltung,4,4,87080.8,166253.4,21770.2,20078.2,38494.8,38494.8,"{""authentication_required"": 2, ""workflow_failed"": 2}"
Crypto Finance AG,2,2,24041.1,32977.0,12020.5,12020.5,17046.3,17046.3,"{""form_processed"": 2}"
CSS,2,2,52532.0,62824.2,26266.0,26266.0,38474.9,38474.9,"{""form_processed"": 1, ""workflow_failed"": 1}"
DeepJudge,1,1,23476.2,23476.2,23476.2,23476.2,23476.2,23476.2,"{""form_processed"": 1}"
Destinus,1,1,6835.0,6835.0,6835.0,6835.0,6835.0,6835.0,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,17267.5,17267.5,17267.5,17267.5,17267.5,17267.5,"{""form_processed"": 1}"
EPAM,1,1,24713.3,24713.3,24713.3,24713.3,24713.3,24713.3,"{""no_application_form"": 1}"
Eraneos,5,5,334.4,28474.5,66.9,61.9,77.2,77.2,"{""skipped_by_metadata"": 5}"
Expleo,2,2,320.9,322.8,160.5,160.5,260.6,260.6,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,14639.8,14639.8,14639.8,14639.8,14639.8,14639.8,"{""form_processed"": 1}"
finnova,2,2,55699.3,49340.3,27849.7,27849.7,40401.5,40401.5,"{""form_processed"": 1, ""no_application_form"": 1}"
Harmattan AI,1,1,18063.0,18063.1,18063.0,18063.0,18063.0,18063.0,"{""form_processed"": 1}"
Hoshii AG,1,1,29080.9,29080.9,29080.9,29080.9,29080.9,29080.9,"{""no_application_form"": 1}"
Julius Bär,2,2,137.3,70822.9,68.7,68.7,74.7,74.7,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,17447.9,17447.9,17447.9,17447.9,17447.9,17447.9,"{""form_processed"": 1}"
Kanton Luzern,3,3,53808.9,40061.2,17936.3,24837.1,24837.5,24837.5,"{""form_processed"": 3}"
Meier Tobler,1,1,45125.1,45125.1,45125.1,45125.1,45125.1,45125.1,"{""workflow_failed"": 1}"
Mettler Toledo,1,1,28460.2,28460.2,28460.2,28460.2,28460.2,28460.2,"{""no_application_form"": 1}"
Microservice Solutions,1,1,40468.4,40468.4,40468.4,40468.4,40468.4,40468.4,"{""no_application_form"": 1}"
